relation test,relation train,#evolve,#rel_test,percentage
Criticize or denounce,Accuse,12585,1400,8.989285714285714
Make an appeal or request,Accuse,61234,2601,23.54248366013072
Accuse,Halt negotiations,382,1163,0.3284608770421324
Accuse,Give ultimatum,643,1163,0.5528804815133276
Accuse,Investigate,49841,1163,42.85554600171969
Accuse,Complain officially,239,1163,0.2055030094582975
Accuse,Demand intelligence cooperation,120,1163,0.10318142734307825
Accuse,Reject request for change in leadership,0,1163,0.0
Accuse,Threaten to impose curfew,1,1163,0.0008598452278589854
Accuse,Accuse of aggression,26,1163,0.02235597592433362
Accuse,"Declare truce, ceasefire",189,1163,0.16251074806534824
Accuse,"Impose embargo, boycott, or sanctions",441,1163,0.3791917454858126
Accuse,"Threaten with sanctions, boycott, embargo",46,1163,0.03955288048151333
Accuse,Appeal for rights,137,1163,0.117798796216681
Accuse,Demand humanitarian aid,3,1163,0.0025795356835769563
Accuse,Express intent to yield,168,1163,0.14445399828030955
Accuse,Reject material cooperation,5,1163,0.004299226139294927
Accuse,Appeal for aid,1782,1163,1.532244196044712
Accuse,Demand economic cooperation,0,1163,0.0
Accuse,Accede to demands for change in policy,3,1163,0.0025795356835769563
Accuse,Appeal for intelligence,3070,1163,2.6397248495270853
Accuse,Threaten to halt negotiations,11,1163,0.009458297506448839
Accuse,Accede to demands for rights,88,1163,0.07566638005159071
Accuse,"Return, release property",211,1163,0.18142734307824593
Accuse,Reject judicial cooperation,45,1163,0.03869303525365434
Accuse,Threaten non-force,214,1163,0.18400687876182287
Accuse,Express intent to cooperate on intelligence,14,1163,0.012037833190025795
Accuse,"Express intent to change institutions, regime",4,1163,0.0034393809114359416
Accuse,Demobilize armed forces,4,1163,0.0034393809114359416
Accuse,Demand easing of political dissent,0,1163,0.0
Accuse,Ease curfew,0,1163,0.0
Accuse,Conduct hunger strike,0,1163,0.0
Accuse,Halt mediation,1,1163,0.0008598452278589854
Accuse,"Reject request for change in institutions, regime",3,1163,0.0025795356835769563
Accuse,Reject request for humanitarian aid,2,1163,0.0017196904557179708
Accuse,Reject request or demand for political reform,1,1163,0.0008598452278589854
Accuse,Investigate war crimes,0,1163,0.0
Make statement,Make optimistic comment,11320,7736,1.4632885211995863
Make statement,Express intent to engage in diplomatic cooperation (such as policy support),13595,7736,1.7573681489141675
Make statement,Reduce or break diplomatic relations,1284,7736,0.16597724922440538
Make statement,Engage in negotiation,13977,7736,1.8067476732161323
Make statement,Express intent to cooperate,18015,7736,2.328722854188211
