head	relation_x	tail	time
Congress for Democratic Change	Host a visit	Winston Tubman	2011-11-10
Raúl Castro	Host a visit	Jack Lang	2009-02-26
France	Host a visit	Georgios Papandreou	2010-03-07
Ali Abdullah Saleh	Host a visit	Abdoulaye Wade	2005-02-24
South Korea	Host a visit	Lee Myung Bak	2008-01-08
Malaysia	Host a visit	Thailand	2005-12-02
United Arab Emirates	Host a visit	Mahmoud Abbas	2009-11-01
China	Host a visit	Freundel Jerome Stuart	2011-11-10
William Kabogo	Host a visit	Japan	2014-07-04
Japan	Host a visit	Cabinet / Council of Ministers / Advisors (United States)	2010-05-22
China	Host a visit	Barack Obama	2009-09-14
Japan	Host a visit	Barack Obama	2014-04-19
China	Host a visit	Egyptian Railway Authority	2013-05-12
Mexico	Host a visit	Ulises Ruiz Ortiz	2007-09-20
Barack Obama	Host a visit	Benjamin Netanyahu	2009-11-09
Iran	Host a visit	Foreign Affairs (Malaysia)	2008-07-28
South Korea	Host a visit	Xi Jinping	2014-10-31
National Action Party	Host a visit	Ministry (Nigeria)	2010-08-16
Iran	Host a visit	China	2006-06-16
Romania	Host a visit	France	2010-08-19
China	Host a visit	Citizen (Mongolia)	2010-04-27
Comoros	Host a visit	Alain Joyandet	2009-04-06
Barack Obama	Host a visit	Dmitry Anatolyevich Medvedev	2009-07-05
Sudan	Host a visit	Military (South Sudan)	2012-04-01
South Korea	Host a visit	Barack Obama	2009-08-14
Romania	Host a visit	Congress (United States)	2008-11-26
Iran	Host a visit	Mahmoud Ahmadinejad	2008-10-29
South Africa	Host a visit	Ethiopia	2006-11-12
Vietnam	Host a visit	Cao Duc Phat	2007-11-27
Iraq	Host a visit	Indigenous People (United Kingdom)	2015-04-01
Iran	Host a visit	Yemen	2013-10-14
China	Host a visit	Japan	2008-05-07
Iran	Host a visit	Sergey Vladilenovich Kiriyenko	2006-02-13
Middle East	Host a visit	Tony Blair	2006-12-21
Malaysia	Host a visit	Association of Southeast Asian Nations	2005-12-10
Head of Government (Egypt)	Host a visit	Sudan	2011-05-29
Iraq	Host a visit	Defense / Security Ministry (United States)	2015-12-19
Qatar	Host a visit	Mahmoud Abbas	2006-10-01
China	Host a visit	UN Security Council	2010-03-25
France	Host a visit	Dmitry Anatolyevich Medvedev	2011-05-22
China	Host a visit	Xi Jinping	2013-07-12
United Arab Emirates	Host a visit	Rehman Malik	2012-02-27
Ethiopia	Host a visit	African Union	2012-07-10
China	Host a visit	Head of Government (Pakistan)	2011-05-17
South Africa	Host a visit	Uhuru Muigai Kenyatta	2014-05-26
Vietnam	Host a visit	Head of Government (Germany)	2009-04-01
Iran	Host a visit	Javier Solana	2008-06-11
South Korea	Host a visit	Spy Plane (United States)	2006-06-26
Japan	Host a visit	Lee Myung Bak	2012-08-23
Kuwait	Host a visit	Catherine Ashton	2014-01-14
Education (Colombia)	Host a visit	Sher Bahadur Deuba	2006-03-07
Malaysia	Host a visit	Head of Government (Timor-Leste)	2009-02-04
Romania	Host a visit	Philip Hammond	2015-01-15
Ethiopia	Host a visit	Iran	2012-11-16
Cabinet / Council of Ministers / Advisors (United States)	Host a visit	African Union	2010-04-21
South Korea	Host a visit	China	2012-11-16
Mexico	Host a visit	Yoshihiko Noda	2012-06-20
Malaysia	Host a visit	Julia Gillard	2010-11-20
China	Host a visit	Japan	2006-06-28
Japan	Host a visit	Head of Government (South Korea)	2010-03-02
Malaysia	Host a visit	Media Personnel (Saudi Arabia)	2012-02-11
China	Host a visit	Abdel Fattah Al-Sisi	2015-01-24
Angola	Host a visit	Portugal	2006-04-06
Pervez Musharraf	Host a visit	Tony Blair	2006-10-02
Laos	Host a visit	Vietnam	2005-09-21
China	Host a visit	Media Personnel (International)	2007-09-20
Cambodia	Host a visit	Vietnam	2014-01-18
Thailand	Host a visit	Indigenous People (United Kingdom)	2013-05-18
Kazakhstan	Host a visit	Islam Karimov	2006-09-05
Mexico	Host a visit	City Mayor (United States)	2007-05-04
China	Host a visit	Wen Jiabao	2006-10-30
Colombia	Host a visit	Evo Morales	2012-03-17
Angola	Host a visit	Benedict XVI	2009-03-24
United Arab Emirates	Host a visit	National Airline (Iraq)	2005-11-25
Mexico	Host a visit	Vietnam	2008-07-29
Ali Abdullah Saleh	Host a visit	Malaysia	2005-05-25
Kazakhstan	Host a visit	Citizen (Kyrgyzstan)	2005-03-09
Vietnam	Host a visit	China	2006-11-01
Malawi	Host a visit	Cabinet / Council of Ministers / Advisors (United States)	2005-03-04
Sergey Kuzhugetovich Shoygu	Host a visit	Abdel Fattah Al-Sisi	2015-11-24
Cambodia	Host a visit	Japan	2009-04-23
Sudan	Host a visit	African Union	2013-01-18
China	Host a visit	Bev Perdue	2009-10-27
Oman	Host a visit	Nuri al-Maliki	2007-04-25
Vietnam	Host a visit	Cambodia	2008-11-26
Lulzim Basha	Host a visit	Foreign Affairs (Macedonia)	2007-06-01
Iran	Host a visit	Angel Luis D'Elia	2010-03-09
Abdullah Gül	Host a visit	Dragan Šutanovac	2009-05-12
China	Host a visit	Yasuo Fukuda	2008-01-29
Mexico	Host a visit	Guerilla Faction (Latin America)	2006-01-03
Ali Abdullah Saleh	Host a visit	John Brennan	2011-07-12
Sudan	Host a visit	China	2007-06-23
