relation i,relation j,#temporal implication,#rel_i,P one direction,P two direction
Make statement,Express intent to meet or negotiate,645,60754,0.010616584916219508,0.015140134265996901
Express intent to meet or negotiate,Make statement,645,24450,0.02638036809815951,0.015140134265996901
Make statement,Engage in diplomatic cooperation,148,60754,0.00243605359317905,0.004316567745322503
Engage in diplomatic cooperation,Make statement,148,7819,0.0189282516945901,0.004316567745322503
Make statement,"Protest violently, riot",6,60754,9.875892945320473e-05,0.00019454937501013278
"Protest violently, riot",Make statement,6,927,0.006472491909385114,0.00019454937501013278
Make statement,Threaten,114,60754,0.0018764196596108898,0.003623649078194533
Threaten,Make statement,114,2166,0.05263157894736842,0.003623649078194533
Make statement,Accuse,361,60754,0.005941995588767818,0.010295312923327011
Accuse,Make statement,361,9375,0.03850666666666667,0.010295312923327011
Make statement,Engage in symbolic act,41,60754,0.000674852684596899,0.0013126090505994781
Engage in symbolic act,Make statement,41,1717,0.023878858474082703,0.0013126090505994781
Make statement,Investigate,109,60754,0.0017941205517332192,0.0033021797415817137
Investigate,Make statement,109,5263,0.020710621318639558,0.0033021797415817137
Make statement,Make a visit,962,60754,0.015834348355663823,0.023963730569948185
Make a visit,Make statement,962,19534,0.04924746595679328,0.023963730569948185
Make statement,Praise or endorse,545,60754,0.008970602758666096,0.014586232737394284
Praise or endorse,Make statement,545,13974,0.03900100186059825,0.014586232737394284
Make statement,Sign formal agreement,158,60754,0.002600651808934391,0.004591021356966439
Sign formal agreement,Make statement,158,8076,0.0195641406636949,0.004591021356966439
Make statement,Consult,883,60754,0.01453402245119663,0.017607705115806057
Consult,Make statement,883,39543,0.02233012163973396,0.017607705115806057
Make statement,Express intent to cooperate,239,60754,0.003933897356552655,0.0069573823940381925
Express intent to cooperate,Make statement,239,7950,0.030062893081761008,0.0069573823940381925
Make statement,Engage in negotiation,339,60754,0.005579879514106067,0.009690282561779125
Engage in negotiation,Make statement,339,9213,0.036795831976554866,0.009690282561779125
Make statement,Make optimistic comment,293,60754,0.004822727721631497,0.009118777523613899
Make optimistic comment,Make statement,293,3509,0.0834995725277857,0.009118777523613899
Make statement,Express intent to engage in diplomatic cooperation (such as policy support),211,60754,0.0034730223524376998,0.006159235203969934
Express intent to engage in diplomatic cooperation (such as policy support),Make statement,211,7761,0.02718721814199201,0.006159235203969934
Make statement,Reject,122,60754,0.0020080982322151627,0.003786703085231858
Reject,Make statement,122,3682,0.033134166214014125,0.003786703085231858
Make statement,Threaten with military force,0,60754,0.0,0.0
Threaten with military force,Make statement,0,438,0.0,0.0
Make statement,"Investigate crime, corruption",7,60754,0.00011521875102873885,0.00022943673282092462
"Investigate crime, corruption",Make statement,7,265,0.026415094339622643,0.00022943673282092462
