relation i,relation j,#temporal inverse,#rel_i,P one direction,P two direction
Reject,Accuse,64,3682,0.017381857686040194,0.009803170713027495
Accuse,Reject,64,9375,0.006826666666666667,0.009803170713027495
Reject,Host a visit,23,3682,0.0062466051059206955,0.001985325852395339
Host a visit,Reject,23,19488,0.0011802134646962234,0.001985325852395339
Reject,Use conventional military force,10,3682,0.0027159152634437804,0.0017706949977866313
Use conventional military force,Reject,10,7613,0.0013135426244581636,0.0017706949977866313
Reject,Retreat or surrender militarily,0,3682,0.0,0.0
Retreat or surrender militarily,Reject,0,321,0.0,0.0
Reject,Make a visit,27,3682,0.007332971211298208,0.0023259820813232254
Make a visit,Reject,27,19534,0.001382205385481724,0.0023259820813232254
Reject,Make statement,85,3682,0.023085279739272133,0.002638276739710721
Make statement,Reject,85,60754,0.0013990848339204003,0.002638276739710721
Reject,Express intent to meet or negotiate,63,3682,0.017110266159695818,0.004478885255225366
Express intent to meet or negotiate,Reject,63,24450,0.0025766871165644172,0.004478885255225366
Reject,Consult,100,3682,0.027159152634437807,0.004626951995373048
Consult,Reject,100,39543,0.002528892597931366,0.004626951995373048
Reject,Express intent to cooperate,32,3682,0.008690928843020097,0.005502063273727648
Express intent to cooperate,Reject,32,7950,0.004025157232704402,0.005502063273727648
Reject,Threaten,15,3682,0.004073872895165671,0.005129958960328317
Threaten,Reject,15,2166,0.006925207756232687,0.005129958960328317
Reject,Make an appeal or request,120,3682,0.03259098316132537,0.009601920384076815
Make an appeal or request,Reject,120,21313,0.005630366443015999,0.009601920384076815
Reject,Use unconventional violence,8,3682,0.0021727322107550242,0.001454677697972543
Use unconventional violence,Reject,8,7317,0.001093344266776001,0.001454677697972543
Reject,Criticize or denounce,112,3682,0.030418250950570342,0.015238095238095238
Criticize or denounce,Reject,112,11018,0.010165184243964422,0.015238095238095238
Reject,Express intent to cooperate economically,2,3682,0.0005431830526887561,0.0009350163627863488
Express intent to cooperate economically,Reject,2,596,0.003355704697986577,0.0009350163627863488
Reject,Express intent to engage in diplomatic cooperation (such as policy support),27,3682,0.007332971211298208,0.004719042209210871
Express intent to engage in diplomatic cooperation (such as policy support),Reject,27,7761,0.003478933127174333,0.004719042209210871
Reject,Engage in diplomatic cooperation,28,3682,0.0076045627376425855,0.004869141813755326
Engage in diplomatic cooperation,Reject,28,7819,0.0035810205908683975,0.004869141813755326
Reject,Provide aid,0,3682,0.0,0.0
Provide aid,Reject,0,826,0.0,0.0
Reject,"Arrest, detain, or charge with legal action",23,3682,0.0062466051059206955,0.0021583071364894664
"Arrest, detain, or charge with legal action",Reject,23,17631,0.0013045204469400488,0.0021583071364894664
Reject,Make empathetic comment,1,3682,0.00027159152634437803,0.0004180602006688963
Make empathetic comment,Reject,1,1102,0.0009074410163339383,0.0004180602006688963
Reject,Engage in negotiation,56,3682,0.015209125475285171,0.008685537029856534
Engage in negotiation,Reject,56,9213,0.006078367524150656,0.008685537029856534
Reject,Demand,44,3682,0.011950027159152634,0.009359710699851096
Demand,Reject,44,5720,0.007692307692307693,0.009359710699851096
Reject,Receive deployment of peacekeepers,0,3682,0.0,0.0
Receive deployment of peacekeepers,Reject,0,376,0.0,0.0
Reject,Praise or endorse,20,3682,0.005431830526887561,0.0022655188038060714
Praise or endorse,Reject,20,13974,0.001431229426077,0.0022655188038060714
