,head,relation,tail,time
0,A.K. Antony,Make statement,China,2013-02-18
1,A.K. Antony,Make a visit,China,2013-07-10
2,A.K. Antony,Express intent to meet or negotiate,China,2013-07-04
3,A.K. Antony,Make a visit,China,2013-06-05
4,A.K. Antony,Express intent to meet or negotiate,Japan,2011-11-01
5,A.K. Antony,Make a visit,Japan,2013-12-17
6,A.K. Antony,Consult,Media (India),2012-04-05
7,A.K. Antony,Make an appeal or request,Media (India),2011-05-20
8,A.K. Antony,Engage in negotiation,United Progressive Alliance,2008-06-25
9,A.K. Antony,Engage in diplomatic cooperation,United Progressive Alliance,2007-06-08
10,A.K. Antony,Make statement,United Progressive Alliance,2009-04-04
11,A.K. Antony,Consult,Vietnam,2012-09-27
12,A.K. Antony,Express intent to provide material aid,Vietnam,2013-11-22
13,A.K. Antony,Make statement,Vietnam,2010-10-13
14,Aam Aadmi Party,Make an appeal or request,Governor (India),2015-08-04
15,Aam Aadmi Party,Express intent to meet or negotiate,Governor (India),2013-12-23
16,Abdel Fattah Al-Sisi,Consult,Angela Merkel,2015-03-19
17,Abdel Fattah Al-Sisi,Engage in negotiation,Angela Merkel,2015-06-02
18,Abdel Fattah Al-Sisi,Express intent to meet or negotiate,Antonis Samaras,2014-11-07
19,Abdel Fattah Al-Sisi,Consult,Antonis Samaras,2014-11-08
20,Abdel Fattah Al-Sisi,Host a visit,Cabinet / Council of Ministers / Advisors (United States),2014-07-07
21,Abdel Fattah Al-Sisi,Make a visit,Cabinet / Council of Ministers / Advisors (United States),2013-08-05
22,Abdel Fattah Al-Sisi,Consult,Cabinet / Council of Ministers / Advisors (United States),2014-06-26
23,Abdel Fattah Al-Sisi,Make a visit,China,2015-01-24
24,Abdel Fattah Al-Sisi,Make a visit,China,2014-12-23
25,Abdel Fattah Al-Sisi,Make a visit,China,2015-01-12
26,Abdel Fattah Al-Sisi,Consult,Chuck Hagel,2013-04-24
27,Abdel Fattah Al-Sisi,Consult,Chuck Hagel,2013-07-30
28,Abdel Fattah Al-Sisi,Make a visit,Ethiopia,2015-03-26
29,Abdel Fattah Al-Sisi,Reduce or break diplomatic relations,Ethiopia,2015-01-30
30,Abdel Fattah Al-Sisi,Make a visit,Ethiopia,2015-12-07
31,Abdel Fattah Al-Sisi,Make a visit,Ethiopia,2015-03-24
32,Abdel Fattah Al-Sisi,Reduce or break diplomatic relations,Ethiopia,2015-01-31
33,Abdel Fattah Al-Sisi,Make a visit,France,2014-11-27
34,Abdel Fattah Al-Sisi,Express intent to meet or negotiate,France,2015-10-07
35,Abdel Fattah Al-Sisi,Make optimistic comment,Head of Government (Egypt),2014-06-25
36,Abdel Fattah Al-Sisi,Praise or endorse,Head of Government (Egypt),2014-08-11
37,Abdel Fattah Al-Sisi,Reduce relations,Head of Government (Egypt),2014-05-24
38,Abdel Fattah Al-Sisi,Make statement,Head of Government (Egypt),2014-11-24
39,Abdel Fattah Al-Sisi,Consult,Mahmoud Abbas,2015-11-07
40,Abdel Fattah Al-Sisi,Engage in negotiation,Mahmoud Abbas,2015-11-09
41,Abdel Fattah Al-Sisi,Consult,Mahmoud Abbas,2015-09-11
42,Abdel Fattah Al-Sisi,Make statement,Middle East,2015-04-29
43,Abdel Fattah Al-Sisi,Make statement,Middle East,2015-09-28
44,Abdel Fattah Al-Sisi,Consult,Ministry (Egypt),2015-04-22
45,Abdel Fattah Al-Sisi,Make statement,Ministry (Egypt),2015-03-05
