,head,relation,tail,time
0,Colombia,Investigate,Guerrilla (Colombia),2008-07-25
1,Police (Australia),Consult,City Mayor (Australia),2005-10-11
2,Foreign Affairs (France),Make statement,France,2013-04-23
3,Mahmoud Abbas,Consult,Envoy (United States),2011-09-08
4,Head of Government (Egypt),Consult,Attorney General (Egypt),2015-09-19
5,Citizen (Tanzania),Physically assault,Party Member (Tanzania),2012-02-27
6,Okada Katsuya,Make a visit,South Korea,2010-02-08
7,Head of Government (Nigeria),Make pessimistic comment,Citizen (Nigeria),2015-02-18
8,Thailand,Sign formal agreement,Laos,2007-12-28
9,Member of Legislative (Govt) (South Korea),Praise or endorse,Iran,2014-01-29
10,China,Make statement,South Korea,2006-10-11
11,South Korea,Express intent to meet or negotiate,Japan,2007-03-24
12,Antonis Samaras,Consult,Citizen (Greece),2015-01-20
13,Seoul High Court,Make statement,Cho Hyun-ah,2015-05-21
14,Armed Gang (Denmark),Use unconventional violence,Citizen (Denmark),2015-02-14
15,Citizen (Nigeria),Appeal for diplomatic cooperation (such as policy support),Muslim (Nigeria),2012-04-15
16,Islam Karimov,Consult,Eurasian Economic Community,2006-08-17
17,Head of Government (Brazil),Make statement,Labor Union (Brazil),2011-09-13
18,Citizen (Thailand),Express intent to meet or negotiate,Abhisit Vejjajiva,2011-05-19
19,African Union,Make statement,Government (Sudan),2005-12-01
20,Head of Government (Nigeria),Make an appeal or request,Government (Nigeria),2013-09-24
21,South Korea,Make statement,Japan,2012-04-13
22,Dmitry Anatolyevich Medvedev,Express intent to meet or negotiate,Angola,2009-06-22
23,Haider Al-Abadi,Make statement,Iraq,2015-10-18
24,Ireland,Host a visit,Barack Obama,2011-05-24
25,Citizen (Australia),Use unconventional violence,Police (Australia),2012-06-20
26,Barack Obama,Express intent to meet or negotiate,Xi Jinping,2015-09-22
27,Association of Southeast Asian Nations,Appeal for diplomatic cooperation (such as policy support),Japan,2005-07-28
28,Other Authorities / Officials (Nigeria),Accuse,Ministry (Nigeria),2014-05-19
29,Barack Obama,Express intent to meet or negotiate,Xi Jinping,2013-05-21
30,Nonaligned Movement,Praise or endorse,Iran,2006-09-14
31,Barack Obama,Make statement,China,2008-10-30
