relation test,relation train,#implication,#rel_test,percentage
Make statement,Make a visit,88169,7736,11.397233712512927
Make statement,Express intent to meet or negotiate,90711,7736,11.725827300930714
Make statement,Engage in diplomatic cooperation,22608,7736,2.922440537745605
Make statement,Engage in negotiation,28051,7736,3.626034126163392
Make statement,"Protest violently, riot",425,7736,0.05493795243019648
Make statement,"Use chemical, biological, or radiological weapons",16,7736,0.002068252326783868
Make statement,Praise or endorse,17636,7736,2.2797311271975182
Make statement,Sign formal agreement,20224,7736,2.6142709410548086
Make statement,Express intent to cooperate,34211,7736,4.422311271975181
Make statement,Express intent to engage in diplomatic cooperation (such as policy support),27384,7736,3.5398138572905893
Make statement,Make optimistic comment,23805,7736,3.077171664943123
Make statement,Confiscate property,2960,7736,0.3826266804550155
Make statement,Express intent to allow international involvement (non-mediation),5,7736,0.0006463288521199586
Make statement,"Obstruct passage, block",105,7736,0.013572905894519132
Make statement,Express intent to cooperate economically,2112,7736,0.2730093071354705
Make statement,Cooperate militarily,491,7736,0.06346949327817994
Make statement,"Defy norms, law",798,7736,0.1031540847983454
Make statement,Cooperate economically,2196,7736,0.2838676318510858
Make statement,Use tactics of violent repression,396,7736,0.05118924508790072
Make statement,Provide economic aid,975,7736,0.12603412616339194
Make statement,Reduce or break diplomatic relations,2261,7736,0.2922699069286453
Make statement,Mobilize or increase armed forces,1798,7736,0.23241985522233713
Make statement,"Threaten with sanctions, boycott, embargo",385,7736,0.04976732161323681
Make statement,Increase military alert status,59,7736,0.007626680455015512
Make statement,Meet at a 'third' location,4838,7736,0.6253877973112719
Make statement,Express intent to settle dispute,2175,7736,0.281153050672182
Make statement,Occupy territory,753,7736,0.09733712512926578
Make statement,Defend verbally,392,7736,0.050672182006204755
Make statement,"Reject proposal to meet, discuss, or negotiate",2216,7736,0.28645294725956566
Make statement,Halt negotiations,1376,7736,0.1778697001034126
Make statement,Accede to demands for change in policy,455,7736,0.05881592554291624
Make statement,Express intent to provide military protection or peacekeeping,29,7736,0.00374870734229576
Make statement,Express intent to de-escalate military engagement,2296,7736,0.296794208893485
Make statement,Increase police alert status,408,7736,0.052740434332988625
Make statement,Demonstrate military or police power,946,7736,0.12228541882109617
Make statement,"Impose embargo, boycott, or sanctions",4743,7736,0.6131075491209927
Make statement,Provide military protection or peacekeeping,418,7736,0.054033092037228544
Make statement,"Ease economic sanctions, boycott, embargo",222,7736,0.028697001034126163
Make statement,Consider policy option,2780,7736,0.359358841778697
Make statement,Reduce relations,3005,7736,0.38844364012409516
Make statement,Receive deployment of peacekeepers,832,7736,0.10754912099276112
Make statement,Demand diplomatic cooperation (such as policy support),4168,7736,0.5387797311271976
Make statement,Express intent to provide economic aid,724,7736,0.09358841778697001
Make statement,Retreat or surrender militarily,1526,7736,0.1972595656670114
Make statement,Allow humanitarian access,0,7736,0.0
Make statement,Reduce or stop material aid,113,7736,0.014607032057911066
Make statement,Mobilize or increase police power,887,7736,0.11465873836608066
Make statement,Appeal for political reform,38,7736,0.004912099276111685
Make statement,Impose state of emergency or martial law,806,7736,0.10418821096173733
Make statement,Give ultimatum,786,7736,0.1016028955532575
