,head,relation,tail,time
0,Colombia,Investigate,Guerrilla (Colombia),2008-07-25
1,Police (Australia),Consult,City Mayor (Australia),2005-10-11
2,Foreign Affairs (France),Make statement,France,2013-04-23
3,Mahmoud Abbas,Consult,Envoy (United States),2011-09-08
4,Segolene Royal,Make a visit,Middle East,2006-12-01
5,Rioter (Uganda),Physically assault,Police (Uganda),2009-09-11
6,Citizen (Tanzania),Physically assault,Party Member (Tanzania),2012-02-27
7,Okada Katsuya,Make a visit,South Korea,2010-02-08
8,Media (Africa),Express intent to engage in diplomatic cooperation (such as policy support),Muhammadu Buhari,2015-05-25
9,Head of Government (Nigeria),Make pessimistic comment,Citizen (Nigeria),2015-02-18
10,Thailand,Sign formal agreement,Laos,2007-12-28
11,Member of Legislative (Govt) (South Korea),Praise or endorse,Iran,2014-01-29
12,Joschka Fischer,Express intent to meet or negotiate,Jack Straw,2005-07-01
13,China,Make statement,South Korea,2006-10-11
14,South Korea,Express intent to meet or negotiate,Japan,2007-03-24
15,Antonis Samaras,Consult,Citizen (Greece),2015-01-20
16,Citizen (Nigeria),Appeal for diplomatic cooperation (such as policy support),Muslim (Nigeria),2012-04-15
17,Citizen (Thailand),Express intent to meet or negotiate,Abhisit Vejjajiva,2011-05-19
18,African Union,Make statement,Government (Sudan),2005-12-01
19,Mexico,Host a visit,Special Rapporteurs of the United Nations,2010-09-29
20,Head of Government (Nigeria),Make an appeal or request,Government (Nigeria),2013-09-24
21,South Korea,Make statement,Japan,2012-04-13
22,Haider Al-Abadi,Make statement,Iraq,2015-10-18
23,Ireland,Host a visit,Barack Obama,2011-05-24
24,Citizen (Australia),Use unconventional violence,Police (Australia),2012-06-20
25,Barack Obama,Express intent to meet or negotiate,Xi Jinping,2015-09-22
26,Association of Southeast Asian Nations,Appeal for diplomatic cooperation (such as policy support),Japan,2005-07-28
27,Other Authorities / Officials (Nigeria),Accuse,Ministry (Nigeria),2014-05-19
28,Barack Obama,Express intent to meet or negotiate,Xi Jinping,2013-05-21
29,Nonaligned Movement,Praise or endorse,Iran,2006-09-14
30,Barack Obama,Make statement,China,2008-10-30
31,Media Personnel (China),Make statement,China,2006-07-10
