relation test,relation train,#inverse,#rel_test,percentage
Consult,Make a visit,1679,4925,0.34091370558375633
Make a visit,Engage in diplomatic cooperation,465,2481,0.18742442563482467
Host a visit,Make a visit,2380,2497,0.9531437725270324
Make a visit,Host a visit,2352,2481,0.9480048367593712
Make a visit,"Use chemical, biological, or radiological weapons",5,2481,0.002015316404675534
Make a visit,Sign formal agreement,626,2481,0.2523176138653769
Make a visit,Express intent to cooperate,411,2481,0.1656590084643289
Make a visit,Express intent to engage in diplomatic cooperation (such as policy support),597,2481,0.24062877871825877
Make a visit,Express intent to allow international involvement (non-mediation),11,2481,0.004433696090286175
Make a visit,Express intent to cooperate economically,173,2481,0.06972994760177348
Make a visit,Meet at a 'third' location,386,2481,0.15558242644095122
Make a visit,Express intent to settle dispute,152,2481,0.06126561870213623
Make a visit,Halt negotiations,94,2481,0.03788794840790004
Make a visit,Express intent to de-escalate military engagement,6,2481,0.0024183796856106408
Make a visit,Receive deployment of peacekeepers,80,2481,0.032245062474808545
Make a visit,"Reject plan, agreement to settle dispute",145,2481,0.058444175735590485
Make a visit,Reject judicial cooperation,13,2481,0.005239822652156389
Make a visit,"Declare truce, ceasefire",111,2481,0.044740024183796856
Make a visit,Express intent to cooperate militarily,102,2481,0.041112454655380895
Make a visit,Reduce or stop economic assistance,62,2481,0.024989923417976623
Make a visit,"Demand change in institutions, regime",9,2481,0.0036275695284159614
Make a visit,Threaten to reduce or stop aid,9,2481,0.0036275695284159614
Make a visit,Grant asylum,15,2481,0.006045949214026602
Make a visit,Expel or withdraw,2,2481,0.0008061265618702137
Make a visit,Express intent to cooperate on intelligence,44,2481,0.0177347843611447
Make a visit,Reject request for military protection or peacekeeping,16,2481,0.006449012494961709
Make a visit,Appeal for military cooperation,1,2481,0.00040306328093510683
Make a visit,"Appeal for easing of economic sanctions, boycott, or embargo",8,2481,0.0032245062474808546
Make a visit,Receive inspectors,86,2481,0.03466344216041919
Make a visit,Reject military cooperation,0,2481,0.0
Make a visit,Reject mediation,8,2481,0.0032245062474808546
Make a visit,Reject request for humanitarian aid,8,2481,0.0032245062474808546
Consult,Express intent to meet or negotiate,2387,4925,0.48467005076142133
Express intent to meet or negotiate,Engage in diplomatic cooperation,840,3071,0.27352653858677956
