head	relation	tail	time
Police (Australia)	Consult	City Mayor (Australia)	2005-10-11
Police (Australia)	Consult	Citizen (Australia)	2005-10-14
Police (Australia)	Consult	Criminal (Australia)	2013-09-10
Police (Australia)	Consult	Lawrence Springborg	2014-03-19
Police (Australia)	Consult	Citizen (Australia)	2015-10-26
Police (Australia)	Consult	Citizen (Australia)	2012-08-14
Police (Australia)	Consult	Lawyer/Attorney (Australia)	2013-10-18
Police (Australia)	Consult	Lawyer/Attorney (Indonesia)	2005-03-21
Police (Australia)	Consult	Police (New Zealand)	2014-12-11
Police (Australia)	Consult	Citizen (Australia)	2005-06-14
Police (Australia)	Consult	Cabinet / Council of Ministers / Advisors (Australia)	2012-01-11
Police (Australia)	Consult	Citizen (Australia)	2008-10-31
Foreign Affairs (France)	Make statement	France	2013-04-23
Foreign Affairs (France)	Make statement	France	2007-12-22
Foreign Affairs (France)	Make statement	Angola	2012-07-16
Foreign Affairs (France)	Make statement	France	2013-09-10
Foreign Affairs (France)	Make statement	France	2015-01-19
Foreign Affairs (France)	Make statement	Government (France)	2011-09-15
Foreign Affairs (France)	Make statement	Newspaper (United Kingdom)	2009-03-18
Foreign Affairs (France)	Make statement	France	2010-12-28
Foreign Affairs (France)	Make statement	Iran	2006-01-19
Foreign Affairs (France)	Make statement	UN Security Council	2008-03-13
Foreign Affairs (France)	Make statement	France	2014-12-28
Foreign Affairs (France)	Make statement	UN Security Council	2006-10-26
Foreign Affairs (France)	Make statement	France	2008-08-29
Foreign Affairs (France)	Make statement	UN Security Council	2006-01-27
Foreign Affairs (France)	Make statement	France	2013-10-16
Foreign Affairs (France)	Make statement	France	2006-01-26
Foreign Affairs (France)	Make statement	Mauritania	2009-03-24
Foreign Affairs (France)	Make statement	France	2006-09-13
Foreign Affairs (France)	Make statement	France	2015-02-09
Foreign Affairs (France)	Make statement	UN Security Council	2007-03-22
Foreign Affairs (France)	Make statement	Government (France)	2008-10-15
Foreign Affairs (France)	Make statement	Government (France)	2014-03-12
Foreign Affairs (France)	Make statement	UN Security Council	2014-06-17
