,head,relation,tail,time
0,Foreign Affairs (France),Make statement,France,2013-04-23
1,Mahmoud Abbas,Consult,Envoy (United States),2011-09-08
2,Thailand,Sign formal agreement,Laos,2007-12-28
3,China,Make statement,South Korea,2006-10-11
4,South Korea,Express intent to meet or negotiate,Japan,2007-03-24
5,Islam Karimov,Consult,Eurasian Economic Community,2006-08-17
6,Citizen (Thailand),Express intent to meet or negotiate,Abhisit Vejjajiva,2011-05-19
7,South Korea,Make statement,Japan,2012-04-13
8,Barack Obama,Express intent to meet or negotiate,Xi Jinping,2015-09-22
9,Barack Obama,Express intent to meet or negotiate,Xi Jinping,2013-05-21
10,Barack Obama,Make statement,China,2008-10-30
11,Media Personnel (China),Make statement,China,2006-07-10
12,China,Engage in diplomatic cooperation,Iran,2009-08-02
13,Cambodia,Engage in diplomatic cooperation,Vietnam,2006-03-20
14,China,Grant diplomatic recognition,Japan,2007-08-20
15,China,Engage in diplomatic cooperation,Iran,2009-05-11
16,China,Express intent to meet or negotiate,South Korea,2007-03-31
17,China,Express intent to cooperate,Japan,2007-05-04
18,Police (Australia),Make statement,Medical Personnel (Australia),2012-04-26
19,Barack Obama,Express intent to meet or negotiate,Shimon Peres,2009-05-02
20,Iran,Reject,UN Security Council,2007-09-17
21,China,Reject,Japan,2005-11-01
22,Wen Jiabao,Consult,China,2006-03-10
23,Ministry (Nigeria),Make an appeal or request,Citizen (Nigeria),2013-12-26
24,Media Personnel (China),Make statement,China,2015-06-22
25,Abdullah Gül,Express intent to meet or negotiate,Barack Obama,2009-04-06
26,Cabinet / Council of Ministers / Advisors (United States),Consult,Mahmoud Abbas,2006-02-25
27,Mauritania,Meet at a 'third' location,Niger,2010-09-27
28,South Korea,Consult,Japan,2006-10-11
29,South Korea,Demand,Japan,2011-10-18
30,Citizen (Thailand),Make pessimistic comment,Thailand,2005-02-24
31,Government (Nigeria),Make an appeal or request,Ministry (Nigeria),2009-12-11
32,South Korea,Make an appeal or request,Japan,2015-04-27
33,A.P. Sharma,Make statement,Finance / Economy / Commerce / Trade Ministry (India),2012-07-12
