relation i,relation j,#symmetric,#rel_i,P one direction,P two direction
Make statement,Make statement,30825,60754,0.5073740000658393,0.5073740000658393
Consult,Consult,36997,39543,0.9356143944566674,0.9356143944566674
Express intent to meet or negotiate,Express intent to meet or negotiate,13831,24450,0.5656850715746421,0.5656850715746421
Make an appeal or request,Make an appeal or request,11998,21313,0.562942804860883,0.562942804860883
Make a visit,Make a visit,4849,19534,0.2482338486741067,0.2482338486741067
Host a visit,Host a visit,4617,19488,0.23691502463054187,0.23691502463054187
"Arrest, detain, or charge with legal action","Arrest, detain, or charge with legal action",273,17631,0.015484090522375362,0.015484090522375362
Praise or endorse,Praise or endorse,5628,13974,0.4027479604980678,0.4027479604980678
Criticize or denounce,Criticize or denounce,5972,11018,0.5420221455799601,0.5420221455799601
Accuse,Accuse,5361,9375,0.57184,0.57184
Engage in negotiation,Engage in negotiation,8612,9213,0.9347660913925974,0.9347660913925974
Sign formal agreement,Sign formal agreement,7609,8076,0.942174343734522,0.942174343734522
Express intent to cooperate,Express intent to cooperate,7104,7950,0.8935849056603774,0.8935849056603774
Engage in diplomatic cooperation,Engage in diplomatic cooperation,6770,7819,0.8658396214349661,0.8658396214349661
Express intent to engage in diplomatic cooperation (such as policy support),Express intent to engage in diplomatic cooperation (such as policy support),5667,7761,0.7301894085813684,0.7301894085813684
Use conventional military force,Use conventional military force,1701,7613,0.22343360042033364,0.22343360042033364
Use unconventional violence,Use unconventional violence,2731,7317,0.37324039907065737,0.37324039907065737
Demand,Demand,2392,5720,0.41818181818181815,0.41818181818181815
Investigate,Investigate,439,5263,0.08341250237507125,0.08341250237507125
fight with small arms and light weapons,fight with small arms and light weapons,2692,4266,0.6310360993905297,0.6310360993905297
Reject,Reject,1671,3682,0.45382944052145574,0.45382944052145574
Make optimistic comment,Make optimistic comment,1565,3509,0.44599601025933316,0.44599601025933316
Discuss by telephone,Discuss by telephone,2841,3068,0.9260104302477183,0.9260104302477183
Make pessimistic comment,Make pessimistic comment,843,2383,0.35375577003776754,0.35375577003776754
Threaten,Threaten,708,2166,0.3268698060941828,0.3268698060941828
Engage in symbolic act,Engage in symbolic act,672,1717,0.3913803145020384,0.3913803145020384
Demonstrate or rally,Demonstrate or rally,21,1708,0.012295081967213115,0.012295081967213115
Appeal for diplomatic cooperation (such as policy support),Appeal for diplomatic cooperation (such as policy support),384,1563,0.2456813819577735,0.2456813819577735
"Return, release person(s)","Return, release person(s)",149,1546,0.0963777490297542,0.0963777490297542
Meet at a 'third' location,Meet at a 'third' location,1390,1509,0.9211398277004639,0.9211398277004639
"Abduct, hijack, or take hostage","Abduct, hijack, or take hostage",126,1239,0.1016949152542373,0.1016949152542373
Provide humanitarian aid,Provide humanitarian aid,134,1193,0.11232187761944677,0.11232187761944677
Make empathetic comment,Make empathetic comment,135,1102,0.12250453720508167,0.12250453720508167
Confiscate property,Confiscate property,1,1082,0.0009242144177449168,0.0009242144177449168
Deny responsibility,Deny responsibility,278,1054,0.2637571157495256,0.2637571157495256
"Protest violently, riot","Protest violently, riot",0,927,0.0,0.0
Reduce relations,Reduce relations,316,883,0.3578708946772367,0.3578708946772367
Physically assault,Physically assault,370,828,0.4468599033816425,0.4468599033816425
Provide aid,Provide aid,62,826,0.07506053268765134,0.07506053268765134
Cooperate economically,Cooperate economically,365,787,0.46378653113087676,0.46378653113087676
Expel or deport individuals,Expel or deport individuals,0,766,0.0,0.0
Occupy territory,Occupy territory,127,687,0.1848617176128093,0.1848617176128093
"Impose embargo, boycott, or sanctions","Impose embargo, boycott, or sanctions",26,677,0.03840472673559823,0.03840472673559823
Bring lawsuit against,Bring lawsuit against,204,665,0.3067669172932331,0.3067669172932331
Use tactics of violent repression,Use tactics of violent repression,0,653,0.0,0.0
Mobilize or increase armed forces,Mobilize or increase armed forces,121,638,0.1896551724137931,0.1896551724137931
Impose administrative sanctions,Impose administrative sanctions,48,620,0.07741935483870968,0.07741935483870968
Provide economic aid,Provide economic aid,99,617,0.16045380875202594,0.16045380875202594
Ease administrative sanctions,Ease administrative sanctions,148,610,0.24262295081967214,0.24262295081967214
Express intent to cooperate economically,Express intent to cooperate economically,280,596,0.4697986577181208,0.4697986577181208
Consider policy option,Consider policy option,94,583,0.16123499142367068,0.16123499142367068
Reduce or break diplomatic relations,Reduce or break diplomatic relations,126,565,0.22300884955752212,0.22300884955752212
Rally support on behalf of,Rally support on behalf of,14,506,0.02766798418972332,0.02766798418972332
Yield,Yield,100,481,0.2079002079002079,0.2079002079002079
"Reject proposal to meet, discuss, or negotiate","Reject proposal to meet, discuss, or negotiate",146,472,0.3093220338983051,0.3093220338983051
Express intent to provide economic aid,Express intent to provide economic aid,40,462,0.08658008658008658,0.08658008658008658
Coerce,Coerce,0,460,0.0,0.0
Engage in material cooperation,Engage in material cooperation,172,444,0.38738738738738737,0.38738738738738737
"Conduct suicide, car, or other non-military bombing","Conduct suicide, car, or other non-military bombing",1,440,0.0022727272727272726,0.0022727272727272726
Threaten with military force,Threaten with military force,46,438,0.1050228310502283,0.1050228310502283
Grant diplomatic recognition,Grant diplomatic recognition,166,414,0.40096618357487923,0.40096618357487923
Express intent to provide material aid,Express intent to provide material aid,66,408,0.16176470588235295,0.16176470588235295
Express intent to settle dispute,Express intent to settle dispute,244,379,0.6437994722955145,0.6437994722955145
Receive deployment of peacekeepers,Receive deployment of peacekeepers,167,376,0.4441489361702128,0.4441489361702128
Cooperate militarily,Cooperate militarily,197,375,0.5253333333333333,0.5253333333333333
Provide military aid,Provide military aid,61,374,0.16310160427807488,0.16310160427807488
Appeal for intelligence,Appeal for intelligence,138,372,0.3709677419354839,0.3709677419354839
Sexually assault,Sexually assault,55,368,0.14945652173913043,0.14945652173913043
Provide military protection or peacekeeping,Provide military protection or peacekeeping,10,347,0.02881844380403458,0.02881844380403458
"Defy norms, law","Defy norms, law",12,344,0.03488372093023256,0.03488372093023256
"Reject plan, agreement to settle dispute","Reject plan, agreement to settle dispute",176,331,0.5317220543806647,0.5317220543806647
Demand diplomatic cooperation (such as policy support),Demand diplomatic cooperation (such as policy support),37,329,0.11246200607902736,0.11246200607902736
Rally opposition against,Rally opposition against,28,328,0.08536585365853659,0.08536585365853659
Express accord,Express accord,68,327,0.20795107033639143,0.20795107033639143
Give ultimatum,Give ultimatum,79,321,0.24610591900311526,0.24610591900311526
Retreat or surrender militarily,Retreat or surrender militarily,18,321,0.056074766355140186,0.056074766355140186
Complain officially,Complain officially,76,311,0.24437299035369775,0.24437299035369775
Share intelligence or information,Share intelligence or information,128,307,0.4169381107491857,0.4169381107491857
Express intent to release persons or property,Express intent to release persons or property,26,287,0.09059233449477352,0.09059233449477352
Appeal for change in leadership,Appeal for change in leadership,12,284,0.04225352112676056,0.04225352112676056
Express intent to provide humanitarian aid,Express intent to provide humanitarian aid,43,272,0.15808823529411764,0.15808823529411764
"Investigate crime, corruption","Investigate crime, corruption",14,265,0.052830188679245285,0.052830188679245285
Express intent to provide military aid,Express intent to provide military aid,10,259,0.03861003861003861,0.03861003861003861
Kill by physical assault,Kill by physical assault,44,259,0.16988416988416988,0.16988416988416988
Employ aerial weapons,Employ aerial weapons,2,257,0.007782101167315175,0.007782101167315175
Express intent to de-escalate military engagement,Express intent to de-escalate military engagement,9,248,0.036290322580645164,0.036290322580645164
"Accuse of crime, corruption","Accuse of crime, corruption",64,239,0.26778242677824265,0.26778242677824265
Impose restrictions on political freedoms,Impose restrictions on political freedoms,9,231,0.03896103896103896,0.03896103896103896
Acknowledge or claim responsibility,Acknowledge or claim responsibility,37,228,0.16228070175438597,0.16228070175438597
Accuse of human rights abuses,Accuse of human rights abuses,6,208,0.028846153846153848,0.028846153846153848
Halt negotiations,Halt negotiations,135,200,0.675,0.675
Demand change in leadership,Demand change in leadership,20,198,0.10101010101010101,0.10101010101010101
Appeal for de-escalation of military engagement,Appeal for de-escalation of military engagement,17,179,0.09497206703910614,0.09497206703910614
Mobilize or increase police power,Mobilize or increase police power,0,178,0.0,0.0
Demonstrate military or police power,Demonstrate military or police power,20,159,0.12578616352201258,0.12578616352201258
Apologize,Apologize,0,152,0.0,0.0
Appeal for release of persons or property,Appeal for release of persons or property,9,152,0.05921052631578947,0.05921052631578947
"Declare truce, ceasefire","Declare truce, ceasefire",125,150,0.8333333333333334,0.8333333333333334
"Obstruct passage, block","Obstruct passage, block",0,148,0.0,0.0
Appeal to others to meet or negotiate,Appeal to others to meet or negotiate,14,147,0.09523809523809523,0.09523809523809523
Refuse to yield,Refuse to yield,13,145,0.0896551724137931,0.0896551724137931
"Impose blockade, restrict movement","Impose blockade, restrict movement",0,144,0.0,0.0
Mediate,Mediate,25,142,0.176056338028169,0.176056338028169
Defend verbally,Defend verbally,9,137,0.06569343065693431,0.06569343065693431
Assassinate,Assassinate,0,136,0.0,0.0
Appeal to engage in or accept mediation,Appeal to engage in or accept mediation,0,133,0.0,0.0
fight with artillery and tanks,fight with artillery and tanks,60,131,0.4580152671755725,0.4580152671755725
Carry out suicide bombing,Carry out suicide bombing,0,129,0.0,0.0
Increase military alert status,Increase military alert status,1,127,0.007874015748031496,0.007874015748031496
Torture,Torture,7,126,0.05555555555555555,0.05555555555555555
Appeal for aid,Appeal for aid,37,119,0.31092436974789917,0.31092436974789917
