,head,relation,tail,time
0,China,Express intent to cooperate,Japan,2007-05-04
1,Abdullah Gül,Express intent to meet or negotiate,Barack Obama,2009-04-06
2,South Korea,Consult,Japan,2006-10-11
3,Police (Australia),Make an appeal or request,Citizen (Australia),2006-06-13
4,Member of Parliament (Australia),Make statement,Julia Gillard,2010-06-24
5,China,Engage in negotiation,Japan,2005-11-25
6,Barack Obama,Express intent to engage in diplomatic cooperation (such as policy support),Mahmoud Abbas,2010-08-31
7,Barack Obama,Praise or endorse,Benjamin Netanyahu,2009-05-19
8,Muhammadu Buhari,Make an appeal or request,Government (Nigeria),2015-06-30
9,Yoshihiko Noda,Consult,Barack Obama,2012-04-30
10,Citizen (Australia),Reduce relations,Member of Parliament (Australia),2008-06-09
11,Thailand,Engage in negotiation,Japan,2005-06-30
12,Japan,Make an appeal or request,China,2006-05-18
13,Mahmoud Ahmadinejad,Consult,Rafael Correa,2012-01-12
14,Police (Australia),Investigate,Citizen (Australia),2008-12-29
15,Japan,Occupy territory,South Korea,2015-10-15
16,Sudan,Occupy territory,South Sudan,2012-04-23
17,Japan,Make statement,South Korea,2006-04-21
18,Ed Royce,Make a visit,South Korea,2013-01-08
19,South Korea,Consult,China,2010-10-28
20,Pech,Investigate,Citizen (United Kingdom),2005-09-15
21,Mahmoud Ahmadinejad,Express intent to engage in diplomatic cooperation (such as policy support),Iran,2006-08-01
22,Benazir Bhutto,Demand,Pervez Musharraf,2007-09-16
23,Japan,Express intent to cooperate,China,2006-03-07
24,Sudan,Reduce or break diplomatic relations,South Sudan,2012-03-27
25,Barack Obama,Consult,Angela Merkel,2009-06-05
26,Japan,Engage in negotiation,China,2006-12-06
27,Jack Straw,Meet at a 'third' location,Abdullah Gül,2005-10-03
28,China,Make optimistic comment,Japan,2005-04-19
29,China,Express intent to engage in diplomatic cooperation (such as policy support),Japan,2008-08-17
30,Dmitry Anatolyevich Medvedev,Make a visit,Cambodia,2015-11-22
31,Oman,Consult,Iran,2014-03-13
32,Iran,Praise or endorse,National Transitional Council,2011-10-25
33,Police (Australia),Impose administrative sanctions,Citizen (Australia),2009-05-16
34,UN Security Council,Appeal for de-escalation of military engagement,Eritrea,2006-10-18
35,Head of Government (Egypt),Consult,Royal Administration (Spain),2015-04-30
36,Barack Obama,Provide military aid,Iraq,2014-08-12
37,Government (Nigeria),Make statement,Boko Haram,2014-10-27
38,Donald Rumsfeld,Make a visit,Japan,2005-10-06
39,Iraq,Host a visit,Donald Rumsfeld,2005-04-12
40,South Korea,Express intent to meet or negotiate,Japan,2015-11-10
41,Police (Egypt),Use tactics of violent repression,Protester (Egypt),2011-11-28
42,China,Express intent to cooperate,South Korea,2007-09-14
43,Japan,Consult,South Korea,2011-11-19
44,Dmitry Anatolyevich Medvedev,Engage in symbolic act,Abdullah Gül,2010-05-12
45,Dmitry Anatolyevich Medvedev,Express intent to cooperate,Barack Obama,2009-04-02
46,UN Security Council,Make pessimistic comment,Sudan,2006-11-23
47,China,Sign formal agreement,Japan,2006-04-03
48,Rafael Correa,Make a visit,Evo Morales,2009-05-24
49,Police (Australia),Demand,Citizen (Australia),2007-01-01
50,Police (Australia),Make an appeal or request,Citizen (Australia),2011-02-16
51,Yasuo Fukuda,Express intent to engage in diplomatic cooperation (such as policy support),Wen Jiabao,2007-12-28
52,Vietnam,Consult,Mekong River Commission,2014-04-05
53,China,Express intent to cooperate,Japan,2006-05-23
54,Citizen (Nigeria),Make an appeal or request,Government (Nigeria),2014-02-28
55,Armed Gang (Thailand),fight with small arms and light weapons,Citizen (Thailand),2009-09-24
56,China,Sign formal agreement,Vietnam,2015-11-06
57,Thailand,Praise or endorse,Cambodia,2008-07-03
58,Japan,Consult,China,2006-10-09
59,Oluṣẹgun Ọbasanjọ,Engage in negotiation,Roh Moo Hyun,2006-11-06
60,Head of Government (South Korea),Engage in negotiation,Barack Obama,2011-12-19
61,Barack Obama,Consider policy option,China,2012-02-17
62,UN Security Council,Make an appeal or request,Iraq,2010-02-27
63,Cambodia,Rally opposition against,Thailand,2008-07-23
64,Businessperson (Australia),Reject,Citizen (Australia),2005-06-23
65,China,Express intent to cooperate,South Korea,2009-04-12
66,Cambodia,Reduce relations,Thailand,2008-07-23
67,Abhisit Vejjajiva,Make statement,Thailand,2010-11-09
68,Barack Obama,Make a visit,Mexico,2013-05-02
69,Police (South Africa),Use conventional military force,Men (South Africa),2007-07-17
70,Japan,Express intent to provide economic aid,China,2008-05-13
71,Vietnam,Make optimistic comment,China,2015-03-07
72,Police (South Africa),"Arrest, detain, or charge with legal action",Men (South Africa),2011-06-03
73,China,Demand,Iran,2006-06-22
74,China,Consult,South Korea,2009-02-22
75,Police (Australia),Investigate,Citizen (Australia),2014-03-27
76,Roh Moo Hyun,Make pessimistic comment,Japan,2006-07-12
77,Lien Chan,Make a visit,China,2005-04-25
78,Bolivia,Praise or endorse,Evo Morales,2005-12-23
79,Government (Nigeria),Provide aid,Citizen (Nigeria),2012-11-20
80,Japan,Express intent to engage in diplomatic cooperation (such as policy support),China,2006-10-10
81,Police (Australia),Make pessimistic comment,Citizen (Australia),2005-09-19
82,Vietnam,Express intent to engage in diplomatic cooperation (such as policy support),China,2009-04-20
83,China,Consult,Association of Southeast Asian Nations,2014-11-13
84,Barack Obama,Express intent to meet or negotiate,Angela Merkel,2009-06-05
85,Japan,Make statement,China,2006-03-08
86,Abdullah Gül,Engage in negotiation,Barack Obama,2009-04-06
87,Sudan,Employ aerial weapons,South Sudan,2012-04-19
88,Government (Nigeria),Engage in negotiation,Militant (Nigeria),2009-07-14
89,Police (Australia),Investigate,Citizen (Australia),2012-11-16
90,Citizen (Nigeria),"Reject plan, agreement to settle dispute",Government (Nigeria),2008-07-04
91,Yasuo Fukuda,Express accord,China,2007-12-28
92,Police (Australia),Appeal for intelligence,Citizen (Australia),2008-01-09
93,China,Make optimistic comment,Japan,2006-06-08
94,Barack Obama,Make optimistic comment,Dmitry Anatolyevich Medvedev,2009-03-27
95,China,Deny responsibility,Japan,2012-10-01
96,Japan,Make pessimistic comment,China,2005-03-15
97,China,Consult,South Korea,2005-10-06
98,Cambodia,Express intent to engage in diplomatic cooperation (such as policy support),South Korea,2006-03-22
99,Tony Blair,Accuse,Iran,2006-07-16
100,Japan,Express intent to cooperate,South Korea,2011-11-19
101,Barack Obama,Host a visit,Benjamin Netanyahu,2009-05-19
102,Vietnam,Express intent to cooperate,China,2006-03-23
103,South Korea,Consult,Japan,2005-11-19
104,China,Consult,Vietnam,2011-06-14
105,Police (Australia),Expel or deport individuals,Citizen (Australia),2006-06-13
106,Police (Australia),"Arrest, detain, or charge with legal action",Citizen (Australia),2007-06-22
107,José Miguel Insulza,Consult,Evo Morales,2013-11-14
108,Japan,Engage in negotiation,South Korea,2015-10-29
109,Gurbanguly Berdymukhammedov,Host a visit,Dmitry Anatolyevich Medvedev,2008-07-05
110,Tzipi Livni,Meet at a 'third' location,Mahmoud Abbas,2006-05-21
111,Head of Government (Mongolia),Express intent to meet or negotiate,Wen Jiabao,2010-04-28
112,Barack Obama,Praise or endorse,Angela Merkel,2011-09-19
113,Police (Australia),Investigate,Citizen (Australia),2013-10-01
114,Angela Merkel,Host a visit,Alexis Tsipras,2015-03-23
115,City Mayor (Australia),Express intent to provide humanitarian aid,Citizen (Australia),2013-06-04
116,Japan,Consult,China,2009-01-07
117,Japan,Make an appeal or request,China,2008-07-22
118,Japan,Express intent to meet or negotiate,South Korea,2008-10-03
119,Envoy (United States),Criticize or denounce,China,2008-01-18
120,Wen Jiabao,Make statement,China,2005-04-21
121,Foreign Affairs (South Korea),Express intent to meet or negotiate,Japan,2005-10-24
122,China,Host a visit,Shivraj Patil,2006-11-15
123,Benjamin Netanyahu,Make a visit,Barack Obama,2009-05-29
124,Shimon Peres,Meet at a 'third' location,Mahmoud Abbas,2006-05-21
125,Japan,Express intent to cooperate,South Korea,2014-09-11
126,South Korea,Express intent to cooperate,China,2010-12-23
127,Police (Australia),"Arrest, detain, or charge with legal action",Citizen (Australia),2008-12-03
128,Police (South Africa),"Arrest, detain, or charge with legal action",Men (South Africa),2007-07-17
129,South Sudan,Engage in material cooperation,Sudan,2012-02-14
130,China,Consult,South Korea,2013-05-02
131,Barack Obama,Engage in diplomatic cooperation,Benjamin Netanyahu,2015-05-08
132,Japan,Engage in diplomatic cooperation,China,2015-03-22
133,Thailand,Reject,Cambodia,2009-11-16
134,Governor (Thailand),Make an appeal or request,Citizen (Thailand),2010-04-30
135,Ministry (Nigeria),Make statement,Government (Nigeria),2012-07-17
136,Tzipi Livni,Express intent to meet or negotiate,France,2006-08-23
137,Javier Solana,Discuss by telephone,Iran,2008-07-04
138,China,Make a visit,South Korea,2012-11-20
139,Vietnam,Engage in diplomatic cooperation,Malaysia,2009-11-05
140,Police (Australia),Make an appeal or request,Citizen (Australia),2015-10-07
141,Fahed al-Jasem el-Freij,Make a visit,Iran,2015-04-28
142,Ma Ying Jeou,Reject,China,2008-03-18
143,Japan,Consult,South Korea,2015-10-29
144,al-Aqsa Martyrs' Brigades,Make an appeal or request,Citizen (International),2006-01-07
145,Japan,Consult,South Korea,2015-06-22
146,Jack Straw,Make optimistic comment,Iraq,2005-06-09
147,Citizen (Nigeria),Accuse,Government (Nigeria),2009-11-23
148,Police (Australia),"Arrest, detain, or charge with legal action",Citizen (Australia),2009-02-03
149,Dmitry Anatolyevich Medvedev,Discuss by telephone,Islam Karimov,2010-11-27
150,China,Reduce or break diplomatic relations,Japan,2005-12-08
151,Citizen (Nigeria),Praise or endorse,Bukola Saraki,2015-05-11
152,Police (Uganda),"Arrest, detain, or charge with legal action",Citizen (Uganda),2007-10-15
153,South Korea,Engage in material cooperation,China,2005-12-12
154,Vietnam,Engage in diplomatic cooperation,China,2009-04-20
155,Wen Jiabao,Make statement,Yasuo Fukuda,2007-12-28
156,Georgios Papandreou,Make an appeal or request,Citizen (Greece),2007-09-13
157,Donald Rumsfeld,Make statement,China,2005-10-21
158,Police (Australia),Make an appeal or request,Citizen (Australia),2015-08-03
159,Lawyer/Attorney (Australia),Deny responsibility,Citizen (Australia),2010-09-16
160,Shimon Peres,Make statement,Benjamin Netanyahu,2009-05-17
161,Barack Obama,Express intent to provide military aid,Iraq,2014-06-17
162,Lee Myung Bak,Engage in negotiation,Yoshihiko Noda,2011-10-18
163,Barack Obama,Consult,Xi Jinping,2015-09-24
164,China,Halt negotiations,Japan,2009-07-15
165,South Korea,Make statement,China,2005-07-26
166,Japan,Make a visit,China,2006-06-28
167,China,Engage in negotiation,Japan,2012-10-12
168,Citizen (Croatia),Demand change in leadership,Government (Croatia),2011-03-09
