,head,relation,tail,time
0,Ognyan Gerdzhikov,Make a visit,Malaysia,2005-01-02
1,Malaysia,Host a visit,Ognyan Gerdzhikov,2005-01-02
2,Dominican Republic,Host a visit,China,2005-01-28
3,China,Make a visit,Dominican Republic,2005-01-28
4,Police (Malaysia),Make statement,Malaysia,2005-01-28
5,Malaysia,Investigate,Police (Malaysia),2005-01-28
6,Israeli Defense Forces,Use conventional military force,Settler (Israel),2005-01-30
7,Settler (Israel),Use unconventional violence,Israeli Defense Forces,2005-01-30
8,Japan Self-Defense Forces,Provide military protection or peacekeeping,Sudan,2005-02-03
9,Sudan,Receive deployment of peacekeepers,Japan Self-Defense Forces,2005-02-03
10,Oluṣẹgun Ọbasanjọ,Make a visit,Niger,2005-02-09
11,Iraq,Host a visit,Donald Rumsfeld,2005-02-09
12,Niger,Host a visit,Oluṣẹgun Ọbasanjọ,2005-02-09
13,Donald Rumsfeld,Make a visit,Iraq,2005-02-09
14,Abdul Kalam,Praise or endorse,Carlo Azeglio Ciampi,2005-02-14
15,Carlo Azeglio Ciampi,Make a visit,Abdul Kalam,2005-02-14
16,Abdul Kalam,Host a visit,Carlo Azeglio Ciampi,2005-02-14
17,Shaukat Aziz,Express intent to meet or negotiate,Iran,2005-02-25
18,Iran,Consult,Shaukat Aziz,2005-02-25
19,France,Host a visit,Saifur Rahman,2005-02-27
20,Saifur Rahman,Make a visit,France,2005-02-27
21,Armed Rebel (Russia),Use unconventional violence,Military (Russia),2005-03-02
22,Military (Russia),Use conventional military force,Armed Rebel (Russia),2005-03-02
23,Military Personnel (Yemen),Host a visit,Ali Abdullah Saleh,2005-03-10
24,Ali Abdullah Saleh,Make a visit,Military Personnel (Yemen),2005-03-10
25,China,Express intent to meet or negotiate,Japan,2005-03-15
26,Japan,Make pessimistic comment,China,2005-03-15
27,Japan,Consult,China,2005-03-15
28,Japan,Consult,South Korea,2005-03-17
29,South Korea,Make statement,Japan,2005-03-17
30,Abdullah Gül,Sign formal agreement,Rafael Antonio Bielsa,2005-03-28
31,Rafael Antonio Bielsa,Consult,Abdullah Gül,2005-03-28
32,Member of Parliament (Australia),Express intent to engage in diplomatic cooperation (such as policy support),Peter Costello,2005-04-02
33,Peter Costello,Make statement,Member of Parliament (Australia),2005-04-02
34,Iran,Express intent to meet or negotiate,France,2005-04-05
35,Iran,Express intent to cooperate,France,2005-04-05
36,France,Meet at a 'third' location,Iran,2005-04-05
37,Citizen (Australia),Engage in symbolic act,Police (Australia),2005-04-08
38,Police (Australia),Investigate,Citizen (Australia),2005-04-08
39,Japan,Consult,South Korea,2005-04-08
40,South Korea,Accuse,Japan,2005-04-08
41,China,Host a visit,Ministry (Egypt),2005-04-10
42,Ministry (Egypt),Make a visit,China,2005-04-10
43,South Korea,Demand,Japan,2005-04-13
44,South Korea,Reject,Japan,2005-04-13
45,Japan,Meet at a 'third' location,South Korea,2005-04-13
46,South Korea,Meet at a 'third' location,Japan,2005-04-14
47,Japan,Praise or endorse,South Korea,2005-04-14
48,China,Express intent to cooperate,South Korea,2005-04-14
49,South Korea,Make a visit,China,2005-04-14
50,South Korea,Express intent to engage in diplomatic cooperation (such as policy support),Japan,2005-04-14
51,Roh Moo Hyun,Make a visit,South Korea,2005-04-16
52,Kuomintang,Consult,China,2005-04-16
53,South Korea,Consult,Roh Moo Hyun,2005-04-16
54,China,Host a visit,Kuomintang,2005-04-16
55,China,Make optimistic comment,Japan,2005-04-17
56,Japan,Make a visit,China,2005-04-17
57,China,Host a visit,Japan,2005-04-17
58,China,Sign formal agreement,Japan,2005-04-18
59,Japan,Express intent to cooperate,China,2005-04-18
60,Military (Russia),Use conventional military force,Armed Rebel (Russia),2005-04-19
61,Armed Rebel (Russia),fight with small arms and light weapons,Military (Russia),2005-04-19
62,Lien Chan,Make a visit,China,2005-04-20
63,Kuomintang,Engage in negotiation,China,2005-04-20
64,China,Host a visit,Kuomintang,2005-04-20
65,China,Host a visit,Lien Chan,2005-04-20
66,China,Appeal for diplomatic cooperation (such as policy support),Japan,2005-04-22
67,Japan,Engage in diplomatic cooperation,China,2005-04-22
68,China,Make an appeal or request,Japan,2005-04-22
69,China,Criticize or denounce,Japan,2005-04-22
70,Japan,"Demand meeting, negotiation",China,2005-04-22
71,Japan,Occupy territory,China,2005-04-23
72,Japan,Engage in diplomatic cooperation,China,2005-04-23
73,China,Accuse,Japan,2005-04-23
74,Foreign Affairs (Israel),Make a visit,Mauritania,2005-04-26
75,Mauritania,Host a visit,Foreign Affairs (Israel),2005-04-26
76,Japan,Demand,China,2005-04-27
77,China,Consult,Japan,2005-04-27
78,China,Deny responsibility,Japan,2005-04-28
79,Japan,Demand diplomatic cooperation (such as policy support),China,2005-04-28
80,France,Express intent to meet or negotiate,China,2005-05-03
81,China,Engage in diplomatic cooperation,France,2005-05-03
82,China,Consult,Japan,2005-05-08
83,Japan,Express intent to cooperate,China,2005-05-08
84,Guerrilla (Colombia),Use unconventional violence,Marine Corp (Colombia),2005-05-16
85,Marine Corp (Colombia),Use conventional military force,Guerrilla (Colombia),2005-05-16
86,Japan,Share intelligence or information,South Korea,2005-05-30
87,South Korea,Consult,Japan,2005-05-30
88,Japan,Engage in diplomatic cooperation,China,2005-06-02
89,China,Threaten,Japan,2005-06-02
90,Jack McConnell,Make a visit,Malawi,2005-06-02
91,Malawi,Host a visit,Jack McConnell,2005-06-02
92,African Union,Make a visit,Sudan,2005-06-03
93,Sudan,Host a visit,African Union,2005-06-03
94,Jason C. Hu,Make a visit,China,2005-06-09
95,China,Host a visit,Jason C. Hu,2005-06-09
96,African Union,Provide military protection or peacekeeping,Sudan,2005-06-10
97,Sudan,Receive deployment of peacekeepers,African Union,2005-06-10
98,Head of Government (Nigeria),Host a visit,African Union,2005-06-16
99,African Union,Make a visit,Head of Government (Nigeria),2005-06-16
100,South Korea,Make a visit,China,2005-06-20
101,China,Host a visit,South Korea,2005-06-20
102,Iran,Make optimistic comment,Mahmoud Ahmadinejad,2005-06-25
103,Mahmoud Ahmadinejad,Make an appeal or request,Iran,2005-06-25
104,Kazakhstan,Express intent to engage in diplomatic cooperation (such as policy support),China,2005-07-02
105,China,Engage in diplomatic cooperation,Kazakhstan,2005-07-02
106,Criminal (Australia),Use unconventional violence,Police (Australia),2005-07-03
107,Police (Australia),Use conventional military force,Criminal (Australia),2005-07-03
108,Thailand,Express intent to meet or negotiate,Cambodia,2005-07-05
109,Cambodia,Express intent to cooperate,Thailand,2005-07-05
110,Thailand,Consult,China,2005-07-05
111,China,Sign formal agreement,Thailand,2005-07-05
112,Islam Karimov,Make a visit,Kazakhstan,2005-07-06
113,Kazakhstan,Host a visit,Islam Karimov,2005-07-06
114,Association of Southeast Asian Nations,Make a visit,Laos,2005-07-14
115,Laos,Host a visit,Association of Southeast Asian Nations,2005-07-14
116,Iraq,Make a visit,Iran,2005-07-16
117,Iran,Express intent to engage in diplomatic cooperation (such as policy support),Iraq,2005-07-16
118,China,Criticize or denounce,Japan,2005-07-22
119,Japan,Express intent to engage in diplomatic cooperation (such as policy support),China,2005-07-22
120,South Korea,Make statement,China,2005-07-26
121,South Korea,Consult,China,2005-07-26
122,China,Engage in negotiation,South Korea,2005-07-26
123,South Korea,Express intent to meet or negotiate,Japan,2005-07-27
124,Japan,Engage in diplomatic cooperation,South Korea,2005-07-27
125,China,Host a visit,Cabinet / Council of Ministers / Advisors (United States),2005-08-03
126,Cabinet / Council of Ministers / Advisors (United States),Engage in negotiation,China,2005-08-03
127,Japan,Express intent to meet or negotiate,China,2005-08-04
128,China,Engage in negotiation,Japan,2005-08-04
129,China,Express intent to cooperate,Japan,2005-08-04
130,South Korea,Express intent to engage in diplomatic cooperation (such as policy support),Japan,2005-08-08
131,Japan,Express intent to cooperate,South Korea,2005-08-08
132,Japan,Sign formal agreement,Thailand,2005-08-10
133,Thailand,Make an appeal or request,Japan,2005-08-10
134,North America,Host a visit,China,2005-08-20
135,China,Make a visit,North America,2005-08-20
136,Kuomintang,Make a visit,People First Party Korea,2005-08-28
137,People First Party Korea,Host a visit,Kuomintang,2005-08-28
138,Vietnam,Make a visit,Laos,2005-08-29
139,Laos,Host a visit,Vietnam,2005-08-29
140,Association of Southeast Asian Nations,Make a visit,Laos,2005-08-30
141,Laos,Host a visit,Association of Southeast Asian Nations,2005-08-30
142,Roh Moo Hyun,Make an appeal or request,Grand National Party,2005-08-31
143,Grand National Party,Accuse,Roh Moo Hyun,2005-08-31
144,Tony Blair,Engage in negotiation,Wen Jiabao,2005-09-05
