,head,relation,tail,time
0,Islam Karimov,Consult,Eurasian Economic Community,2006-08-17
1,Angela Merkel,Express intent to cooperate,Cristina Fernández de Kirchner,2013-01-27
2,Media (Africa),Consult,Finance / Economy / Commerce / Trade Ministry (Namibia),2005-09-14
3,Minister Nemwang,Consult,Prachanda,2007-10-26
4,Yoon Jeung Hyun,Consult,Yoon Jeung Hyun,2010-11-09
5,City Mayor (Philippines),Make statement,Police (Philippines),2006-01-11
6,Eritrea,Accuse,Ethiopia,2015-09-15
7,Malaysia,Sign formal agreement,Laos,2008-04-03
8,Cambodia,Sign formal agreement,Thailand,2008-05-07
9,Prem Tinsulanonda,Demonstrate or rally,Prem Tinsulanonda,2007-07-26
10,Chevron,Sign formal agreement,USAID,2011-03-02
11,Cabinet / Council of Ministers / Advisors (United States),Engage in negotiation,Pham Binh Minh,2014-05-22
12,South Sudan,Engage in diplomatic cooperation,China,2012-04-09
13,Student (Tanzania),Consult,Citizen (Tanzania),2011-10-04
14,Benjamin Netanyahu,Engage in negotiation,Barack Obama,2010-06-24
15,Vietnam,Engage in diplomatic cooperation,Cambodia,2006-03-17
16,Lee Myung Bak,Express intent to engage in diplomatic cooperation (such as policy support),Energy Department/Ministry (Brazil),2008-11-19
17,Thailand,Express intent to meet or negotiate,Cambodia,2005-07-05
18,Japan,Engage in negotiation,China,2006-12-06
19,Saud bin Faisal bin Abdul-Aziz,Consult,Cabinet / Council of Ministers / Advisors (United States),2011-09-21
20,Miguel Treviño Morales,Use unconventional violence,Iván Velázquez-Caballero,2012-09-27
21,Lawyer/Attorney (Jordan),Consult,Al Sharq al Awsat,2006-03-18
22,Labor Union (Nigeria),Sign formal agreement,Government (Nigeria),2015-01-19
23,Prem Tinsulanonda,Consult,Military Personnel (Thailand),2010-02-19
24,Iran,Engage in negotiation,France,2006-09-20
25,China,Express intent to cooperate,South Korea,2007-09-14
26,Vietnam,Express intent to cooperate on intelligence,Sudan,2010-11-04
27,Gholamali Haddad Adel,Consult,Business (Iran),2006-10-27
28,Mahmoud Abbas,Engage in negotiation,Sheikh Hamad bin Isa al Khalifah,2006-09-04
29,Education Ministry (Czech Republic),Consult,Ministry (Social Democratic Party),2015-09-23
