head	relation	tail	time
Mahmoud Abbas	Express intent to cooperate	Benjamin Netanyahu	2010-10-02
United Arab Emirates	Express intent to cooperate	UAE Armed Forces	2010-07-19
Japan	Engage in diplomatic cooperation	South Korea	2011-01-11
Business (Canada)	Sign formal agreement	Iraq	2008-03-31
South Korea	Engage in negotiation	Japan	2015-12-15
Industrial / Textiles / Mining Ministry (China)	Consult	City Mayor (China)	2007-10-28
Nasser Judeh	Consult	Cabinet / Council of Ministers / Advisors (United States)	2009-08-14
Barack Obama	Engage in negotiation	Xi Jinping	2015-11-18
Thailand	Express intent to cooperate	China	2012-07-03
Farouk al-Sharaa	Engage in negotiation	Saud bin Faisal bin Abdul-Aziz	2006-01-08
Nuri al-Maliki	Consult	Abdullah Gül	2008-11-01
Daniel Scioli	Consult	Raúl Castro	2015-07-22
South Korea	Consult	China	2006-09-14
Separatist Leader (Kosovo)	Engage in negotiation	UN Security Council	2007-12-19
Thailand	Express intent to cooperate	Cambodia	2011-09-16
Evo Morales	Engage in negotiation	Raúl Castro	2008-05-22
Association of Southeast Asian Nations	Engage in diplomatic cooperation	China	2014-04-21
Marios Garoyian	Consult	Head of Government (Greece)	2009-04-22
China	Engage in diplomatic cooperation	Iran	2013-10-12
Cambodia	Sign formal agreement	Laos	2012-09-13
Japan	Engage in diplomatic cooperation	South Africa	2010-04-27
Angola	Sign formal agreement	South Africa	2006-09-02
Governor (Kenya)	Consult	Media (Kenya)	2014-11-18
Benjamin Netanyahu	Consult	Barack Obama	2012-04-10
Barack Obama	Consult	South Korea	2009-06-17
Industrial / Textiles / Mining Ministry (Vietnam)	Consult	Ministry of Public Security (Vietnam)	2010-09-07
China	Engage in negotiation	South Korea	2009-10-10
Dmitry Anatolyevich Medvedev	Consult	UN Security Council	2008-08-09
Ma Ying Jeou	Consult	Kuomintang	2013-02-22
South Korea	Engage in diplomatic cooperation	Colombia	2010-06-18
Mexico	Engage in negotiation	South Korea	2007-12-08
Vietnam	Express intent to cooperate	Cambodia	2010-08-26
Royal Administration (Japan)	Consult	Emperor Akihito	2005-03-07
Benjamin Netanyahu	Consult	Mahmoud Abbas	2009-04-15
Milo Djukanovic	Consult	Vlado Buckovski	2005-05-10
Congress (United States)	Consult	Pervez Musharraf	2008-02-21
Sudan	Consult	South Sudan	2012-02-14
Thailand	Engage in diplomatic cooperation	Sudan	2007-04-16
Senate (Romania)	Consult	Legislature (Romania)	2015-09-29
Laos	Consult	China	2009-09-19
China	Consult	South Korea	2010-08-26
Justice Department/Ministery (Tanzania)	Consult	Jakaya Mrisho Kikwete	2012-10-23
Segolene Royal	Consult	Cristina Fernández de Kirchner	2007-10-28
Lee Myung Bak	Discuss by telephone	Barack Obama	2008-11-11
Barack Obama	Engage in negotiation	William Ruto	2015-07-25
Detainee (Myanmar)	Consult	Special Rapporteurs of the United Nations	2009-02-19
Foreign Affairs (Cape Verde)	Engage in negotiation	Sheikh Ahmed Abdullah	2009-04-21
China	Consult	Japan	2014-12-28
Harald V	Consult	Jens Stoltenberg	2005-10-14
Party President (Uri Party)	Consult	Chung Sye Kyun	2006-01-05
