head,relation,tail,time
10 Downing Street,Reject,Boris Johnson,2014-08-26
10 Downing Street,Reject,Boris Johnson,2014-10-13
A.P. Sharma,Make statement,Governor (India),2014-09-02
A.P. Sharma,Make statement,Governor (India),2014-09-03
AB Lithuanian Gas,Consult,Gazprom,2014-04-30
AB Lithuanian Gas,Sign formal agreement,Gazprom,2014-05-13
AB Lithuanian Gas,Engage in negotiation,Gazprom,2014-04-30
ANC Youth League,Engage in diplomatic cooperation,Julius Malema,2014-02-22
ANC Youth League,Make statement,Julius Malema,2014-02-22
Aam Aadmi Party,Make an appeal or request,Citizen (India),2014-09-10
Aam Aadmi Party,Threaten,Citizen (India),2014-09-30
Aam Aadmi Party,Engage in symbolic act,Citizen (India),2014-11-27
Aam Aadmi Party,Criticize or denounce,Citizen (India),2014-04-14
Aam Aadmi Party,Demand,Citizen (India),2014-03-02
Aam Aadmi Party,Make an appeal or request,Citizen (India),2014-09-11
Aam Aadmi Party,Expel or deport individuals,Citizen (India),2014-07-11
Aam Aadmi Party,"Accuse of crime, corruption",Citizen (India),2014-09-20
Aam Aadmi Party,"Accuse of crime, corruption",Citizen (India),2014-02-23
Aam Aadmi Party,Rally opposition against,Citizen (India),2014-03-01
Aam Aadmi Party,Accuse,Citizen (India),2014-09-11
Aam Aadmi Party,Make an appeal or request,Citizen (India),2014-04-05
Aam Aadmi Party,Express intent to meet or negotiate,Citizen (India),2014-01-24
Aam Aadmi Party,Express intent to provide humanitarian aid,Citizen (India),2014-12-16
Aam Aadmi Party,Criticize or denounce,Citizen (India),2014-03-22
Aam Aadmi Party,Make an appeal or request,Citizen (India),2014-02-22
Aam Aadmi Party,Reduce relations,Citizen (India),2014-01-27
Aam Aadmi Party,"Reject proposal to meet, discuss, or negotiate",Citizen (India),2014-07-21
Aam Aadmi Party,Make an appeal or request,Citizen (India),2014-04-18
Aam Aadmi Party,Make statement,Election Commission (India),2014-04-08
Aam Aadmi Party,Make an appeal or request,Election Commission (India),2014-03-25
Aam Aadmi Party,Use conventional military force,Election Commission (India),2014-05-13
Aam Aadmi Party,Criticize or denounce,Election Commission (India),2014-05-06
