relation test,relation train,#evolve,#rel_test,percentage
Reject,Veto,0,87,0.0
Reject,Halt mediation,0,87,0.0
Reject,Reduce or stop humanitarian assistance,3,87,0.034482758620689655
Reject,Reject military cooperation,1,87,0.011494252873563218
Reject,Threaten to reduce or stop aid,0,87,0.0
Reject,"Appeal for easing of economic sanctions, boycott, or embargo",1,87,0.011494252873563218
Reject,Threaten to halt negotiations,0,87,0.0
Make statement,Refuse to de-escalate military engagement,0,1500,0.0
Make statement,Use tactics of violent repression,2,1500,0.0013333333333333333
Make statement,Appeal to others to settle dispute,0,1500,0.0
Make statement,Express intent to change policy,1,1500,0.0006666666666666666
Make statement,Accede to demands for change in policy,1,1500,0.0006666666666666666
Make statement,Express intent to de-escalate military engagement,6,1500,0.004
Make statement,"Express intent to ease economic sanctions, boycott, or embargo",15,1500,0.01
Make statement,Mobilize or increase police power,21,1500,0.014
Make statement,Demonstrate military or police power,9,1500,0.006
Make statement,Express intent to cooperate militarily,2,1500,0.0013333333333333333
Make statement,Demand that target yields,1,1500,0.0006666666666666666
Make statement,"Accede to demands for change in institutions, regime",3,1500,0.002
Make statement,Veto,0,1500,0.0
Make statement,Demand policy change,1,1500,0.0006666666666666666
Make statement,Reject economic cooperation,0,1500,0.0
Make statement,Accede to requests or demands for political reform,0,1500,0.0
Make statement,Destroy property,0,1500,0.0
Make statement,Increase police alert status,16,1500,0.010666666666666666
Make statement,Violate ceasefire,0,1500,0.0
Make statement,"Express intent to change institutions, regime",1,1500,0.0006666666666666666
Make statement,Demand military aid,0,1500,0.0
Make statement,Seize or damage property,2,1500,0.0013333333333333333
Make statement,Reject military cooperation,2,1500,0.0013333333333333333
Make statement,Threaten to reduce or stop aid,2,1500,0.0013333333333333333
Make statement,Carry out car bombing,0,1500,0.0
Make statement,Threaten to halt mediation,0,1500,0.0
Make statement,Express intent to institute political reform,0,1500,0.0
Make statement,"Appeal for easing of economic sanctions, boycott, or embargo",0,1500,0.0
Make statement,Engage in mass expulsion,0,1500,0.0
Make statement,Engage in violent protest for rights,0,1500,0.0
Make statement,Reject judicial cooperation,0,1500,0.0
Consult,Discuss by telephone,861,977,0.8812691914022518
Consult,Meet at a 'third' location,379,977,0.38792221084953943
Consult,Express intent to settle dispute,32,977,0.032753326509723645
Consult,"Express intent to ease economic sanctions, boycott, or embargo",0,977,0.0
Consult,"Ease economic sanctions, boycott, embargo",1,977,0.0010235414534288639
Consult,Ease state of emergency or martial law,0,977,0.0
Consult,"Accede to demands for change in institutions, regime",1,977,0.0010235414534288639
Consult,Demand policy change,0,977,0.0
Consult,Express intent to cooperate on intelligence,2,977,0.0020470829068577278
Consult,Demand material aid,0,977,0.0
Consult,"Express intent to change institutions, regime",1,977,0.0010235414534288639
Consult,"Appeal for easing of economic sanctions, boycott, or embargo",1,977,0.0010235414534288639
Consult,Engage in mass expulsion,0,977,0.0
Consult,Reject judicial cooperation,1,977,0.0010235414534288639
