head	relation_x	tail	time_x
Court Judge (India)	Reduce or stop humanitarian assistance	Citizen (India)	2014-03-20
North Korea	Reject military cooperation	South Korea	2014-02-16
North Korea	Appeal for easing of economic sanctions, boycott, or embargo	South Korea	2014-06-26
Police (Hong Kong)	Use tactics of violent repression	Protester (Hong Kong)	2014-06-14
Military (Thailand)	Use tactics of violent repression	Protester (Thailand)	2014-05-22
Arnaud Montebourg	Express intent to change policy	France	2014-08-25
Bahrain	Accede to demands for change in policy	Qatar	2014-03-08
Benjamin Netanyahu	Express intent to de-escalate military engagement	Hamas	2014-04-23
Barack Obama	Express intent to de-escalate military engagement	Afghanistan	2014-02-26
Barack Obama	Express intent to de-escalate military engagement	Afghanistan	2014-01-03
Barack Obama	Express intent to de-escalate military engagement	Afghanistan	2014-02-25
Barack Obama	Express intent to de-escalate military engagement	Iraq	2014-09-12
Barack Obama	Express intent to ease economic sanctions, boycott, or embargo	Iran	2014-06-08
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-07-01
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-07-04
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-05-30
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-06-04
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-05-31
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-06-11
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-06-30
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-06-22
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-05-29
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-06-05
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-06-25
China	Express intent to ease economic sanctions, boycott, or embargo	Iran	2014-01-13
Police (Canada)	Mobilize or increase police power	Canada	2014-01-11
Police (Canada)	Mobilize or increase police power	Canada	2014-04-23
Police (Canada)	Mobilize or increase police power	Canada	2014-07-04
Police (Canada)	Mobilize or increase police power	Canada	2014-06-16
Police (Philippines)	Mobilize or increase police power	Philippines	2014-08-11
Police (Philippines)	Mobilize or increase police power	Philippines	2014-11-11
Police (Philippines)	Mobilize or increase police power	Philippines	2014-11-03
Police (Philippines)	Mobilize or increase police power	Philippines	2014-07-01
Police (Philippines)	Mobilize or increase police power	Philippines	2014-05-07
Police (Philippines)	Mobilize or increase police power	Philippines	2014-07-31
Barack Obama	Mobilize or increase police power	Iraq	2014-06-18
Iran	Demonstrate military or police power	Iraq	2014-06-15
Iran	Demonstrate military or police power	Iraq	2014-06-25
Other Authorities / Officials (China)	Demonstrate military or police power	China	2014-07-23
Other Authorities / Officials (China)	Demonstrate military or police power	China	2014-05-24
North Korea	Demonstrate military or police power	South Korea	2014-02-27
Ministry (Iran)	Demonstrate military or police power	Iran	2014-11-22
China	Express intent to cooperate militarily	Thailand	2014-11-02
North Korea	Express intent to cooperate militarily	South Korea	2014-04-29
Mexico	Demand that target yields	Government (Mexico)	2014-05-29
John Kerry	Accede to demands for change in institutions, regime	Iraq	2014-06-25
Islamic Preacher (Iran)	Demand policy change	Iran	2014-03-02
Other Authorities / Officials (China)	Increase police alert status	China	2014-03-01
Other Authorities / Officials (China)	Increase police alert status	China	2014-02-26
Nuri al-Maliki	Increase police alert status	Iraq	2014-06-10
Police (Canada)	Increase police alert status	Canada	2014-10-23
Police (Philippines)	Increase police alert status	Philippines	2014-04-25
Police (Philippines)	Increase police alert status	Philippines	2014-06-01
Iran	Express intent to change institutions, regime	Iraq	2014-08-06
Police (South Korea)	Seize or damage property	South Korea	2014-06-11
Police (South Korea)	Seize or damage property	South Korea	2014-06-12
North Korea	Reject military cooperation	South Korea	2014-02-16
Protester (Thailand)	Threaten to reduce or stop aid	Thailand	2014-01-07
Protester (Thailand)	Threaten to reduce or stop aid	Thailand	2014-01-04
Angela Merkel	Discuss by telephone	Head of Government (Ukraine)	2014-07-15
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-06-26
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-04-13
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-03-13
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-07-21
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-10-24
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-08-11
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-04-19
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-10-07
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-05-12
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-06-12
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-04-02
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-04-27
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-11-12
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-04-24
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-03-16
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-10-03
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-02-22
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-04-14
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-04-03
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-10-14
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-04-12
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-04-22
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-09-21
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-05-08
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-11-22
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-03-29
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-01-15
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-04-07
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-07-01
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-03-14
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-03-11
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-07-29
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-01-09
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-03-31
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-04-11
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-10-09
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-03-17
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-11-21
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-02-23
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-01-21
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-05-10
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-02-28
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-03-09
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-10-08
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-11-23
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-07-28
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-11-14
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-04-09
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-04-10
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-02-27
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-11-15
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-06-27
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-06-14
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-03-30
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-03-07
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-01-20
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-08-09
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-04-26
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-12-13
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-03-19
