relation test,relation train,#implication,#rel_test,percentage
Criticize or denounce,Complain officially,42,309,0.13592233009708737
Criticize or denounce,Demand humanitarian aid,0,309,0.0
Criticize or denounce,"Demand meeting, negotiation",3,309,0.009708737864077669
Criticize or denounce,"Express intent to change institutions, regime",2,309,0.006472491909385114
Criticize or denounce,Veto,0,309,0.0
Criticize or denounce,"Ease economic sanctions, boycott, embargo",3,309,0.009708737864077669
Criticize or denounce,Demonstrate military or police power,27,309,0.08737864077669903
Criticize or denounce,Express intent to de-escalate military engagement,4,309,0.012944983818770227
Criticize or denounce,Accede to demands for rights,0,309,0.0
Criticize or denounce,Appeal to others to settle dispute,3,309,0.009708737864077669
Criticize or denounce,"Express intent to ease economic sanctions, boycott, or embargo",0,309,0.0
Criticize or denounce,fight with artillery and tanks,35,309,0.11326860841423948
Criticize or denounce,Express intent to cooperate on intelligence,6,309,0.019417475728155338
Criticize or denounce,Appeal for economic aid,25,309,0.08090614886731391
Criticize or denounce,Refuse to de-escalate military engagement,0,309,0.0
Criticize or denounce,Appeal for material cooperation,8,309,0.025889967637540454
Criticize or denounce,Demand settling of dispute,0,309,0.0
Criticize or denounce,"Appeal for easing of economic sanctions, boycott, or embargo",3,309,0.009708737864077669
Criticize or denounce,Appeal to yield,9,309,0.02912621359223301
Criticize or denounce,Demand release of persons or property,1,309,0.003236245954692557
Criticize or denounce,Appeal for rights,4,309,0.012944983818770227
Criticize or denounce,Appeal for military protection or peacekeeping,0,309,0.0
Criticize or denounce,Accuse of war crimes,2,309,0.006472491909385114
Criticize or denounce,Reject military cooperation,3,309,0.009708737864077669
Criticize or denounce,Threaten to halt negotiations,3,309,0.009708737864077669
Criticize or denounce,Demand material cooperation,3,309,0.009708737864077669
Criticize or denounce,Demand rights,0,309,0.0
Criticize or denounce,Demand political reform,0,309,0.0
Criticize or denounce,Demand judicial cooperation,4,309,0.012944983818770227
Criticize or denounce,Demand mediation,1,309,0.003236245954692557
Criticize or denounce,Reject judicial cooperation,1,309,0.003236245954692557
Criticize or denounce,Demand policy change,4,309,0.012944983818770227
Criticize or denounce,Reject economic cooperation,4,309,0.012944983818770227
Criticize or denounce,Halt mediation,0,309,0.0
Criticize or denounce,Accede to demands for change in policy,0,309,0.0
Criticize or denounce,Express intent to change policy,0,309,0.0
Criticize or denounce,Engage in mass expulsion,0,309,0.0
Criticize or denounce,Investigate human rights abuses,0,309,0.0
Express intent to meet or negotiate,Express intent to cooperate,962,495,1.9434343434343435
Express intent to meet or negotiate,Meet at a 'third' location,439,495,0.8868686868686869
Express intent to meet or negotiate,Discuss by telephone,677,495,1.3676767676767676
Express intent to meet or negotiate,Demand humanitarian aid,0,495,0.0
Express intent to meet or negotiate,Express intent to cooperate economically,74,495,0.1494949494949495
Express intent to meet or negotiate,"Express intent to change institutions, regime",1,495,0.00202020202020202
Express intent to meet or negotiate,"Ease economic sanctions, boycott, embargo",21,495,0.04242424242424243
Express intent to meet or negotiate,Express intent to cooperate militarily,1,495,0.00202020202020202
Express intent to meet or negotiate,Cooperate economically,43,495,0.08686868686868687
Express intent to meet or negotiate,Demonstrate military or police power,17,495,0.03434343434343434
Express intent to meet or negotiate,"Reject plan, agreement to settle dispute",39,495,0.07878787878787878
Express intent to meet or negotiate,"Obstruct passage, block",2,495,0.00404040404040404
Express intent to meet or negotiate,Express intent to de-escalate military engagement,2,495,0.00404040404040404
Express intent to meet or negotiate,Accede to demands for rights,0,495,0.0
Express intent to meet or negotiate,Impose state of emergency or martial law,0,495,0.0
Express intent to meet or negotiate,Demand de-escalation of military engagement,0,495,0.0
Express intent to meet or negotiate,Reduce or stop humanitarian assistance,0,495,0.0
Express intent to meet or negotiate,Appeal to others to settle dispute,8,495,0.01616161616161616
Express intent to meet or negotiate,"Express intent to ease economic sanctions, boycott, or embargo",31,495,0.06262626262626263
Express intent to meet or negotiate,Express intent to cooperate on intelligence,33,495,0.06666666666666667
Express intent to meet or negotiate,Express intent to settle dispute,75,495,0.15151515151515152
Express intent to meet or negotiate,Halt negotiations,26,495,0.052525252525252523
Express intent to meet or negotiate,Express intent to provide military protection or peacekeeping,0,495,0.0
Express intent to meet or negotiate,"Threaten with sanctions, boycott, embargo",0,495,0.0
Express intent to meet or negotiate,Refuse to de-escalate military engagement,0,495,0.0
Express intent to meet or negotiate,Ease military blockade,0,495,0.0
Express intent to meet or negotiate,Appeal for material cooperation,6,495,0.012121212121212121
Express intent to meet or negotiate,"Appeal for easing of economic sanctions, boycott, or embargo",1,495,0.00202020202020202
Express intent to meet or negotiate,Appeal to yield,2,495,0.00404040404040404
Express intent to meet or negotiate,Threaten to reduce or stop aid,0,495,0.0
Express intent to meet or negotiate,Appeal for aid,22,495,0.044444444444444446
Express intent to meet or negotiate,Reject military cooperation,1,495,0.00202020202020202
Express intent to meet or negotiate,Threaten to halt negotiations,1,495,0.00202020202020202
Express intent to meet or negotiate,Demand judicial cooperation,0,495,0.0
Express intent to meet or negotiate,Reject judicial cooperation,5,495,0.010101010101010102
Express intent to meet or negotiate,"Accede to demands for change in institutions, regime",0,495,0.0
Express intent to meet or negotiate,Halt mediation,0,495,0.0
Express intent to meet or negotiate,Express intent to change policy,0,495,0.0
Consult,Engage in negotiation,1604,977,1.6417604912998975
Consult,Express intent to cooperate,1352,977,1.383828045035824
Consult,Meet at a 'third' location,789,977,0.8075742067553736
Consult,Engage in diplomatic cooperation,590,977,0.6038894575230297
Consult,Discuss by telephone,1609,977,1.646878198567042
Consult,Express intent to cooperate economically,81,977,0.08290685772773797
Consult,"Express intent to change institutions, regime",1,977,0.0010235414534288639
Consult,"Ease economic sanctions, boycott, embargo",12,977,0.012282497441146366
Consult,Cooperate economically,34,977,0.03480040941658137
Consult,Demonstrate military or police power,14,977,0.014329580348004094
Consult,"Reject plan, agreement to settle dispute",48,977,0.04912998976458546
Consult,"Express intent to ease economic sanctions, boycott, or embargo",15,977,0.015353121801432957
Consult,Express intent to cooperate on intelligence,21,977,0.021494370522006142
Consult,Express intent to settle dispute,70,977,0.07164790174002048
Consult,Halt negotiations,31,977,0.03172978505629478
Consult,"Appeal for easing of economic sanctions, boycott, or embargo",1,977,0.0010235414534288639
Consult,Demand military aid,0,977,0.0
Consult,Engage in violent protest for rights,0,977,0.0
Consult,Threaten to halt negotiations,1,977,0.0010235414534288639
Consult,Demand mediation,0,977,0.0
Consult,Reject judicial cooperation,2,977,0.0020470829068577278
Consult,Demand policy change,0,977,0.0
