head	relation_x	tail	time_x
China	Complain officially	Japan	2014-05-26
Citizen (India)	Complain officially	Employee (India)	2014-03-30
Citizen (India)	Complain officially	Employee (India)	2014-03-22
Citizen (India)	Complain officially	Employee (India)	2014-09-16
Citizen (India)	Complain officially	Employee (India)	2014-06-29
Citizen (India)	Complain officially	Employee (India)	2014-09-09
Head of Government (India)	Complain officially	Citizen (India)	2014-04-28
South Korea	Complain officially	Japan	2014-04-04
Citizen (India)	Complain officially	Medical Personnel (India)	2014-05-08
Citizen (India)	Complain officially	Medical Personnel (India)	2014-02-08
Court Judge (India)	Complain officially	Citizen (India)	2014-01-23
Philippines	Complain officially	China	2014-05-14
Philippines	Complain officially	China	2014-06-16
Philippines	Complain officially	China	2014-05-15
Citizen (India)	Complain officially	Member of Parliament (India)	2014-01-11
Japan	Complain officially	South Korea	2014-11-27
Citizen (Kenya)	Complain officially	Police (Kenya)	2014-05-12
Employee (India)	Complain officially	Citizen (India)	2014-02-03
Employee (India)	Complain officially	Citizen (India)	2014-09-26
Employee (India)	Complain officially	Citizen (India)	2014-09-03
Employee (India)	Complain officially	Citizen (India)	2014-09-19
Employee (India)	Complain officially	Citizen (India)	2014-01-24
Medical Personnel (India)	Complain officially	Citizen (India)	2014-01-07
Citizen (India)	Complain officially	Islamic Preacher (India)	2014-11-12
Citizen (India)	Complain officially	Islamic Preacher (India)	2014-11-11
Ministry (Nigeria)	Demand meeting, negotiation	Citizen (Nigeria)	2014-03-21
Citizen (India)	Demand meeting, negotiation	Company - Owner or Operator (India)	2014-06-11
Citizen (Nigeria)	Demand meeting, negotiation	Boko Haram	2014-05-28
Iran	Express intent to change institutions, regime	Iraq	2014-08-06
Mohammad Javad Zarif	Ease economic sanctions, boycott, embargo	Iran	2014-03-18
Mohammad Javad Zarif	Ease economic sanctions, boycott, embargo	Iran	2014-03-02
Mohammad Javad Zarif	Ease economic sanctions, boycott, embargo	Iran	2014-03-03
South Korea	Demonstrate military or police power	North Korea	2014-07-16
South Korea	Demonstrate military or police power	North Korea	2014-08-18
South Korea	Demonstrate military or police power	North Korea	2014-08-17
Iran	Demonstrate military or police power	Iraq	2014-06-15
Iran	Demonstrate military or police power	Iraq	2014-06-25
China	Demonstrate military or police power	Japan	2014-12-23
China	Demonstrate military or police power	Japan	2014-08-05
China	Demonstrate military or police power	Japan	2014-08-04
North Korea	Demonstrate military or police power	Japan	2014-07-26
North Korea	Demonstrate military or police power	South Korea	2014-02-27
Benjamin Netanyahu	Express intent to de-escalate military engagement	Hamas	2014-04-23
Barack Obama	Express intent to de-escalate military engagement	Hamas	2014-08-05
Muslim (Nigeria)	Express intent to de-escalate military engagement	Citizen (Nigeria)	2014-10-09
Citizen (India)	Appeal to others to settle dispute	Employee (India)	2014-02-25
Barack Obama	Appeal to others to settle dispute	China	2014-06-20
Barack Obama	Appeal to others to settle dispute	China	2014-04-25
South Korea	fight with artillery and tanks	North Korea	2014-04-02
South Korea	fight with artillery and tanks	North Korea	2014-05-08
South Korea	fight with artillery and tanks	North Korea	2014-03-03
North Korea	fight with artillery and tanks	Japan	2014-03-26
North Korea	fight with artillery and tanks	Japan	2014-07-13
North Korea	fight with artillery and tanks	Japan	2014-07-27
North Korea	fight with artillery and tanks	Japan	2014-06-30
North Korea	fight with artillery and tanks	Japan	2014-03-28
North Korea	fight with artillery and tanks	South Korea	2014-12-01
North Korea	fight with artillery and tanks	South Korea	2014-06-29
North Korea	fight with artillery and tanks	South Korea	2014-05-08
North Korea	fight with artillery and tanks	South Korea	2014-12-04
North Korea	fight with artillery and tanks	South Korea	2014-09-07
North Korea	fight with artillery and tanks	South Korea	2014-04-02
Police (Hong Kong)	fight with artillery and tanks	Protester (Hong Kong)	2014-10-28
South Korea	Express intent to cooperate on intelligence	Japan	2014-12-30
South Korea	Express intent to cooperate on intelligence	Japan	2014-12-29
South Korea	Express intent to cooperate on intelligence	Japan	2014-12-26
Japan	Express intent to cooperate on intelligence	South Korea	2014-12-29
Japan	Express intent to cooperate on intelligence	South Korea	2014-12-26
Japan	Express intent to cooperate on intelligence	South Korea	2014-12-30
Citizen (Nigeria)	Appeal for economic aid	Member of the Judiciary (Nigeria)	2014-04-28
Citizen (Nigeria)	Appeal for economic aid	Member of the Judiciary (Nigeria)	2014-12-02
Citizen (Nigeria)	Appeal for economic aid	Member of the Judiciary (Nigeria)	2014-12-08
Citizen (Nigeria)	Appeal for economic aid	Government (Nigeria)	2014-10-13
Citizen (Nigeria)	Appeal for economic aid	Government (Nigeria)	2014-11-05
Citizen (Nigeria)	Appeal for economic aid	Government (Nigeria)	2014-06-20
Citizen (Kenya)	Appeal for economic aid	Government (Kenya)	2014-10-06
Citizen (Kenya)	Appeal for economic aid	Government (Kenya)	2014-11-11
Election Commission (India)	Appeal for economic aid	Citizen (India)	2014-04-06
Court Judge (India)	Appeal for economic aid	Citizen (India)	2014-10-10
Citizen (Nigeria)	Appeal for material cooperation	Government (Nigeria)	2014-03-03
Head of Government (Nigeria)	Appeal for material cooperation	Government (Nigeria)	2014-03-03
Head of Government (India)	Appeal for material cooperation	Citizen (India)	2014-06-11
North Korea	Appeal for easing of economic sanctions, boycott, or embargo	South Korea	2014-06-26
South Korea	Appeal to yield	North Korea	2014-10-26
South Korea	Appeal to yield	North Korea	2014-10-24
Citizen (Nigeria)	Appeal to yield	Member of the Judiciary (Nigeria)	2014-12-07
Citizen (Nigeria)	Appeal to yield	Government (Nigeria)	2014-11-29
Lawyer/Attorney (Kenya)	Demand release of persons or property	Citizen (Kenya)	2014-10-27
Japan	Appeal for rights	China	2014-06-04
North Korea	Appeal for rights	Japan	2014-04-09
South Korea	Appeal for rights	Japan	2014-04-16
Benjamin Netanyahu	Accuse of war crimes	Hamas	2014-09-30
North Korea	Reject military cooperation	South Korea	2014-02-16
North Korea	Threaten to halt negotiations	South Korea	2014-11-02
Head of Government (India)	Demand material cooperation	Citizen (India)	2014-03-30
Citizen (India)	Demand material cooperation	Medical Personnel (India)	2014-07-21
Citizen (Kenya)	Demand judicial cooperation	Police (Kenya)	2014-12-22
Citizen (Kenya)	Demand judicial cooperation	Police (Kenya)	2014-06-17
Employee (India)	Demand mediation	Citizen (India)	2014-12-25
South Korea	Reject judicial cooperation	Japan	2014-07-18
Citizen (Kenya)	Demand policy change	Government (Kenya)	2014-06-18
Citizen (Kenya)	Reject economic cooperation	Government (Kenya)	2014-08-04
South Korea	Express intent to cooperate	North Korea	2014-03-27
South Korea	Express intent to cooperate	North Korea	2014-10-04
South Korea	Express intent to cooperate	North Korea	2014-10-10
South Korea	Express intent to cooperate	North Korea	2014-02-12
South Korea	Express intent to cooperate	North Korea	2014-02-06
South Korea	Express intent to cooperate	North Korea	2014-10-02
South Korea	Express intent to cooperate	North Korea	2014-09-10
South Korea	Express intent to cooperate	North Korea	2014-10-09
South Korea	Express intent to cooperate	North Korea	2014-10-05
South Korea	Express intent to cooperate	North Korea	2014-01-06
South Korea	Express intent to cooperate	North Korea	2014-10-06
South Korea	Express intent to cooperate	North Korea	2014-02-17
Police (Australia)	Express intent to cooperate	Citizen (Australia)	2014-02-28
Abdullah Abdullah	Express intent to cooperate	Ashraf Ghani Ahmadzai	2014-07-12
Abdullah Abdullah	Express intent to cooperate	Ashraf Ghani Ahmadzai	2014-07-13
Abdullah Abdullah	Express intent to cooperate	Ashraf Ghani Ahmadzai	2014-09-22
Abdullah Abdullah	Express intent to cooperate	Ashraf Ghani Ahmadzai	2014-07-17
Abdullah Abdullah	Express intent to cooperate	Ashraf Ghani Ahmadzai	2014-08-16
Abdullah Abdullah	Express intent to cooperate	Ashraf Ghani Ahmadzai	2014-09-20
Abdullah Abdullah	Express intent to cooperate	Ashraf Ghani Ahmadzai	2014-08-07
Abdullah Abdullah	Express intent to cooperate	Ashraf Ghani Ahmadzai	2014-08-08
Abdullah Abdullah	Express intent to cooperate	Ashraf Ghani Ahmadzai	2014-09-08
Abdullah Abdullah	Express intent to cooperate	Ashraf Ghani Ahmadzai	2014-09-09
Abdullah Abdullah	Express intent to cooperate	Ashraf Ghani Ahmadzai	2014-07-31
Abdullah Abdullah	Express intent to cooperate	Ashraf Ghani Ahmadzai	2014-07-15
Abdullah Abdullah	Express intent to cooperate	Ashraf Ghani Ahmadzai	2014-09-24
Abdullah Abdullah	Express intent to cooperate	Ashraf Ghani Ahmadzai	2014-09-04
Abdullah Abdullah	Express intent to cooperate	Ashraf Ghani Ahmadzai	2014-07-16
Abdullah Abdullah	Express intent to cooperate	Ashraf Ghani Ahmadzai	2014-07-08
Abdullah Abdullah	Express intent to cooperate	Ashraf Ghani Ahmadzai	2014-08-02
Sergey Viktorovich Lavrov	Express intent to cooperate	John Kerry	2014-10-14
Sergey Viktorovich Lavrov	Express intent to cooperate	John Kerry	2014-11-21
Sergey Viktorovich Lavrov	Express intent to cooperate	John Kerry	2014-10-09
Sergey Viktorovich Lavrov	Express intent to cooperate	John Kerry	2014-09-25
Sergey Viktorovich Lavrov	Express intent to cooperate	John Kerry	2014-07-28
Sergey Viktorovich Lavrov	Express intent to cooperate	John Kerry	2014-01-15
Sergey Viktorovich Lavrov	Express intent to cooperate	John Kerry	2014-04-18
Sergey Viktorovich Lavrov	Express intent to cooperate	John Kerry	2014-01-10
Sergey Viktorovich Lavrov	Express intent to cooperate	John Kerry	2014-11-15
Sergey Viktorovich Lavrov	Express intent to cooperate	John Kerry	2014-11-14
Sergey Viktorovich Lavrov	Express intent to cooperate	John Kerry	2014-05-29
Sergey Viktorovich Lavrov	Express intent to cooperate	John Kerry	2014-04-22
Sergey Viktorovich Lavrov	Express intent to cooperate	John Kerry	2014-10-16
Sergey Viktorovich Lavrov	Express intent to cooperate	John Kerry	2014-04-09
Sergey Viktorovich Lavrov	Express intent to cooperate	John Kerry	2014-03-05
Sergey Viktorovich Lavrov	Express intent to cooperate	John Kerry	2014-12-12
Sergey Viktorovich Lavrov	Express intent to cooperate	John Kerry	2014-11-08
Sergey Viktorovich Lavrov	Express intent to cooperate	John Kerry	2014-02-27
Sergey Viktorovich Lavrov	Express intent to cooperate	John Kerry	2014-07-29
Sergey Viktorovich Lavrov	Express intent to cooperate	John Kerry	2014-10-03
Sergey Viktorovich Lavrov	Express intent to cooperate	John Kerry	2014-01-09
Sergey Viktorovich Lavrov	Express intent to cooperate	John Kerry	2014-03-08
Sergey Viktorovich Lavrov	Express intent to cooperate	John Kerry	2014-07-20
Sergey Viktorovich Lavrov	Express intent to cooperate	John Kerry	2014-03-11
Sergey Viktorovich Lavrov	Express intent to cooperate	John Kerry	2014-03-06
Sergey Viktorovich Lavrov	Express intent to cooperate	John Kerry	2014-07-19
Sergey Viktorovich Lavrov	Express intent to cooperate	John Kerry	2014-03-12
Sergey Viktorovich Lavrov	Express intent to cooperate	John Kerry	2014-03-16
Sergey Viktorovich Lavrov	Express intent to cooperate	John Kerry	2014-07-27
Sergey Viktorovich Lavrov	Express intent to cooperate	John Kerry	2014-05-09
Barack Obama	Express intent to cooperate	Xi Jinping	2014-03-24
Barack Obama	Express intent to cooperate	Xi Jinping	2014-07-15
Barack Obama	Express intent to cooperate	Xi Jinping	2014-11-12
Barack Obama	Express intent to cooperate	Xi Jinping	2014-11-13
Barack Obama	Express intent to cooperate	Xi Jinping	2014-11-14
Barack Obama	Express intent to cooperate	Xi Jinping	2014-04-09
Barack Obama	Express intent to cooperate	Xi Jinping	2014-12-19
Police (Kenya)	Express intent to cooperate	Citizen (Kenya)	2014-07-03
Police (Kenya)	Express intent to cooperate	Citizen (Kenya)	2014-02-25
Japan	Express intent to cooperate	China	2014-11-20
Japan	Express intent to cooperate	China	2014-09-12
Japan	Express intent to cooperate	China	2014-11-21
Japan	Express intent to cooperate	China	2014-11-11
Japan	Express intent to cooperate	China	2014-11-07
Japan	Express intent to cooperate	China	2014-09-19
Japan	Express intent to cooperate	China	2014-11-10
Japan	Express intent to cooperate	China	2014-08-10
Japan	Express intent to cooperate	China	2014-11-08
Japan	Express intent to cooperate	China	2014-09-26
Japan	Express intent to cooperate	China	2014-09-24
Japan	Express intent to cooperate	China	2014-12-09
Japan	Express intent to cooperate	China	2014-11-27
Japan	Express intent to cooperate	China	2014-12-30
Japan	Express intent to cooperate	China	2014-09-25
Japan	Express intent to cooperate	China	2014-11-29
Japan	Express intent to cooperate	China	2014-11-12
Japan	Express intent to cooperate	China	2014-11-13
Japan	Express intent to cooperate	China	2014-12-31
Japan	Express intent to cooperate	China	2014-11-23
Japan	Express intent to cooperate	China	2014-04-26
Japan	Express intent to cooperate	China	2014-09-11
Iran	Express intent to cooperate	Iraq	2014-11-14
Iran	Express intent to cooperate	Iraq	2014-03-14
Iran	Express intent to cooperate	Iraq	2014-02-26
Iran	Express intent to cooperate	Iraq	2014-03-01
John Kerry	Express intent to cooperate	Sergey Viktorovich Lavrov	2014-03-12
John Kerry	Express intent to cooperate	Sergey Viktorovich Lavrov	2014-03-15
John Kerry	Express intent to cooperate	Sergey Viktorovich Lavrov	2014-01-15
John Kerry	Express intent to cooperate	Sergey Viktorovich Lavrov	2014-04-02
John Kerry	Express intent to cooperate	Sergey Viktorovich Lavrov	2014-11-08
John Kerry	Express intent to cooperate	Sergey Viktorovich Lavrov	2014-03-11
John Kerry	Express intent to cooperate	Sergey Viktorovich Lavrov	2014-10-16
John Kerry	Express intent to cooperate	Sergey Viktorovich Lavrov	2014-11-21
John Kerry	Express intent to cooperate	Sergey Viktorovich Lavrov	2014-03-16
John Kerry	Express intent to cooperate	Sergey Viktorovich Lavrov	2014-09-25
John Kerry	Express intent to cooperate	Sergey Viktorovich Lavrov	2014-07-28
John Kerry	Express intent to cooperate	Sergey Viktorovich Lavrov	2014-10-14
John Kerry	Express intent to cooperate	Sergey Viktorovich Lavrov	2014-07-27
John Kerry	Express intent to cooperate	Sergey Viktorovich Lavrov	2014-01-09
John Kerry	Express intent to cooperate	Sergey Viktorovich Lavrov	2014-07-19
John Kerry	Express intent to cooperate	Sergey Viktorovich Lavrov	2014-12-12
John Kerry	Express intent to cooperate	Sergey Viktorovich Lavrov	2014-04-18
John Kerry	Express intent to cooperate	Sergey Viktorovich Lavrov	2014-03-06
John Kerry	Express intent to cooperate	Sergey Viktorovich Lavrov	2014-04-09
John Kerry	Express intent to cooperate	Sergey Viktorovich Lavrov	2014-05-29
John Kerry	Express intent to cooperate	Sergey Viktorovich Lavrov	2014-03-08
