relation test,relation train,#inverse,#rel_test,percentage
Criticize or denounce,Demand humanitarian aid,0,309,0.0
Criticize or denounce,"Demand meeting, negotiation",2,309,0.006472491909385114
Criticize or denounce,Accede to demands for rights,8,309,0.025889967637540454
Criticize or denounce,Reject request for military aid,0,309,0.0
Criticize or denounce,"Express intent to ease economic sanctions, boycott, or embargo",2,309,0.006472491909385114
Criticize or denounce,Express intent to cooperate on intelligence,2,309,0.006472491909385114
Criticize or denounce,"Ease economic sanctions, boycott, embargo",2,309,0.006472491909385114
Criticize or denounce,Demand settling of dispute,3,309,0.009708737864077669
Criticize or denounce,"Appeal for easing of economic sanctions, boycott, or embargo",2,309,0.006472491909385114
Criticize or denounce,Appeal to yield,3,309,0.009708737864077669
Criticize or denounce,fight with artillery and tanks,5,309,0.016181229773462782
Criticize or denounce,Demand military aid,0,309,0.0
Criticize or denounce,Engage in violent protest for rights,1,309,0.003236245954692557
Criticize or denounce,Appeal for military protection or peacekeeping,0,309,0.0
Criticize or denounce,Threaten to halt negotiations,2,309,0.006472491909385114
Criticize or denounce,Demand judicial cooperation,0,309,0.0
Criticize or denounce,Violate ceasefire,2,309,0.006472491909385114
Criticize or denounce,Demand mediation,2,309,0.006472491909385114
Criticize or denounce,Reject judicial cooperation,1,309,0.003236245954692557
Criticize or denounce,Seize or damage property,0,309,0.0
Criticize or denounce,Use as human shield,0,309,0.0
Criticize or denounce,Halt mediation,0,309,0.0
Criticize or denounce,Carry out car bombing,0,309,0.0
Criticize or denounce,Express intent to change policy,0,309,0.0
Express intent to meet or negotiate,Express intent to cooperate,103,495,0.2080808080808081
Express intent to meet or negotiate,Meet at a 'third' location,87,495,0.17575757575757575
Express intent to meet or negotiate,Discuss by telephone,44,495,0.08888888888888889
Express intent to meet or negotiate,Express intent to cooperate economically,40,495,0.08080808080808081
Express intent to meet or negotiate,"Express intent to change institutions, regime",0,495,0.0
Express intent to meet or negotiate,"Reject plan, agreement to settle dispute",28,495,0.05656565656565657
Express intent to meet or negotiate,Accede to demands for rights,0,495,0.0
Express intent to meet or negotiate,"Express intent to ease economic sanctions, boycott, or embargo",3,495,0.006060606060606061
Express intent to meet or negotiate,Express intent to cooperate on intelligence,11,495,0.022222222222222223
Express intent to meet or negotiate,Express intent to settle dispute,33,495,0.06666666666666667
Express intent to meet or negotiate,"Ease economic sanctions, boycott, embargo",4,495,0.00808080808080808
Express intent to meet or negotiate,Appeal for material cooperation,1,495,0.00202020202020202
Express intent to meet or negotiate,Demand settling of dispute,0,495,0.0
Express intent to meet or negotiate,"Appeal for easing of economic sanctions, boycott, or embargo",1,495,0.00202020202020202
Express intent to meet or negotiate,Threaten to halt negotiations,1,495,0.00202020202020202
Express intent to meet or negotiate,Demand judicial cooperation,1,495,0.00202020202020202
Express intent to meet or negotiate,Engage in political dissent,0,495,0.0
Express intent to meet or negotiate,Violate ceasefire,0,495,0.0
Express intent to meet or negotiate,Demand mediation,0,495,0.0
Express intent to meet or negotiate,Reject judicial cooperation,6,495,0.012121212121212121
Express intent to meet or negotiate,Reduce or stop military assistance,0,495,0.0
Express intent to meet or negotiate,Reject material cooperation,1,495,0.00202020202020202
Express intent to meet or negotiate,Halt mediation,0,495,0.0
Express intent to meet or negotiate,Investigate human rights abuses,0,495,0.0
Praise or endorse,"Express intent to change institutions, regime",0,343,0.0
Praise or endorse,Veto,0,343,0.0
Praise or endorse,Express intent to cooperate militarily,3,343,0.008746355685131196
Praise or endorse,Mobilize or increase police power,0,343,0.0
Praise or endorse,Accede to demands for rights,2,343,0.0058309037900874635
Praise or endorse,Receive deployment of peacekeepers,4,343,0.011661807580174927
Praise or endorse,"Express intent to ease economic sanctions, boycott, or embargo",0,343,0.0
Praise or endorse,Express intent to cooperate on intelligence,0,343,0.0
Praise or endorse,Express intent to settle dispute,1,343,0.0029154518950437317
Praise or endorse,Increase police alert status,0,343,0.0
Praise or endorse,"Appeal for easing of economic sanctions, boycott, or embargo",0,343,0.0
Praise or endorse,Demand military aid,1,343,0.0029154518950437317
Praise or endorse,Threaten to halt negotiations,0,343,0.0
Praise or endorse,Ease curfew,0,343,0.0
Praise or endorse,Demand de-escalation of military engagement,0,343,0.0
Praise or endorse,Reject judicial cooperation,0,343,0.0
Praise or endorse,Halt mediation,0,343,0.0
Praise or endorse,Appeal for target to allow international involvement (non-mediation),0,343,0.0
Praise or endorse,Accede to demands for change in policy,0,343,0.0
Consult,Engage in negotiation,224,977,0.2292732855680655
Engage in negotiation,Meet at a 'third' location,47,194,0.2422680412371134
Engage in negotiation,"Express intent to change institutions, regime",0,194,0.0
Engage in negotiation,Express intent to cooperate militarily,1,194,0.005154639175257732
Engage in negotiation,"Express intent to ease economic sanctions, boycott, or embargo",9,194,0.04639175257731959
Engage in negotiation,Express intent to cooperate on intelligence,7,194,0.03608247422680412
Engage in negotiation,Express intent to settle dispute,11,194,0.05670103092783505
Engage in negotiation,Halt negotiations,10,194,0.05154639175257732
Engage in negotiation,"Ease economic sanctions, boycott, embargo",6,194,0.030927835051546393
Engage in negotiation,"Appeal for easing of economic sanctions, boycott, or embargo",0,194,0.0
Engage in negotiation,Demand military aid,0,194,0.0
Engage in negotiation,Threaten to halt negotiations,0,194,0.0
Engage in negotiation,Reject judicial cooperation,6,194,0.030927835051546393
Engage in negotiation,"Accede to demands for change in institutions, regime",1,194,0.005154639175257732
Engage in negotiation,Halt mediation,0,194,0.0
Engage in negotiation,Engage in mass expulsion,0,194,0.0
Engage in negotiation,Accede to demands for change in policy,0,194,0.0
Make an appeal or request,Complain officially,26,629,0.04133545310015898
Make an appeal or request,"Defy norms, law",21,629,0.033386327503974564
Make an appeal or request,"Protest violently, riot",24,629,0.03815580286168521
Make an appeal or request,Demand humanitarian aid,1,629,0.001589825119236884
Make an appeal or request,Express intent to provide humanitarian aid,34,629,0.05405405405405406
Make an appeal or request,"Obstruct passage, block",3,629,0.0047694753577106515
Make an appeal or request,Accede to demands for rights,23,629,0.03656597774244833
Make an appeal or request,Demand economic aid,2,629,0.003179650238473768
Make an appeal or request,Reduce or stop humanitarian assistance,0,629,0.0
Make an appeal or request,"Express intent to ease economic sanctions, boycott, or embargo",0,629,0.0
Make an appeal or request,Express intent to cooperate on intelligence,4,629,0.006359300476947536
Make an appeal or request,Ease military blockade,0,629,0.0
Make an appeal or request,"Appeal for easing of economic sanctions, boycott, or embargo",3,629,0.0047694753577106515
Make an appeal or request,Appeal to yield,4,629,0.006359300476947536
Make an appeal or request,"Return, release property",20,629,0.03179650238473768
Make an appeal or request,Demand military aid,0,629,0.0
Make an appeal or request,Threaten to reduce or stop aid,0,629,0.0
Make an appeal or request,Engage in violent protest for rights,0,629,0.0
Make an appeal or request,Appeal for military protection or peacekeeping,0,629,0.0
Make an appeal or request,Threaten to halt negotiations,3,629,0.0047694753577106515
Make an appeal or request,Demand material cooperation,3,629,0.0047694753577106515
Make an appeal or request,Receive inspectors,0,629,0.0
Make an appeal or request,Demand political reform,0,629,0.0
Make an appeal or request,Demand judicial cooperation,2,629,0.003179650238473768
Make an appeal or request,Violate ceasefire,0,629,0.0
Make an appeal or request,Demand mediation,2,629,0.003179650238473768
Make an appeal or request,Obstruct passage to demand leadership change,0,629,0.0
Make an appeal or request,Reject judicial cooperation,0,629,0.0
Make an appeal or request,Demand policy change,0,629,0.0
Make an appeal or request,Reject economic cooperation,0,629,0.0
Make an appeal or request,Halt mediation,0,629,0.0
Make an appeal or request,Demand material aid,0,629,0.0
Make an appeal or request,Investigate human rights abuses,0,629,0.0
Make an appeal or request,Accede to demands for change in policy,0,629,0.0
Use unconventional violence,Demand humanitarian aid,0,219,0.0
Use unconventional violence,Accede to demands for rights,0,219,0.0
Use unconventional violence,Reject request for military aid,1,219,0.0045662100456621
Use unconventional violence,Demand judicial cooperation,0,219,0.0
Use unconventional violence,Use as human shield,2,219,0.0091324200913242
Use unconventional violence,"Use chemical, biological, or radiological weapons",0,219,0.0
Use unconventional violence,Investigate human rights abuses,4,219,0.0182648401826484
