relation i,Make statement,Consult,Make an appeal or request,Express intent to meet or negotiate,Host a visit,Make a visit,"Arrest, detain, or charge with legal action",Praise or endorse,Criticize or denounce,Accuse,Use unconventional violence,Use conventional military force,Engage in negotiation,Express intent to cooperate,Demand,Express intent to engage in diplomatic cooperation (such as policy support),Engage in diplomatic cooperation,Sign formal agreement,Investigate,Discuss by telephone,Reject,fight with small arms and light weapons,Make optimistic comment,Threaten,Demonstrate or rally,"Abduct, hijack, or take hostage",Make pessimistic comment,Meet at a 'third' location,Engage in symbolic act,Appeal for diplomatic cooperation (such as policy support),"Return, release person(s)","Protest violently, riot",Provide humanitarian aid,Make empathetic comment,Use tactics of violent repression,Occupy territory,Physically assault,Reduce relations,Mobilize or increase armed forces,Deny responsibility,Provide aid,Ease administrative sanctions,Bring lawsuit against,Expel or deport individuals,Confiscate property,Impose administrative sanctions,Reduce or break diplomatic relations,Cooperate economically,Sexually assault,Complain officially,"Impose embargo, boycott, or sanctions",Cooperate militarily,Rally support on behalf of,Coerce,Express intent to cooperate economically,Yield,"Reject proposal to meet, discuss, or negotiate",Express intent to provide military aid,Threaten with military force,Consider policy option,Provide military aid,Employ aerial weapons,Engage in material cooperation,Kill by physical assault,Express accord,Express intent to provide material aid,Carry out suicide bombing,Appeal for intelligence,Provide economic aid,Express intent to provide economic aid,"Conduct suicide, car, or other non-military bombing",Rally opposition against,Demand diplomatic cooperation (such as policy support),Demand change in leadership,"Accuse of crime, corruption",Acknowledge or claim responsibility,Express intent to release persons or property,"Obstruct passage, block","Defy norms, law",Retreat or surrender militarily,"Reject plan, agreement to settle dispute",Express intent to settle dispute,Impose restrictions on political freedoms,Grant diplomatic recognition,Give ultimatum,Appeal for change in leadership,Express intent to provide humanitarian aid,Assassinate,Accuse of human rights abuses,Share intelligence or information,Refuse to yield,Appeal for de-escalation of military engagement,Appeal to engage in or accept mediation,Apologize,Conduct strike or boycott,fight with artillery and tanks,Express intent to de-escalate military engagement,Appeal for release of persons or property,Torture,Demonstrate military or police power,"Investigate crime, corruption",Receive deployment of peacekeepers,Appeal to others to meet or negotiate,Increase military alert status,Halt negotiations,Demonstrate for leadership change,Appeal for military aid,Mobilize or increase police power,Defend verbally,Increase police alert status,Provide military protection or peacekeeping,Appeal for economic aid,"Declare truce, ceasefire",Appeal for judicial cooperation,Appeal for aid,Decline comment,"Ease economic sanctions, boycott, embargo","Appeal for change in institutions, regime",Refuse to release persons or property,"Express intent to ease economic sanctions, boycott, or embargo","Impose blockade, restrict movement",Appeal for economic cooperation,Mediate,"Demand meeting, negotiation",Express intent to cooperate militarily,"Accuse of espionage, treason",Express intent to mediate,Appeal for easing of administrative sanctions,Impose state of emergency or martial law,Appeal to others to settle dispute,Demand de-escalation of military engagement,Engage in mass killings,Attempt to assassinate,Appeal for material cooperation,Demand economic aid,"Return, release property",Demand material cooperation,Appeal for rights,Seize or damage property,Express intent to accept mediation,Reduce or stop military assistance,Express intent to cooperate on intelligence,"Demand change in institutions, regime",Refuse to ease administrative sanctions,Demand that target yields,Accuse of war crimes,Accuse of aggression,Express intent to ease administrative sanctions,Appeal for humanitarian aid,"Threaten with sanctions, boycott, embargo",Accede to demands for rights,Express intent to provide military protection or peacekeeping,"Threaten with political dissent, protest",Demand settling of dispute,Demand release of persons or property,Demand judicial cooperation,Violate ceasefire,Expel or withdraw peacekeepers,Refuse to de-escalate military engagement,"Refuse to ease economic sanctions, boycott, or embargo",Reduce or stop humanitarian assistance,Destroy property,Reject military cooperation,Ease military blockade,Investigate human rights abuses,"Accede to demands for change in institutions, regime",Demand policy change,Reject economic cooperation,Express intent to change policy,Accede to demands for change in policy,Threaten to halt negotiations,Appeal for military protection or peacekeeping,Expel or withdraw,"Appeal for easing of economic sanctions, boycott, or embargo",Carry out car bombing,Express intent to institute political reform,Demand material aid,Threaten to halt mediation,Reject judicial cooperation,Use as human shield,Engage in violent protest for rights
Make statement,0.0,0.014973855173506577,0.009903343368721281,0.00633813975598162,0.0025352559023926477,0.01315163999366186,0.002614482649342418,0.007288860719378862,0.005228965298684836,0.00641736650293139,0.00023768024084931072,0.0020598954206940264,0.005308192045634606,0.002931389637141499,0.0054666455395341465,0.002297575661543337,0.0018222151798447156,0.0019014419267944858,0.0006338139755981619,0.0019014419267944858,0.0019014419267944858,0.00047536048169862145,0.0039613373474885125,0.0015053081920456345,0.0008714942164474727,0.00023768024084931072,0.0014260814450958643,0.0016637616859451752,0.00031690698779908097,0.0012676279511963239,0.00023768024084931072,0.00039613373474885124,0.00015845349389954048,0.0007922674694977025,0.0010299477103470132,7.922674694977024e-05,7.922674694977024e-05,0.00023768024084931072,0.00023768024084931072,0.00039613373474885124,0.00023768024084931072,7.922674694977024e-05,0.00023768024084931072,0.00015845349389954048,0.00047536048169862145,0.00015845349389954048,0.00031690698779908097,0.00023768024084931072,0.0,0.00023768024084931072,0.00031690698779908097,0.00015845349389954048,0.0,0.0,7.922674694977024e-05,0.00015845349389954048,7.922674694977024e-05,0.00023768024084931072,0.00015845349389954048,0.00023768024084931072,0.00023768024084931072,0.00015845349389954048,0.00023768024084931072,0.0,0.00015845349389954048,0.0,7.922674694977024e-05,7.922674694977024e-05,0.0,0.00015845349389954048,0.0,7.922674694977024e-05,0.0007130407225479321,0.0,0.00023768024084931072,7.922674694977024e-05,0.0,0.00015845349389954048,7.922674694977024e-05,7.922674694977024e-05,0.00015845349389954048,0.00015845349389954048,7.922674694977024e-05,0.0,0.00023768024084931072,7.922674694977024e-05,0.0,0.0,7.922674694977024e-05,0.0,7.922674694977024e-05,0.00023768024084931072,7.922674694977024e-05,0.0,0.00015845349389954048,7.922674694977024e-05,0.0,7.922674694977024e-05,0.0,7.922674694977024e-05,0.0,0.0,7.922674694977024e-05,0.0,0.00015845349389954048,7.922674694977024e-05,0.00015845349389954048,0.00031690698779908097,7.922674694977024e-05,7.922674694977024e-05,0.0,7.922674694977024e-05,0.00015845349389954048,0.0,0.0,0.0,0.00023768024084931072,0.00023768024084931072,0.0,0.00023768024084931072,0.0,0.0,7.922674694977024e-05,0.0,0.00023768024084931072,7.922674694977024e-05,7.922674694977024e-05,0.0,0.0,0.00015845349389954048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.922674694977024e-05,0.0,7.922674694977024e-05,0.0,0.0,0.0,0.00015845349389954048,7.922674694977024e-05,7.922674694977024e-05,7.922674694977024e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.922674694977024e-05,0.0,0.0,7.922674694977024e-05,0.0,7.922674694977024e-05,0.0,0.0,0.0,0.0,0.0,7.922674694977024e-05,0.0,7.922674694977024e-05,0.0,7.922674694977024e-05,0.0,0.0,7.922674694977024e-05
Consult,0.02347242921013413,0.0,0.009935419771485345,0.03266269249875807,0.014903129657228018,0.014778936910084452,0.0004967709885742673,0.014778936910084452,0.0026080476900149033,0.0016145057128663686,0.00024838549428713363,0.00037257824143070045,0.03502235469448584,0.021982116244411327,0.00273224043715847,0.00782414307004471,0.0038499751614505715,0.008320914058618976,0.00037257824143070045,0.01713859910581222,0.0009935419771485345,0.00024838549428713363,0.001987083954297069,0.0004967709885742673,0.00012419274714356682,0.0,0.0008693492300049677,0.014778936910084452,0.001987083954297069,0.0009935419771485345,0.00012419274714356682,0.00012419274714356682,0.00012419274714356682,0.00012419274714356682,0.00037257824143070045,0.0,0.00012419274714356682,0.00037257824143070045,0.00012419274714356682,0.0004967709885742673,0.00024838549428713363,0.00012419274714356682,0.0,0.0,0.0,0.0,0.00037257824143070045,0.00037257824143070045,0.0,0.00012419274714356682,0.00012419274714356682,0.0,0.0,0.0,0.0004967709885742673,0.00012419274714356682,0.00012419274714356682,0.00024838549428713363,0.0,0.0004967709885742673,0.0,0.00012419274714356682,0.00037257824143070045,0.0,0.0,0.00012419274714356682,0.0,0.0,0.0,0.0,0.0,0.0,0.00024838549428713363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00037257824143070045,0.0009935419771485345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012419274714356682,0.0,0.0,0.0,0.00037257824143070045,0.00012419274714356682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012419274714356682,0.0,0.00024838549428713363,0.0,0.00012419274714356682,0.0,0.0,0.0,0.0,0.0,0.0,0.00012419274714356682,0.00024838549428713363,0.00012419274714356682,0.0,0.00024838549428713363,0.0,0.00012419274714356682,0.00012419274714356682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012419274714356682,0.0,0.0,0.0,0.0,0.0,0.0,0.00012419274714356682,0.0,0.00012419274714356682,0.0,0.00012419274714356682,0.00012419274714356682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012419274714356682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012419274714356682,0.0,0.0,0.0,0.0
Make an appeal or request,0.024905359633393107,0.01593943016537159,0.0,0.017732616058975893,0.0033871289101414623,0.007571229328551504,0.010958358238692966,0.011755329746961547,0.02211595935445308,0.017134887427774456,0.001394700139470014,0.0033871289101414623,0.003984857541342897,0.008766686590954373,0.016537158796573023,0.005180314803745766,0.002590157401872883,0.0009962143853357243,0.00657501494321578,0.004383343295477187,0.005180314803745766,0.001195457262402869,0.0041841004184100415,0.005578800557880056,0.0015939430165371588,0.00019924287706714485,0.003785614664275752,0.0009962143853357243,0.001394700139470014,0.007172743574417215,0.0021916716477385933,0.0003984857541342897,0.0005977286312014345,0.001394700139470014,0.0009962143853357243,0.00019924287706714485,0.0009962143853357243,0.0021916716477385933,0.00019924287706714485,0.0005977286312014345,0.001195457262402869,0.001195457262402869,0.0005977286312014345,0.0003984857541342897,0.0007969715082685794,0.0005977286312014345,0.0003984857541342897,0.0,0.0005977286312014345,0.0003984857541342897,0.0003984857541342897,0.0,0.0,0.0009962143853357243,0.00019924287706714485,0.00019924287706714485,0.0003984857541342897,0.0005977286312014345,0.00019924287706714485,0.0,0.0,0.0,0.0003984857541342897,0.0,0.00019924287706714485,0.0005977286312014345,0.0,0.0015939430165371588,0.00019924287706714485,0.00019924287706714485,0.0,0.0005977286312014345,0.0007969715082685794,0.0,0.0,0.0,0.0,0.0,0.00019924287706714485,0.0,0.00019924287706714485,0.0,0.0003984857541342897,0.0,0.0003984857541342897,0.0005977286312014345,0.0,0.0,0.0,0.00019924287706714485,0.0,0.00019924287706714485,0.001195457262402869,0.00019924287706714485,0.00019924287706714485,0.00019924287706714485,0.0,0.0009962143853357243,0.0,0.0,0.0,0.0,0.0007969715082685794,0.0,0.0,0.0,0.0009962143853357243,0.0,0.0,0.0,0.0003984857541342897,0.0015939430165371588,0.0,0.0,0.00019924287706714485,0.0003984857541342897,0.0,0.0007969715082685794,0.00019924287706714485,0.0003984857541342897,0.00019924287706714485,0.0003984857541342897,0.0,0.00019924287706714485,0.0,0.0,0.00019924287706714485,0.0,0.0,0.0003984857541342897,0.00019924287706714485,0.0,0.0,0.0005977286312014345,0.00019924287706714485,0.00019924287706714485,0.00019924287706714485,0.0,0.0,0.0003984857541342897,0.0,0.0,0.00019924287706714485,0.0,0.0,0.0,0.0,0.0,0.00019924287706714485,0.0,0.0003984857541342897,0.0,0.00019924287706714485,0.0,0.0003984857541342897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019924287706714485,0.0,0.00019924287706714485,0.0,0.0,0.0,0.00019924287706714485,0.00019924287706714485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Express intent to meet or negotiate,0.019622271277900418,0.06450821682609761,0.021829776796664212,0.0,0.0071130733382389014,0.0657346087809664,0.0017169487368162864,0.009811135638950209,0.0029433406916850625,0.003433897473632573,0.0012263919548687761,0.0004905567819475104,0.023792003924454255,0.012754476330635272,0.003188619082658818,0.006867794947265146,0.00613195977434388,0.006377238165317636,0.002207505518763797,0.007358351729212656,0.0012263919548687761,0.0,0.0024527839097375523,0.002207505518763797,0.0004905567819475104,0.0002452783909737552,0.0009811135638950208,0.01177336276674025,0.0014716703458425313,0.0014716703458425313,0.0002452783909737552,0.0007358351729212656,0.0,0.0004905567819475104,0.0,0.0,0.0007358351729212656,0.0002452783909737552,0.0,0.0002452783909737552,0.0002452783909737552,0.0002452783909737552,0.0,0.0,0.0004905567819475104,0.0002452783909737552,0.0009811135638950208,0.0007358351729212656,0.0,0.0,0.0007358351729212656,0.0002452783909737552,0.0,0.0002452783909737552,0.0004905567819475104,0.0,0.0007358351729212656,0.0,0.0,0.0007358351729212656,0.0,0.0002452783909737552,0.0,0.0,0.0002452783909737552,0.0002452783909737552,0.0,0.0002452783909737552,0.0,0.0002452783909737552,0.0,0.0002452783909737552,0.0004905567819475104,0.0,0.0,0.0,0.0,0.0004905567819475104,0.0002452783909737552,0.0,0.0004905567819475104,0.0014716703458425313,0.0002452783909737552,0.0004905567819475104,0.0,0.0,0.0,0.0,0.0,0.0,0.0002452783909737552,0.0,0.0,0.0,0.0,0.0004905567819475104,0.0002452783909737552,0.0002452783909737552,0.0,0.0002452783909737552,0.0002452783909737552,0.0,0.0,0.0,0.0004905567819475104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007358351729212656,0.0,0.0,0.0007358351729212656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002452783909737552,0.0,0.0,0.0,0.0,0.0,0.0,0.0002452783909737552,0.0,0.0,0.0,0.0002452783909737552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004905567819475104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Host a visit,0.009345794392523364,0.035046728971962614,0.004964953271028037,0.008469626168224298,0.0,0.005257009345794392,0.0002920560747663551,0.02453271028037383,0.002336448598130841,0.0008761682242990654,0.0,0.0,0.01022196261682243,0.006425233644859813,0.0005841121495327102,0.005549065420560747,0.004964953271028037,0.004964953271028037,0.0,0.0008761682242990654,0.0005841121495327102,0.0008761682242990654,0.0017523364485981308,0.0008761682242990654,0.0,0.0,0.0011682242990654205,0.0008761682242990654,0.0,0.0005841121495327102,0.0002920560747663551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002920560747663551,0.0,0.0002920560747663551,0.0,0.0,0.0002920560747663551,0.0,0.0,0.0002920560747663551,0.0005841121495327102,0.0,0.0,0.0,0.0,0.0,0.0002920560747663551,0.0005841121495327102,0.0,0.0,0.0,0.0,0.0002920560747663551,0.0002920560747663551,0.0005841121495327102,0.0,0.0,0.0,0.0,0.0,0.0002920560747663551,0.0005841121495327102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002920560747663551,0.0002920560747663551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002920560747663551,0.0,0.0,0.0,0.0002920560747663551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002920560747663551,0.0,0.0,0.0,0.0,0.0,0.0,0.0002920560747663551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Make a visit,0.04890984089569829,0.035061873895109015,0.011196228638774307,0.07896287566293458,0.005303476723629935,0.0,0.0,0.020035356511490868,0.0038302887448438423,0.0008839127872716559,0.0,0.0,0.00883912787271656,0.007071302298173247,0.0029463759575721863,0.0058927519151443725,0.0058927519151443725,0.00441956393635828,0.0014731879787860931,0.0002946375957572186,0.0008839127872716559,0.0008839127872716559,0.009723040659988214,0.003241013553329405,0.0,0.0,0.0020624631703005302,0.0017678255745433118,0.002357100766057749,0.0014731879787860931,0.0,0.0,0.0002946375957572186,0.0005892751915144372,0.0,0.0,0.0,0.0005892751915144372,0.0008839127872716559,0.0,0.0002946375957572186,0.0,0.0,0.0,0.0,0.0002946375957572186,0.0017678255745433118,0.0002946375957572186,0.0,0.0,0.0002946375957572186,0.0,0.0,0.0,0.0005892751915144372,0.0002946375957572186,0.0014731879787860931,0.0002946375957572186,0.0,0.0008839127872716559,0.0011785503830288745,0.0,0.0,0.0,0.0,0.0002946375957572186,0.0,0.0,0.0,0.0011785503830288745,0.0,0.0,0.0011785503830288745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011785503830288745,0.0,0.0,0.0,0.0,0.0002946375957572186,0.0,0.0,0.0,0.0002946375957572186,0.0005892751915144372,0.0,0.0,0.0,0.0005892751915144372,0.0,0.0,0.0,0.0,0.0,0.0,0.0002946375957572186,0.0,0.0005892751915144372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002946375957572186,0.0,0.0014731879787860931,0.0,0.0,0.0008839127872716559,0.0,0.0,0.0,0.0,0.0005892751915144372,0.0,0.0002946375957572186,0.0,0.0,0.0002946375957572186,0.0,0.0,0.0,0.0002946375957572186,0.0,0.0,0.0,0.0,0.0,0.0002946375957572186,0.0,0.0,0.0005892751915144372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002946375957572186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Arrest, detain, or charge with legal action",0.010302841086481423,0.001248829222603809,0.017171401810802372,0.0021854511395566654,0.00031220730565095225,0.0,0.0,0.00031220730565095225,0.004995316890415236,0.012176084920387137,0.0006244146113019045,0.014985950671245708,0.00031220730565095225,0.0015610365282547611,0.004995316890415236,0.0009366219169528567,0.0,0.0,0.024352169840774273,0.0,0.007180768029971901,0.005307524196066188,0.0006244146113019045,0.0006244146113019045,0.0,0.0021854511395566654,0.0009366219169528567,0.0,0.00031220730565095225,0.0015610365282547611,0.007492975335622854,0.0,0.00280986575085857,0.0006244146113019045,0.00280986575085857,0.0,0.0015610365282547611,0.0,0.0,0.00031220730565095225,0.0018732438339057135,0.005307524196066188,0.0009366219169528567,0.001248829222603809,0.005307524196066188,0.001248829222603809,0.0,0.0,0.00031220730565095225,0.00031220730565095225,0.0,0.00031220730565095225,0.0,0.001248829222603809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00031220730565095225,0.0,0.001248829222603809,0.00031220730565095225,0.0,0.001248829222603809,0.0,0.0,0.0,0.0,0.0,0.0,0.00031220730565095225,0.0,0.00031220730565095225,0.0,0.0,0.0,0.0,0.0,0.0006244146113019045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00031220730565095225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018732438339057135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006244146113019045,0.0,0.0,0.00031220730565095225,0.00031220730565095225,0.0,0.0,0.0009366219169528567,0.0,0.0,0.0,0.0,0.0,0.0,0.00031220730565095225,0.0,0.0,0.00031220730565095225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00031220730565095225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Praise or endorse,0.03159340659340659,0.040865384615384616,0.020260989010989012,0.013736263736263736,0.028846153846153848,0.023351648351648352,0.00034340659340659343,0.0,0.004464285714285714,0.002403846153846154,0.00034340659340659343,0.0010302197802197802,0.009271978021978022,0.006868131868131868,0.0027472527472527475,0.01098901098901099,0.009958791208791208,0.004464285714285714,0.0006868131868131869,0.006524725274725275,0.002403846153846154,0.0,0.007554945054945055,0.00034340659340659343,0.0010302197802197802,0.0,0.0010302197802197802,0.0020604395604395605,0.0030906593406593405,0.0010302197802197802,0.0,0.0,0.0,0.0020604395604395605,0.00034340659340659343,0.0,0.0,0.0,0.0020604395604395605,0.0,0.0010302197802197802,0.0,0.00034340659340659343,0.00034340659340659343,0.00034340659340659343,0.0,0.00034340659340659343,0.00034340659340659343,0.0,0.0,0.00034340659340659343,0.0,0.0,0.0,0.0006868131868131869,0.0010302197802197802,0.0,0.001717032967032967,0.0,0.0006868131868131869,0.0010302197802197802,0.0006868131868131869,0.0,0.0,0.0,0.00034340659340659343,0.0,0.0,0.0,0.00034340659340659343,0.0,0.0,0.0006868131868131869,0.0,0.0,0.0,0.00034340659340659343,0.0,0.0,0.0,0.00034340659340659343,0.00034340659340659343,0.0,0.0,0.0,0.0,0.00034340659340659343,0.0,0.0,0.0,0.0,0.0,0.0,0.00034340659340659343,0.0,0.0,0.0,0.0006868131868131869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00034340659340659343,0.0,0.0,0.00034340659340659343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00034340659340659343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00034340659340659343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006868131868131869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00034340659340659343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Criticize or denounce,0.02743142144638404,0.008728179551122194,0.046134663341645885,0.004987531172069825,0.0033250207813798837,0.005403158769742311,0.006650041562759767,0.005403158769742311,0.0,0.027847049044056525,0.005818786367414797,0.005818786367414797,0.004987531172069825,0.004987531172069825,0.007481296758104738,0.003740648379052369,0.00457190357439734,0.0029093931837073984,0.0033250207813798837,0.00041562759767248546,0.011637572734829594,0.0016625103906899418,0.0012468827930174563,0.0033250207813798837,0.0016625103906899418,0.00041562759767248546,0.010806317539484621,0.0008312551953449709,0.0,0.004156275976724855,0.0029093931837073984,0.0,0.0012468827930174563,0.0012468827930174563,0.0008312551953449709,0.00041562759767248546,0.0012468827930174563,0.0020781379883624274,0.00041562759767248546,0.0020781379883624274,0.00041562759767248546,0.00041562759767248546,0.0012468827930174563,0.0,0.0,0.0,0.0020781379883624274,0.0,0.0,0.0024937655860349127,0.00041562759767248546,0.0,0.0020781379883624274,0.0,0.0,0.00041562759767248546,0.0008312551953449709,0.0,0.00041562759767248546,0.0,0.0,0.0,0.0,0.0,0.0,0.00041562759767248546,0.0,0.0,0.0,0.0,0.00041562759767248546,0.00041562759767248546,0.00041562759767248546,0.0,0.0,0.00041562759767248546,0.0008312551953449709,0.00041562759767248546,0.0020781379883624274,0.0,0.0020781379883624274,0.00041562759767248546,0.00041562759767248546,0.0,0.00041562759767248546,0.00041562759767248546,0.00041562759767248546,0.0,0.00041562759767248546,0.0,0.0,0.0012468827930174563,0.0008312551953449709,0.0,0.0008312551953449709,0.00041562759767248546,0.0,0.0012468827930174563,0.0,0.00041562759767248546,0.0,0.0,0.0012468827930174563,0.00041562759767248546,0.0,0.0,0.00041562759767248546,0.0,0.0,0.0,0.00041562759767248546,0.00041562759767248546,0.00041562759767248546,0.0,0.0,0.0,0.0,0.0,0.0,0.00041562759767248546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00041562759767248546,0.0,0.0,0.0,0.0,0.0,0.00041562759767248546,0.0,0.0,0.0,0.00041562759767248546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00041562759767248546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00041562759767248546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00041562759767248546,0.0,0.00041562759767248546,0.0,0.0,0.00041562759767248546,0.0,0.0,0.0,0.0,0.00041562759767248546,0.0,0.0
Accuse,0.03844328429046037,0.006169909824394874,0.04081632653061224,0.006644518272425249,0.0014238253440911248,0.0014238253440911248,0.018509729473184623,0.0033222591362126247,0.03179876601803512,0.0,0.0033222591362126247,0.012339819648789748,0.0009492168960607499,0.005695301376364499,0.013289036544850499,0.0033222591362126247,0.0018984337921214998,0.0023730422401518746,0.01044138585666825,0.0,0.006644518272425249,0.0023730422401518746,0.0023730422401518746,0.008068343616516375,0.0037968675842429997,0.0014238253440911248,0.0023730422401518746,0.0,0.00047460844803037496,0.0028476506881822496,0.004746084480303749,0.0009492168960607499,0.0014238253440911248,0.00047460844803037496,0.0014238253440911248,0.0,0.0009492168960607499,0.0028476506881822496,0.0,0.0018984337921214998,0.0,0.0014238253440911248,0.0009492168960607499,0.0014238253440911248,0.0018984337921214998,0.0009492168960607499,0.004746084480303749,0.0,0.00047460844803037496,0.0028476506881822496,0.00047460844803037496,0.0,0.0,0.0009492168960607499,0.0,0.0009492168960607499,0.00047460844803037496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00047460844803037496,0.0,0.0,0.0,0.0,0.00047460844803037496,0.00047460844803037496,0.0,0.0,0.00047460844803037496,0.0,0.0014238253440911248,0.0,0.0009492168960607499,0.0,0.0,0.0,0.00047460844803037496,0.0,0.00047460844803037496,0.0,0.00047460844803037496,0.0,0.0,0.0,0.00047460844803037496,0.0,0.0,0.0014238253440911248,0.0009492168960607499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009492168960607499,0.0,0.0,0.0,0.0,0.00047460844803037496,0.00047460844803037496,0.00047460844803037496,0.0,0.00047460844803037496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00047460844803037496,0.0,0.00047460844803037496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00047460844803037496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014238253440911248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00047460844803037496,0.00047460844803037496,0.00047460844803037496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
