relation i,Make statement,Consult,Make an appeal or request,Express intent to meet or negotiate,Host a visit,Make a visit,"Arrest, detain, or charge with legal action",Praise or endorse,Criticize or denounce,Accuse,Use unconventional violence,Use conventional military force,Engage in negotiation,Express intent to cooperate,Demand,Express intent to engage in diplomatic cooperation (such as policy support),Engage in diplomatic cooperation,Sign formal agreement,Investigate,Discuss by telephone,Reject,fight with small arms and light weapons,Make optimistic comment,Threaten,Demonstrate or rally,"Abduct, hijack, or take hostage",Make pessimistic comment,Meet at a 'third' location,Engage in symbolic act,Appeal for diplomatic cooperation (such as policy support),"Return, release person(s)","Protest violently, riot",Provide humanitarian aid,Make empathetic comment,Use tactics of violent repression,Occupy territory,Physically assault,Reduce relations,Mobilize or increase armed forces,Deny responsibility,Provide aid,Ease administrative sanctions,Bring lawsuit against,Expel or deport individuals,Confiscate property,Impose administrative sanctions,Reduce or break diplomatic relations,Cooperate economically,Sexually assault,Complain officially,"Impose embargo, boycott, or sanctions",Cooperate militarily,Rally support on behalf of,Coerce,Yield,Express intent to cooperate economically,Express intent to provide military aid,"Reject proposal to meet, discuss, or negotiate",Threaten with military force,Consider policy option,Provide military aid,Employ aerial weapons,Engage in material cooperation,Kill by physical assault,Express accord,Express intent to provide material aid,Carry out suicide bombing,Appeal for intelligence,Provide economic aid,Express intent to provide economic aid,"Conduct suicide, car, or other non-military bombing",Rally opposition against,Demand diplomatic cooperation (such as policy support),Demand change in leadership,"Accuse of crime, corruption",Acknowledge or claim responsibility,Express intent to release persons or property,"Obstruct passage, block","Defy norms, law",Retreat or surrender militarily,"Reject plan, agreement to settle dispute",Impose restrictions on political freedoms,Express intent to settle dispute,Grant diplomatic recognition,Give ultimatum,Appeal for change in leadership,Express intent to provide humanitarian aid,Assassinate,Accuse of human rights abuses,Share intelligence or information,Refuse to yield,Appeal for de-escalation of military engagement,Apologize,Appeal to engage in or accept mediation,Conduct strike or boycott,fight with artillery and tanks,Express intent to de-escalate military engagement,Appeal for release of persons or property,Demonstrate military or police power,Torture,Appeal to others to meet or negotiate,Receive deployment of peacekeepers,"Investigate crime, corruption",Halt negotiations,Increase military alert status,Demonstrate for leadership change,Appeal for military aid,Defend verbally,Increase police alert status,Appeal for judicial cooperation,"Declare truce, ceasefire",Appeal for economic aid,Provide military protection or peacekeeping,Appeal for aid,Decline comment,"Ease economic sanctions, boycott, embargo","Appeal for change in institutions, regime","Impose blockade, restrict movement","Express intent to ease economic sanctions, boycott, or embargo",Appeal for economic cooperation,"Demand meeting, negotiation",Demand intelligence cooperation,Express intent to cooperate militarily,Express intent to mediate,Impose state of emergency or martial law,Demand de-escalation of military engagement,Appeal to others to settle dispute,Attempt to assassinate,"Return, release property",Appeal for material cooperation,Express intent to engage in material cooperation,Engage in judicial cooperation,Threaten non-force,Appeal for rights,Reduce or stop military assistance,"Demand change in institutions, regime",Express intent to accept mediation,Express intent to cooperate on intelligence,Appeal for humanitarian aid,Accuse of war crimes,Express intent to ease administrative sanctions,Accuse of aggression,Accede to demands for rights,"Threaten with sanctions, boycott, embargo",Express intent to provide military protection or peacekeeping,Veto,Demand settling of dispute,Threaten with repression,"Threaten with political dissent, protest",Demand release of persons or property,Violate ceasefire,Expel or withdraw peacekeepers,Refuse to de-escalate military engagement,"Refuse to ease economic sanctions, boycott, or embargo",Demand judicial cooperation,"Accede to demands for change in institutions, regime",Investigate human rights abuses,Conduct hunger strike,Demand mediation,Reject material cooperation,Receive inspectors,Demand material aid,Reject judicial cooperation,Threaten to halt negotiations,"Appeal for easing of economic sanctions, boycott, or embargo",Engage in mass expulsion
Make statement,0.0,0.015290762161305657,0.00324829662494058,0.003565203612739661,0.01315163999366186,0.002614482649342418,0.0006338139755981619,0.002693709396292188,0.0020598954206940264,0.0019014419267944858,0.0011884012042465537,0.0009507209633972429,0.005228965298684836,0.0028521628901917286,0.0007130407225479321,0.0007922674694977025,0.0011884012042465537,0.0023768024084931073,0.00039613373474885124,0.0019806686737442562,0.0011091744572967834,0.0007922674694977025,0.0009507209633972429,0.00023768024084931072,0.0011091744572967834,7.922674694977024e-05,0.00031690698779908097,0.0015053081920456345,0.00023768024084931072,0.0,7.922674694977024e-05,0.0012676279511963239,0.0,0.00023768024084931072,0.00039613373474885124,7.922674694977024e-05,7.922674694977024e-05,0.00023768024084931072,7.922674694977024e-05,0.00031690698779908097,7.922674694977024e-05,7.922674694977024e-05,0.00015845349389954048,7.922674694977024e-05,0.00023768024084931072,0.0,0.00023768024084931072,0.0,0.0,7.922674694977024e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.922674694977024e-05,0.0,7.922674694977024e-05,7.922674694977024e-05,0.0,7.922674694977024e-05,0.0,0.0,0.0,0.0,0.00015845349389954048,7.922674694977024e-05,7.922674694977024e-05,0.00015845349389954048,0.0,7.922674694977024e-05,0.0,0.0,0.0,0.0,0.00015845349389954048,0.0,7.922674694977024e-05,7.922674694977024e-05,7.922674694977024e-05,0.00015845349389954048,0.0,0.0,7.922674694977024e-05,0.00015845349389954048,7.922674694977024e-05,0.0,0.0,0.0,7.922674694977024e-05,7.922674694977024e-05,0.0,7.922674694977024e-05,0.00023768024084931072,7.922674694977024e-05,0.0,0.0,0.0,7.922674694977024e-05,7.922674694977024e-05,0.0,7.922674694977024e-05,7.922674694977024e-05,0.0,0.0,0.0,0.0,0.0,0.00015845349389954048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.922674694977024e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.922674694977024e-05,0.0,0.0,0.0,0.0,0.0,0.0,7.922674694977024e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consult,0.023969200198708396,0.0,0.009314456035767511,0.03353204172876304,0.014654744162940884,0.015399900645802286,0.0004967709885742673,0.013909587680079483,0.002856433184302037,0.0012419274714356682,0.00024838549428713363,0.00012419274714356682,0.03564331843020368,0.02148534525583706,0.0026080476900149033,0.007203179334326876,0.0033532041728763042,0.00819672131147541,0.00024838549428713363,0.017014406358668653,0.0009935419771485345,0.00024838549428713363,0.0017386984600099354,0.00024838549428713363,0.00037257824143070045,0.0,0.0009935419771485345,0.01366120218579235,0.001987083954297069,0.0008693492300049677,0.00012419274714356682,0.00037257824143070045,0.00012419274714356682,0.00012419274714356682,0.00012419274714356682,0.0,0.0,0.00024838549428713363,0.0,0.00037257824143070045,0.00024838549428713363,0.0,0.0,0.0,0.0,0.0,0.00037257824143070045,0.00037257824143070045,0.0,0.0,0.00012419274714356682,0.0,0.0,0.0,0.0,0.0006209637357178341,0.00024838549428713363,0.00012419274714356682,0.0,0.00037257824143070045,0.0,0.00024838549428713363,0.00037257824143070045,0.0,0.0,0.00012419274714356682,0.0,0.0,0.00012419274714356682,0.00012419274714356682,0.0,0.0,0.00024838549428713363,0.0,0.0,0.0,0.0,0.0,0.00012419274714356682,0.0,0.00024838549428713363,0.0,0.0008693492300049677,0.00012419274714356682,0.0,0.0,0.0,0.0,0.0,0.00024838549428713363,0.00012419274714356682,0.0,0.00024838549428713363,0.0,0.0,0.0,0.00012419274714356682,0.0,0.0,0.0,0.0,0.0,0.0,0.0004967709885742673,0.0,0.0,0.00024838549428713363,0.00012419274714356682,0.0,0.0,0.0,0.0,0.0,0.0,0.00012419274714356682,0.00037257824143070045,0.00012419274714356682,0.0,0.00012419274714356682,0.0,0.0,0.0,0.0,0.0,0.0,0.00012419274714356682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012419274714356682,0.0,0.00012419274714356682,0.00012419274714356682,0.00012419274714356682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012419274714356682,0.0,0.0,0.0,0.0,0.0,0.00012419274714356682,0.0,0.0,0.0,0.0
Make an appeal or request,0.00816895795975294,0.014943215780035863,0.0,0.005977286312014346,0.007969715082685794,0.0021916716477385933,0.0041841004184100415,0.004981071926678621,0.007969715082685794,0.009364415222155809,0.002988643156007173,0.0015939430165371588,0.005379557680812911,0.005778043434947201,0.0033871289101414623,0.0031878860330743176,0.0033871289101414623,0.0009962143853357243,0.001195457262402869,0.0041841004184100415,0.005778043434947201,0.0005977286312014345,0.001394700139470014,0.0031878860330743176,0.0019924287706714486,0.0003984857541342897,0.002390914524805738,0.0005977286312014345,0.0009962143853357243,0.001195457262402869,0.0019924287706714486,0.0007969715082685794,0.0017931858936043037,0.0003984857541342897,0.00019924287706714485,0.0,0.001195457262402869,0.0005977286312014345,0.0,0.00019924287706714485,0.0017931858936043037,0.0,0.00019924287706714485,0.0005977286312014345,0.00019924287706714485,0.00019924287706714485,0.0,0.0,0.0003984857541342897,0.0007969715082685794,0.0,0.0,0.0,0.00019924287706714485,0.0009962143853357243,0.00019924287706714485,0.0,0.0007969715082685794,0.00019924287706714485,0.00019924287706714485,0.00019924287706714485,0.00019924287706714485,0.0,0.0,0.0,0.0003984857541342897,0.0,0.00019924287706714485,0.00019924287706714485,0.0003984857541342897,0.00019924287706714485,0.00019924287706714485,0.0,0.00019924287706714485,0.0,0.00019924287706714485,0.00019924287706714485,0.0,0.00019924287706714485,0.0,0.0005977286312014345,0.0,0.0,0.00019924287706714485,0.0003984857541342897,0.0,0.0007969715082685794,0.0,0.0,0.00019924287706714485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003984857541342897,0.0,0.0,0.0003984857541342897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019924287706714485,0.0,0.00019924287706714485,0.0,0.0,0.00019924287706714485,0.0003984857541342897,0.0,0.0,0.00019924287706714485,0.00019924287706714485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019924287706714485,0.0,0.0,0.00019924287706714485,0.00019924287706714485,0.0,0.00019924287706714485,0.0,0.0,0.0,0.00019924287706714485,0.0,0.00019924287706714485,0.0,0.0005977286312014345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019924287706714485,0.0,0.00019924287706714485,0.0
Express intent to meet or negotiate,0.011037527593818985,0.06622516556291391,0.007358351729212656,0.0,0.06720627912680893,0.006867794947265146,0.0009811135638950208,0.009565857247976454,0.002698062300711307,0.0017169487368162864,0.0014716703458425313,0.0007358351729212656,0.024282560706401765,0.012754476330635272,0.0024527839097375523,0.005396124601422614,0.007848908511160166,0.0071130733382389014,0.0004905567819475104,0.006867794947265146,0.0017169487368162864,0.0002452783909737552,0.0019622271277900416,0.0002452783909737552,0.0,0.0,0.0007358351729212656,0.012018641157714005,0.0012263919548687761,0.0002452783909737552,0.0002452783909737552,0.0002452783909737552,0.0004905567819475104,0.0,0.0,0.0,0.0002452783909737552,0.0002452783909737552,0.0002452783909737552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002452783909737552,0.0,0.0,0.0004905567819475104,0.0,0.0,0.0004905567819475104,0.0,0.0004905567819475104,0.0,0.0007358351729212656,0.0,0.0002452783909737552,0.0,0.0,0.0,0.0,0.0002452783909737552,0.0,0.0,0.0,0.0,0.0004905567819475104,0.0002452783909737552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004905567819475104,0.0007358351729212656,0.0,0.0012263919548687761,0.0002452783909737552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002452783909737552,0.0,0.0,0.0002452783909737552,0.0,0.0,0.0,0.0,0.0002452783909737552,0.0,0.0,0.0004905567819475104,0.0,0.0,0.0,0.0,0.0002452783909737552,0.0,0.0,0.0,0.0,0.0,0.0,0.0007358351729212656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002452783909737552,0.0,0.0,0.0,0.0002452783909737552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002452783909737552,0.0,0.0,0.0
Host a visit,0.04848130841121495,0.0344626168224299,0.011682242990654205,0.08002336448598131,0.0,0.7978971962616822,0.0,0.020151869158878503,0.0035046728971962616,0.0011682242990654205,0.0,0.0002920560747663551,0.009929906542056074,0.008177570093457943,0.002628504672897196,0.006425233644859813,0.006133177570093458,0.004964953271028037,0.0017523364485981308,0.0008761682242990654,0.0005841121495327102,0.0011682242990654205,0.008761682242990653,0.0032126168224299065,0.0,0.0002920560747663551,0.0020443925233644858,0.0014602803738317756,0.002628504672897196,0.002336448598130841,0.0,0.0,0.0002920560747663551,0.0008761682242990654,0.0,0.0,0.0,0.0002920560747663551,0.0014602803738317756,0.0,0.0005841121495327102,0.0,0.0,0.0,0.0,0.0002920560747663551,0.0020443925233644858,0.0005841121495327102,0.0,0.0,0.0002920560747663551,0.0,0.0,0.0,0.0002920560747663551,0.0008761682242990654,0.0002920560747663551,0.0011682242990654205,0.0,0.0008761682242990654,0.0011682242990654205,0.0,0.0,0.0,0.0,0.0002920560747663551,0.0,0.0002920560747663551,0.0,0.0011682242990654205,0.0,0.0,0.0008761682242990654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014602803738317756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002920560747663551,0.0005841121495327102,0.0002920560747663551,0.0,0.0,0.0002920560747663551,0.0002920560747663551,0.0002920560747663551,0.0,0.0,0.0,0.0,0.0,0.0005841121495327102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002920560747663551,0.0,0.0005841121495327102,0.0,0.0011682242990654205,0.0,0.0,0.0005841121495327102,0.0,0.0,0.0,0.0005841121495327102,0.0,0.0,0.0002920560747663551,0.0002920560747663551,0.0,0.0,0.0002920560747663551,0.0,0.0,0.0,0.0,0.0,0.0002920560747663551,0.0002920560747663551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002920560747663551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Make a visit,0.009723040659988214,0.03653506187389511,0.003241013553329405,0.008249852681202121,0.8049499116087213,0.0,0.0005892751915144372,0.023276370064820272,0.0017678255745433118,0.0002946375957572186,0.0,0.0,0.009133765468473777,0.005303476723629935,0.0008839127872716559,0.0058927519151443725,0.005303476723629935,0.005008839127872717,0.0002946375957572186,0.0002946375957572186,0.0008839127872716559,0.0002946375957572186,0.002357100766057749,0.0008839127872716559,0.0,0.0,0.0011785503830288745,0.0011785503830288745,0.0,0.0008839127872716559,0.0005892751915144372,0.0,0.0,0.0,0.0,0.0,0.0,0.0002946375957572186,0.0005892751915144372,0.0002946375957572186,0.0002946375957572186,0.0,0.0,0.0002946375957572186,0.0,0.0,0.0002946375957572186,0.0005892751915144372,0.0,0.0,0.0,0.0,0.0,0.0002946375957572186,0.0,0.0002946375957572186,0.0002946375957572186,0.0,0.0,0.0005892751915144372,0.0002946375957572186,0.0005892751915144372,0.0,0.0,0.0,0.0,0.0,0.0002946375957572186,0.0008839127872716559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002946375957572186,0.0,0.0002946375957572186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002946375957572186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002946375957572186,0.0,0.0,0.0,0.0002946375957572186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002946375957572186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002946375957572186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Arrest, detain, or charge with legal action",0.002497658445207618,0.001248829222603809,0.006556353418669997,0.001248829222603809,0.0,0.0006244146113019045,0.0,0.00031220730565095225,0.004683109584764283,0.006868560724320949,0.01123946300343428,0.0,0.0,0.0006244146113019045,0.0031220730565095223,0.00031220730565095225,0.0,0.0,0.0,0.0,0.00031220730565095225,0.0031220730565095223,0.0009366219169528567,0.00280986575085857,0.004683109584764283,0.001248829222603809,0.00031220730565095225,0.0,0.0006244146113019045,0.00031220730565095225,0.0,0.002497658445207618,0.0,0.0,0.0,0.0,0.0018732438339057135,0.0,0.0,0.00031220730565095225,0.00031220730565095225,0.00031220730565095225,0.00031220730565095225,0.0,0.00031220730565095225,0.0,0.0,0.0,0.0,0.0009366219169528567,0.0,0.0,0.0,0.0,0.00031220730565095225,0.0,0.0,0.0,0.0015610365282547611,0.00031220730565095225,0.0,0.0,0.0,0.0,0.00031220730565095225,0.00031220730565095225,0.0,0.0,0.0,0.00031220730565095225,0.0006244146113019045,0.0,0.0,0.0,0.00031220730565095225,0.00031220730565095225,0.0,0.0,0.001248829222603809,0.0006244146113019045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00031220730565095225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00031220730565095225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Praise or endorse,0.011675824175824176,0.038461538461538464,0.008585164835164836,0.013392857142857142,0.023695054945054944,0.02712912087912088,0.00034340659340659343,0.0,0.003434065934065934,0.0010302197802197802,0.0006868131868131869,0.0,0.006868131868131868,0.005151098901098901,0.002403846153846154,0.007554945054945055,0.008928571428571428,0.005151098901098901,0.0010302197802197802,0.005837912087912088,0.00034340659340659343,0.0,0.0020604395604395605,0.0013736263736263737,0.0006868131868131869,0.0,0.0006868131868131869,0.0020604395604395605,0.0013736263736263737,0.0006868131868131869,0.0006868131868131869,0.00034340659340659343,0.00034340659340659343,0.00034340659340659343,0.0,0.0,0.0,0.0,0.0006868131868131869,0.0,0.0010302197802197802,0.0,0.0,0.0,0.00034340659340659343,0.0,0.0006868131868131869,0.00034340659340659343,0.0,0.0,0.0,0.00034340659340659343,0.0,0.0,0.0,0.0006868131868131869,0.0013736263736263737,0.00034340659340659343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00034340659340659343,0.0,0.0,0.0,0.0006868131868131869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00034340659340659343,0.0,0.0006868131868131869,0.0,0.0,0.00034340659340659343,0.00034340659340659343,0.00034340659340659343,0.0,0.0,0.0,0.0,0.0,0.0,0.00034340659340659343,0.0,0.0,0.0,0.0,0.00034340659340659343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00034340659340659343,0.0,0.00034340659340659343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00034340659340659343,0.0,0.00034340659340659343,0.0,0.0006868131868131869,0.0,0.0,0.0,0.0,0.0,0.0,0.00034340659340659343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00034340659340659343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Criticize or denounce,0.010806317539484621,0.009559434746467166,0.01662510390689942,0.00457190357439734,0.004987531172069825,0.0024937655860349127,0.006234413965087282,0.004156275976724855,0.0,0.012884455527847049,0.0020781379883624274,0.00457190357439734,0.004156275976724855,0.007065669160432253,0.006234413965087282,0.0033250207813798837,0.004156275976724855,0.0020781379883624274,0.0020781379883624274,0.00041562759767248546,0.005818786367414797,0.0024937655860349127,0.0012468827930174563,0.0016625103906899418,0.0,0.0024937655860349127,0.0024937655860349127,0.00041562759767248546,0.0008312551953449709,0.0008312551953449709,0.0033250207813798837,0.0008312551953449709,0.0020781379883624274,0.0,0.0008312551953449709,0.0,0.0008312551953449709,0.0016625103906899418,0.00041562759767248546,0.0029093931837073984,0.0008312551953449709,0.0,0.0012468827930174563,0.00041562759767248546,0.0,0.00041562759767248546,0.00041562759767248546,0.00041562759767248546,0.00041562759767248546,0.0,0.0,0.0,0.00041562759767248546,0.0,0.0,0.0,0.0,0.00041562759767248546,0.0,0.00041562759767248546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00041562759767248546,0.0,0.00041562759767248546,0.00041562759767248546,0.0008312551953449709,0.0,0.0,0.0008312551953449709,0.00041562759767248546,0.0012468827930174563,0.0,0.00041562759767248546,0.0,0.0,0.00041562759767248546,0.00041562759767248546,0.0,0.00041562759767248546,0.00041562759767248546,0.00041562759767248546,0.00041562759767248546,0.0,0.0,0.0008312551953449709,0.0,0.0,0.0,0.0,0.0,0.0,0.00041562759767248546,0.0,0.0,0.0,0.00041562759767248546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00041562759767248546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00041562759767248546,0.00041562759767248546,0.0,0.00041562759767248546,0.0,0.0,0.00041562759767248546,0.0,0.0,0.00041562759767248546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00041562759767248546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Accuse,0.011390602752728999,0.004746084480303749,0.022306597057427623,0.0033222591362126247,0.0018984337921214998,0.00047460844803037496,0.01044138585666825,0.0014238253440911248,0.014712861888941622,0.0,0.009017560512577124,0.009492168960607499,0.0009492168960607499,0.004746084480303749,0.006169909824394874,0.0018984337921214998,0.0014238253440911248,0.0028476506881822496,0.0033222591362126247,0.0,0.006169909824394874,0.0037968675842429997,0.0009492168960607499,0.009017560512577124,0.0033222591362126247,0.0037968675842429997,0.0018984337921214998,0.0,0.00047460844803037496,0.0014238253440911248,0.0028476506881822496,0.0018984337921214998,0.00047460844803037496,0.0009492168960607499,0.0,0.00047460844803037496,0.00047460844803037496,0.0009492168960607499,0.0,0.0028476506881822496,0.0014238253440911248,0.00047460844803037496,0.00047460844803037496,0.0009492168960607499,0.00047460844803037496,0.0,0.00047460844803037496,0.0,0.0033222591362126247,0.0018984337921214998,0.0,0.00047460844803037496,0.0,0.0,0.00047460844803037496,0.0,0.0,0.0,0.00047460844803037496,0.00047460844803037496,0.0,0.0,0.0009492168960607499,0.0,0.0,0.0,0.0,0.00047460844803037496,0.0,0.0009492168960607499,0.0009492168960607499,0.00047460844803037496,0.0,0.0,0.00047460844803037496,0.0,0.0,0.0,0.0,0.0,0.00047460844803037496,0.00047460844803037496,0.0,0.0,0.00047460844803037496,0.0,0.0,0.00047460844803037496,0.00047460844803037496,0.0,0.00047460844803037496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009492168960607499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009492168960607499,0.0,0.0,0.0,0.0,0.0,0.00047460844803037496,0.00047460844803037496,0.0,0.0,0.00047460844803037496,0.0,0.0,0.0,0.00047460844803037496,0.0,0.0,0.0,0.00047460844803037496,0.0,0.0,0.0,0.00047460844803037496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009492168960607499,0.0,0.0,0.0,0.0,0.0,0.00047460844803037496,0.0,0.0009492168960607499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
