relation i,relation j,#temporal inverse,#rel_i,P one direction,P two direction
Host a visit,Deny responsibility,0,3424,0.0,0.0
Deny responsibility,Host a visit,0,168,0.0,0.0
Host a visit,Criticize or denounce,12,3424,0.0035046728971962616,0.00411663807890223
Criticize or denounce,Host a visit,12,2406,0.004987531172069825,0.00411663807890223
Host a visit,Receive deployment of peacekeepers,0,3424,0.0,0.0
Receive deployment of peacekeepers,Host a visit,0,28,0.0,0.0
Host a visit,Make a visit,2732,3424,0.7978971962616822,0.801408037547668
Make a visit,Host a visit,2732,3394,0.8049499116087213,0.801408037547668
Host a visit,Engage in diplomatic cooperation,21,3424,0.006133177570093458,0.009292035398230088
Engage in diplomatic cooperation,Host a visit,21,1096,0.01916058394160584,0.009292035398230088
Host a visit,Provide military protection or peacekeeping,0,3424,0.0,0.0
Provide military protection or peacekeeping,Host a visit,0,23,0.0,0.0
Host a visit,Express intent to engage in diplomatic cooperation (such as policy support),22,3424,0.006425233644859813,0.009691629955947136
Express intent to engage in diplomatic cooperation (such as policy support),Host a visit,22,1116,0.01971326164874552,0.009691629955947136
Host a visit,Express intent to meet or negotiate,274,3424,0.08002336448598131,0.07305692574323423
Express intent to meet or negotiate,Host a visit,274,4077,0.06720627912680893,0.07305692574323423
Host a visit,Make statement,166,3424,0.04848130841121495,0.020690514770036146
Make statement,Host a visit,166,12622,0.01315163999366186,0.020690514770036146
Host a visit,Consult,118,3424,0.0344626168224299,0.02056465667479958
Consult,Host a visit,118,8052,0.014654744162940884,0.02056465667479958
Host a visit,Engage in negotiation,34,3424,0.009929906542056074,0.013556618819776715
Engage in negotiation,Host a visit,34,1592,0.02135678391959799,0.013556618819776715
Host a visit,Make pessimistic comment,7,3424,0.0020443925233644858,0.003615702479338843
Make pessimistic comment,Host a visit,7,448,0.015625,0.003615702479338843
Host a visit,Make an appeal or request,40,3424,0.011682242990654205,0.00947530498637925
Make an appeal or request,Host a visit,40,5019,0.007969715082685794,0.00947530498637925
Host a visit,Use tactics of violent repression,0,3424,0.0,0.0
Use tactics of violent repression,Host a visit,0,217,0.0,0.0
Host a visit,"Protest violently, riot",0,3424,0.0,0.0
"Protest violently, riot",Host a visit,0,276,0.0,0.0
Host a visit,Use conventional military force,1,3424,0.0002920560747663551,0.0003946329913180742
Use conventional military force,Host a visit,1,1644,0.0006082725060827251,0.0003946329913180742
Host a visit,Reject,2,3424,0.0005841121495327102,0.0009551098376313276
Reject,Host a visit,2,764,0.002617801047120419,0.0009551098376313276
Host a visit,Demonstrate or rally,0,3424,0.0,0.0
Demonstrate or rally,Host a visit,0,503,0.0,0.0
Host a visit,Use unconventional violence,0,3424,0.0,0.0
Use unconventional violence,Host a visit,0,1929,0.0,0.0
Host a visit,Occupy territory,0,3424,0.0,0.0
Occupy territory,Host a visit,0,208,0.0,0.0
Host a visit,Praise or endorse,69,3424,0.020151869158878503,0.021780303030303032
Praise or endorse,Host a visit,69,2912,0.023695054945054944,0.021780303030303032
Host a visit,"Threaten with political dissent, protest",0,3424,0.0,0.0
"Threaten with political dissent, protest",Host a visit,0,5,0.0,0.0
Host a visit,Demand,9,3424,0.002628504672897196,0.003933566433566434
Demand,Host a visit,9,1152,0.0078125,0.003933566433566434
Host a visit,Accuse,4,3424,0.0011682242990654205,0.001446393057313325
Accuse,Host a visit,4,2107,0.0018984337921214998,0.001446393057313325
Host a visit,Discuss by telephone,3,3424,0.0008761682242990654,0.0014261944378416924
Discuss by telephone,Host a visit,3,783,0.0038314176245210726,0.0014261944378416924
Host a visit,Reduce or break diplomatic relations,7,3424,0.0020443925233644858,0.003937007874015748
Reduce or break diplomatic relations,Host a visit,7,132,0.05303030303030303,0.003937007874015748
Host a visit,"Arrest, detain, or charge with legal action",0,3424,0.0,0.0
"Arrest, detain, or charge with legal action",Host a visit,0,3203,0.0,0.0
Host a visit,Make empathetic comment,3,3424,0.0008761682242990654,0.0016411378555798686
Make empathetic comment,Host a visit,3,232,0.01293103448275862,0.0016411378555798686
Host a visit,Sexually assault,0,3424,0.0,0.0
Sexually assault,Host a visit,0,112,0.0,0.0
Host a visit,Express intent to cooperate,28,3424,0.008177570093457943,0.011942844956280656
Express intent to cooperate,Host a visit,28,1265,0.022134387351778657,0.011942844956280656
Host a visit,Appeal for diplomatic cooperation (such as policy support),8,3424,0.002336448598130841,0.004206098843322818
Appeal for diplomatic cooperation (such as policy support),Host a visit,8,380,0.021052631578947368,0.004206098843322818
Host a visit,"Defy norms, law",0,3424,0.0,0.0
"Defy norms, law",Host a visit,0,57,0.0,0.0
Host a visit,Threaten,11,3424,0.0032126168224299065,0.005542957923910304
Threaten,Host a visit,11,545,0.02018348623853211,0.005542957923910304
Host a visit,Threaten with military force,0,3424,0.0,0.0
Threaten with military force,Host a visit,0,91,0.0,0.0
Host a visit,"Ease economic sanctions, boycott, embargo",4,3424,0.0011682242990654205,0.0023222060957910013
"Ease economic sanctions, boycott, embargo",Host a visit,4,21,0.19047619047619047,0.0023222060957910013
Host a visit,Kill by physical assault,0,3424,0.0,0.0
Kill by physical assault,Host a visit,0,80,0.0,0.0
Host a visit,"Impose embargo, boycott, or sanctions",1,3424,0.0002920560747663551,0.0005678591709256105
"Impose embargo, boycott, or sanctions",Host a visit,1,98,0.01020408163265306,0.0005678591709256105
Host a visit,Make optimistic comment,30,3424,0.008761682242990653,0.014785608674223755
Make optimistic comment,Host a visit,30,634,0.0473186119873817,0.014785608674223755
Host a visit,"Reject proposal to meet, discuss, or negotiate",4,3424,0.0011682242990654205,0.0022753128555176336
"Reject proposal to meet, discuss, or negotiate",Host a visit,4,92,0.043478260869565216,0.0022753128555176336
Host a visit,Appeal for de-escalation of military engagement,2,3424,0.0005841121495327102,0.001156737998843262
Appeal for de-escalation of military engagement,Host a visit,2,34,0.058823529411764705,0.001156737998843262
Host a visit,Sign formal agreement,17,3424,0.004964953271028037,0.007569011576135352
Sign formal agreement,Host a visit,17,1068,0.015917602996254682,0.007569011576135352
Host a visit,Meet at a 'third' location,5,3424,0.0014602803738317756,0.002592016588906169
Meet at a 'third' location,Host a visit,5,434,0.01152073732718894,0.002592016588906169
Host a visit,Express intent to provide economic aid,4,3424,0.0011682242990654205,0.0022896393817973667
Express intent to provide economic aid,Host a visit,4,70,0.05714285714285714,0.0022896393817973667
Host a visit,Investigate,6,3424,0.0017523364485981308,0.002824858757062147
Investigate,Host a visit,6,824,0.007281553398058253,0.002824858757062147
Host a visit,Halt negotiations,2,3424,0.0005841121495327102,0.0011590843233845263
Halt negotiations,Host a visit,2,27,0.07407407407407407,0.0011590843233845263
Host a visit,Physically assault,0,3424,0.0,0.0
Physically assault,Host a visit,0,191,0.0,0.0
Host a visit,Engage in symbolic act,9,3424,0.002628504672897196,0.004675324675324675
Engage in symbolic act,Host a visit,9,426,0.02112676056338028,0.004675324675324675
Host a visit,Expel or deport individuals,0,3424,0.0,0.0
Expel or deport individuals,Host a visit,0,138,0.0,0.0
Host a visit,fight with small arms and light weapons,4,3424,0.0011682242990654205,0.001941747572815534
fight with small arms and light weapons,Host a visit,4,696,0.005747126436781609,0.001941747572815534
Host a visit,"Abduct, hijack, or take hostage",1,3424,0.0002920560747663551,0.0005119017148707448
"Abduct, hijack, or take hostage",Host a visit,1,483,0.002070393374741201,0.0005119017148707448
Host a visit,"Conduct suicide, car, or other non-military bombing",0,3424,0.0,0.0
"Conduct suicide, car, or other non-military bombing",Host a visit,0,69,0.0,0.0
Host a visit,Give ultimatum,0,3424,0.0,0.0
Give ultimatum,Host a visit,0,52,0.0,0.0
Host a visit,"Reject plan, agreement to settle dispute",0,3424,0.0,0.0
"Reject plan, agreement to settle dispute",Host a visit,0,55,0.0,0.0
Host a visit,Demand de-escalation of military engagement,1,3424,0.0002920560747663551,0.0005820721769499418
Demand de-escalation of military engagement,Host a visit,1,12,0.08333333333333333,0.0005820721769499418
Host a visit,Coerce,0,3424,0.0,0.0
Coerce,Host a visit,0,95,0.0,0.0
Host a visit,Express accord,0,3424,0.0,0.0
Express accord,Host a visit,0,79,0.0,0.0
Host a visit,"Declare truce, ceasefire",0,3424,0.0,0.0
"Declare truce, ceasefire",Host a visit,0,23,0.0,0.0
Host a visit,Complain officially,0,3424,0.0,0.0
Complain officially,Host a visit,0,109,0.0,0.0
Host a visit,"Return, release person(s)",0,3424,0.0,0.0
"Return, release person(s)",Host a visit,0,357,0.0,0.0
Host a visit,Refuse to yield,1,3424,0.0002920560747663551,0.0005778676683039584
Refuse to yield,Host a visit,1,37,0.02702702702702703,0.0005778676683039584
Host a visit,Reduce relations,1,3424,0.0002920560747663551,0.0005537098560354374
Reduce relations,Host a visit,1,188,0.005319148936170213,0.0005537098560354374
Host a visit,Bring lawsuit against,0,3424,0.0,0.0
Bring lawsuit against,Host a visit,0,142,0.0,0.0
Host a visit,Engage in mass expulsion,0,3424,0.0,0.0
Engage in mass expulsion,Host a visit,0,1,0.0,0.0
Host a visit,Impose restrictions on political freedoms,0,3424,0.0,0.0
Impose restrictions on political freedoms,Host a visit,0,54,0.0,0.0
Host a visit,"Obstruct passage, block",0,3424,0.0,0.0
"Obstruct passage, block",Host a visit,0,58,0.0,0.0
Host a visit,Rally opposition against,0,3424,0.0,0.0
Rally opposition against,Host a visit,0,68,0.0,0.0
Host a visit,Appeal for humanitarian aid,0,3424,0.0,0.0
Appeal for humanitarian aid,Host a visit,0,7,0.0,0.0
Host a visit,Torture,0,3424,0.0,0.0
Torture,Host a visit,0,30,0.0,0.0
Host a visit,Express intent to release persons or property,0,3424,0.0,0.0
Express intent to release persons or property,Host a visit,0,61,0.0,0.0
Host a visit,Consider policy option,3,3424,0.0008761682242990654,0.001707455890722823
Consider policy option,Host a visit,3,90,0.03333333333333333,0.001707455890722823
Host a visit,fight with artillery and tanks,1,3424,0.0002920560747663551,0.0005787037037037037
fight with artillery and tanks,Host a visit,1,32,0.03125,0.0005787037037037037
Host a visit,Engage in material cooperation,0,3424,0.0,0.0
Engage in material cooperation,Host a visit,0,83,0.0,0.0
Host a visit,Violate ceasefire,0,3424,0.0,0.0
Violate ceasefire,Host a visit,0,4,0.0,0.0
Host a visit,Provide economic aid,0,3424,0.0,0.0
Provide economic aid,Host a visit,0,71,0.0,0.0
Host a visit,Confiscate property,0,3424,0.0,0.0
Confiscate property,Host a visit,0,138,0.0,0.0
