relation i,relation j,#evolve,#rel_i,P one direction,P two direction
Reject,Make statement,121,764,0.15837696335078533,0.025250261467204542
Make statement,Reject,217,12622,0.01719220408810014,0.025250261467204542
Reject,Consult,96,764,0.1256544502617801,0.02472776769509982
Consult,Reject,122,8052,0.015151515151515152,0.02472776769509982
Reject,Sign formal agreement,54,764,0.07068062827225131,0.0584061135371179
Sign formal agreement,Reject,53,1068,0.04962546816479401,0.0584061135371179
Reject,Engage in negotiation,63,764,0.0824607329842932,0.056451612903225805
Engage in negotiation,Reject,70,1592,0.04396984924623116,0.056451612903225805
Reject,Engage in diplomatic cooperation,66,764,0.08638743455497382,0.07634408602150537
Engage in diplomatic cooperation,Reject,76,1096,0.06934306569343066,0.07634408602150537
Reject,Make an appeal or request,155,764,0.20287958115183247,0.07193498184333391
Make an appeal or request,Reject,261,5019,0.052002390914524806,0.07193498184333391
Reject,Threaten,98,764,0.12827225130890052,0.12757830404889228
Threaten,Reject,69,545,0.12660550458715597,0.12757830404889228
Reject,Engage in symbolic act,45,764,0.058900523560209424,0.05546218487394958
Engage in symbolic act,Reject,21,426,0.04929577464788732,0.05546218487394958
Reject,Criticize or denounce,158,764,0.20680628272251309,0.11735015772870662
Criticize or denounce,Reject,214,2406,0.0889443059019119,0.11735015772870662
Reject,Demand,127,764,0.1662303664921466,0.1409185803757829
Demand,Reject,143,1152,0.12413194444444445,0.1409185803757829
Reject,Expel or deport individuals,9,764,0.011780104712041885,0.024390243902439025
Expel or deport individuals,Reject,13,138,0.09420289855072464,0.024390243902439025
Reject,"Accuse of crime, corruption",11,764,0.014397905759162303,0.025362318840579712
"Accuse of crime, corruption",Reject,10,64,0.15625,0.025362318840579712
Reject,Rally opposition against,42,764,0.0549738219895288,0.05889423076923077
Rally opposition against,Reject,7,68,0.10294117647058823,0.05889423076923077
Reject,Accuse,128,764,0.16753926701570682,0.11598746081504702
Accuse,Reject,205,2107,0.09729473184622686,0.11598746081504702
Reject,Express intent to meet or negotiate,119,764,0.15575916230366493,0.05474075604214006
Express intent to meet or negotiate,Reject,146,4077,0.03581064508216826,0.05474075604214006
Reject,Express intent to provide humanitarian aid,20,764,0.02617801047120419,0.034482758620689655
Express intent to provide humanitarian aid,Reject,8,48,0.16666666666666666,0.034482758620689655
Reject,Reduce relations,42,764,0.0549738219895288,0.07773109243697479
Reduce relations,Reject,32,188,0.1702127659574468,0.07773109243697479
Reject,"Reject proposal to meet, discuss, or negotiate",29,764,0.03795811518324607,0.054906542056074766
"Reject proposal to meet, discuss, or negotiate",Reject,18,92,0.1956521739130435,0.054906542056074766
Reject,Use conventional military force,37,764,0.04842931937172775,0.03945182724252492
Use conventional military force,Reject,58,1644,0.03527980535279805,0.03945182724252492
Reject,Appeal to engage in or accept mediation,6,764,0.007853403141361256,0.010037641154328732
