relation i,relation j,#implication,#rel_i,P one direction,P two direction
Criticize or denounce,Express intent to meet or negotiate,569,2406,0.23649210307564422,0.18988122782662348
Express intent to meet or negotiate,Criticize or denounce,662,4077,0.16237429482462595,0.18988122782662348
Criticize or denounce,Consult,417,2406,0.17331670822942644,0.10078408873589596
Consult,Criticize or denounce,637,8052,0.07911077993045205,0.10078408873589596
Criticize or denounce,"Abduct, hijack, or take hostage",61,2406,0.02535328345802161,0.06542056074766354
"Abduct, hijack, or take hostage",Criticize or denounce,128,483,0.2650103519668737,0.06542056074766354
Criticize or denounce,Praise or endorse,415,2406,0.17248545303408147,0.134072959759308
Praise or endorse,Criticize or denounce,298,2912,0.10233516483516483,0.134072959759308
Criticize or denounce,Engage in negotiation,244,2406,0.10141313383208644,0.13631815907953976
Engage in negotiation,Criticize or denounce,301,1592,0.18907035175879397,0.13631815907953976
Criticize or denounce,Make an appeal or request,924,2406,0.38403990024937656,0.3705050505050505
Make an appeal or request,Criticize or denounce,1827,5019,0.36401673640167365,0.3705050505050505
Criticize or denounce,Use unconventional violence,221,2406,0.09185369908561929,0.12779700115340253
Use unconventional violence,Criticize or denounce,333,1929,0.17262830482115085,0.12779700115340253
Criticize or denounce,Make statement,685,2406,0.28470490440565255,0.17267766835240883
Make statement,Criticize or denounce,1910,12622,0.15132308667406116,0.17267766835240883
Criticize or denounce,"Arrest, detain, or charge with legal action",116,2406,0.04821280133000831,0.15742556605455518
"Arrest, detain, or charge with legal action",Criticize or denounce,767,3203,0.23946300343428037,0.15742556605455518
Criticize or denounce,Use conventional military force,188,2406,0.07813798836242726,0.13901234567901236
Use conventional military force,Criticize or denounce,375,1644,0.2281021897810219,0.13901234567901236
Criticize or denounce,Complain officially,164,2406,0.06816292601828762,0.08787276341948311
Complain officially,Criticize or denounce,57,109,0.5229357798165137,0.08787276341948311
Criticize or denounce,Impose administrative sanctions,40,2406,0.01662510390689942,0.024812918471839307
Impose administrative sanctions,Criticize or denounce,23,133,0.17293233082706766,0.024812918471839307
Criticize or denounce,Express intent to cooperate,436,2406,0.18121363258520365,0.23263415962952874
Express intent to cooperate,Criticize or denounce,418,1265,0.33043478260869563,0.23263415962952874
Criticize or denounce,Appeal for de-escalation of military engagement,15,2406,0.006234413965087282,0.009016393442622951
Appeal for de-escalation of military engagement,Criticize or denounce,7,34,0.20588235294117646,0.009016393442622951
Criticize or denounce,Sign formal agreement,257,2406,0.10681629260182876,0.13557858376511225
Sign formal agreement,Criticize or denounce,214,1068,0.20037453183520598,0.13557858376511225
Criticize or denounce,Attempt to assassinate,0,2406,0.0,0.0
Attempt to assassinate,Criticize or denounce,0,11,0.0,0.0
Criticize or denounce,Host a visit,231,2406,0.09600997506234414,0.08027444253859348
Host a visit,Criticize or denounce,237,3424,0.06921728971962617,0.08027444253859348
Criticize or denounce,Increase military alert status,3,2406,0.0012468827930174563,0.002055076037813399
Increase military alert status,Criticize or denounce,2,27,0.07407407407407407,0.002055076037813399
Criticize or denounce,Make a visit,272,2406,0.11305070656691604,0.11103448275862068
Make a visit,Criticize or denounce,372,3394,0.10960518562168532,0.11103448275862068
Criticize or denounce,"Impose embargo, boycott, or sanctions",42,2406,0.017456359102244388,0.02476038338658147
"Impose embargo, boycott, or sanctions",Criticize or denounce,20,98,0.20408163265306123,0.02476038338658147
Criticize or denounce,Provide economic aid,21,2406,0.008728179551122194,0.011303996770286637
Provide economic aid,Criticize or denounce,7,71,0.09859154929577464,0.011303996770286637
Criticize or denounce,Express intent to engage in diplomatic cooperation (such as policy support),416,2406,0.17290108063175394,0.18654173764906304
Express intent to engage in diplomatic cooperation (such as policy support),Criticize or denounce,241,1116,0.21594982078853048,0.18654173764906304
Criticize or denounce,Appeal for intelligence,99,2406,0.04114713216957606,0.05239822652156389
Appeal for intelligence,Criticize or denounce,31,75,0.41333333333333333,0.05239822652156389
Criticize or denounce,Demand,557,2406,0.2315045719035744,0.27318718381112983
Demand,Criticize or denounce,415,1152,0.3602430555555556,0.27318718381112983
Criticize or denounce,Carry out suicide bombing,0,2406,0.0,0.0
Carry out suicide bombing,Criticize or denounce,0,76,0.0,0.0
Criticize or denounce,Express intent to provide material aid,58,2406,0.024106400665004156,0.031010873942811115
Express intent to provide material aid,Criticize or denounce,19,77,0.24675324675324675,0.031010873942811115
Criticize or denounce,Grant diplomatic recognition,14,2406,0.005818786367414797,0.0065067100447336315
Grant diplomatic recognition,Criticize or denounce,2,53,0.03773584905660377,0.0065067100447336315
Criticize or denounce,Demonstrate or rally,184,2406,0.07647547797173733,0.09762805087658989
Demonstrate or rally,Criticize or denounce,100,503,0.1988071570576541,0.09762805087658989
Criticize or denounce,Meet at a 'third' location,108,2406,0.04488778054862843,0.05598591549295775
Meet at a 'third' location,Criticize or denounce,51,434,0.1175115207373272,0.05598591549295775
Criticize or denounce,Accuse,776,2406,0.32252701579384874,0.3831154442721028
Accuse,Criticize or denounce,953,2107,0.45230185097294734,0.3831154442721028
Criticize or denounce,Investigate,120,2406,0.04987531172069826,0.10464396284829722
Investigate,Criticize or denounce,218,824,0.2645631067961165,0.10464396284829722
Criticize or denounce,Appeal for diplomatic cooperation (such as policy support),280,2406,0.11637572734829593,0.14931801866475233
Appeal for diplomatic cooperation (such as policy support),Criticize or denounce,136,380,0.35789473684210527,0.14931801866475233
Criticize or denounce,Engage in symbolic act,117,2406,0.048628428927680795,0.07344632768361582
Engage in symbolic act,Criticize or denounce,91,426,0.2136150234741784,0.07344632768361582
Criticize or denounce,"Defy norms, law",117,2406,0.048628428927680795,0.05805927730410069
"Defy norms, law",Criticize or denounce,26,57,0.45614035087719296,0.05805927730410069
Criticize or denounce,Consider policy option,114,2406,0.04738154613466334,0.055288461538461536
Consider policy option,Criticize or denounce,24,90,0.26666666666666666,0.055288461538461536
Criticize or denounce,Provide aid,62,2406,0.025768911055694097,0.03939157566302652
Provide aid,Criticize or denounce,39,158,0.2468354430379747,0.03939157566302652
Criticize or denounce,Sexually assault,73,2406,0.030340814630091438,0.04169976171564734
Sexually assault,Criticize or denounce,32,112,0.2857142857142857,0.04169976171564734
Criticize or denounce,Threaten,424,2406,0.17622610141313383,0.22161978990172823
Threaten,Criticize or denounce,230,545,0.42201834862385323,0.22161978990172823
Criticize or denounce,Make empathetic comment,159,2406,0.06608478802992519,0.07619408642911296
Make empathetic comment,Criticize or denounce,42,232,0.1810344827586207,0.07619408642911296
Criticize or denounce,Bring lawsuit against,124,2406,0.051537822111388194,0.0706436420722135
Bring lawsuit against,Criticize or denounce,56,142,0.39436619718309857,0.0706436420722135
Criticize or denounce,"Impose blockade, restrict movement",14,2406,0.005818786367414797,0.006600660066006601
"Impose blockade, restrict movement",Criticize or denounce,2,18,0.1111111111111111,0.006600660066006601
Criticize or denounce,Make pessimistic comment,393,2406,0.1633416458852868,0.19761737911702873
Make pessimistic comment,Criticize or denounce,171,448,0.38169642857142855,0.19761737911702873
Criticize or denounce,"Protest violently, riot",48,2406,0.0199501246882793,0.024235645041014168
