relation i,relation j,#inverse,#rel_i,P one direction,P two direction
Criticize or denounce,Express intent to meet or negotiate,541,2406,0.22485453034081462,0.17908375751966682
Express intent to meet or negotiate,Criticize or denounce,620,4077,0.15207260240372822,0.17908375751966682
Criticize or denounce,Praise or endorse,414,2406,0.17206982543640897,0.12015795411808951
Praise or endorse,Criticize or denounce,225,2912,0.07726648351648352,0.12015795411808951
Criticize or denounce,Engage in negotiation,242,2406,0.10058187863674148,0.1360680340170085
Engage in negotiation,Criticize or denounce,302,1592,0.18969849246231155,0.1360680340170085
Criticize or denounce,Make an appeal or request,785,2406,0.3262676641729011,0.3027609427609428
Make an appeal or request,Criticize or denounce,1463,5019,0.2914923291492329,0.3027609427609428
Criticize or denounce,Use unconventional violence,130,2406,0.05403158769742311,0.10957324106113034
Use unconventional violence,Criticize or denounce,345,1929,0.17884914463452567,0.10957324106113034
Criticize or denounce,"Arrest, detain, or charge with legal action",196,2406,0.08146300914380715,0.16937065430558032
"Arrest, detain, or charge with legal action",Criticize or denounce,754,3203,0.23540430846081797,0.16937065430558032
Criticize or denounce,Use conventional military force,208,2406,0.08645054031587697,0.15530864197530864
Use conventional military force,Criticize or denounce,421,1644,0.25608272506082724,0.15530864197530864
Criticize or denounce,Complain officially,134,2406,0.05569409808811305,0.07395626242544731
Complain officially,Criticize or denounce,52,109,0.47706422018348627,0.07395626242544731
Criticize or denounce,Impose administrative sanctions,43,2406,0.017871986699916874,0.026388341866876722
Impose administrative sanctions,Criticize or denounce,24,133,0.18045112781954886,0.026388341866876722
Criticize or denounce,Express intent to cooperate,445,2406,0.18495428096425603,0.23372378098610733
Express intent to cooperate,Criticize or denounce,413,1265,0.3264822134387352,0.23372378098610733
Criticize or denounce,Make statement,479,2406,0.19908561928512053,0.09642001597018898
Make statement,Criticize or denounce,970,12622,0.07684994454127714,0.09642001597018898
Criticize or denounce,Appeal for de-escalation of military engagement,20,2406,0.00831255195344971,0.011475409836065573
Appeal for de-escalation of military engagement,Criticize or denounce,8,34,0.23529411764705882,0.011475409836065573
Criticize or denounce,Sign formal agreement,261,2406,0.1084788029925187,0.13788140472078295
Sign formal agreement,Criticize or denounce,218,1068,0.20411985018726592,0.13788140472078295
