head	relation	tail	time
Ministry (Afghanistan)	Make statement	Afghanistan	2014-03-06
John Kerry	Express intent to meet or negotiate	China	2014-11-04
John Kerry	Express intent to meet or negotiate	Julie Bishop	2014-08-10
John Kerry	Express intent to meet or negotiate	Joseph Kabila	2014-04-29
John Kerry	Express intent to meet or negotiate	Catherine Ashton	2014-10-10
John Kerry	Express intent to meet or negotiate	Middle East	2014-06-21
John Kerry	Express intent to meet or negotiate	Benjamin Netanyahu	2014-12-13
John Kerry	Express intent to meet or negotiate	Benjamin Netanyahu	2014-07-23
John Kerry	Express intent to meet or negotiate	Kuwait	2014-01-13
John Kerry	Express intent to meet or negotiate	Citizen (South Korea)	2014-02-11
John Kerry	Express intent to meet or negotiate	South Korea	2014-02-03
John Kerry	Express intent to meet or negotiate	Morocco	2014-03-27
John Kerry	Express intent to meet or negotiate	China	2014-01-23
John Kerry	Express intent to meet or negotiate	Myanmar	2014-08-09
John Kerry	Express intent to meet or negotiate	France	2014-10-16
John Kerry	Express intent to meet or negotiate	Ashraf Ghani Ahmadzai	2014-08-07
John Kerry	Express intent to meet or negotiate	Mohammad Javad Zarif	2014-11-03
John Kerry	Express intent to meet or negotiate	Poland	2014-03-05
John Kerry	Express intent to meet or negotiate	France	2014-10-31
John Kerry	Express intent to meet or negotiate	Mohammad Javad Zarif	2014-07-13
John Kerry	Express intent to meet or negotiate	Nuri al-Maliki	2014-06-23
John Kerry	Express intent to meet or negotiate	Sergey Viktorovich Lavrov	2014-01-13
John Kerry	Express intent to meet or negotiate	Government Official (Solomon Islands)	2014-08-13
John Kerry	Express intent to meet or negotiate	Sergey Viktorovich Lavrov	2014-12-13
John Kerry	Express intent to meet or negotiate	Nasser Judeh	2014-06-20
John Kerry	Express intent to meet or negotiate	Vitali Klitschko	2014-02-03
John Kerry	Express intent to meet or negotiate	Mohamed al-Dairi	2014-10-13
John Kerry	Express intent to meet or negotiate	Sergey Viktorovich Lavrov	2014-03-20
Japan	Make a visit	Thailand	2014-09-22
Japan	Make a visit	China	2014-09-24
Japan	Make a visit	North Korea	2014-10-30
Japan	Make a visit	China	2014-04-20
Japan	Make a visit	North Korea	2014-10-14
Japan	Make a visit	North Korea	2014-10-09
Head of Government (Pakistan)	Express intent to meet or negotiate	Tajikistan	2014-06-16
Head of Government (Pakistan)	Express intent to meet or negotiate	China	2014-02-18
Media Personnel (France)	Make statement	France	2014-03-24
Media Personnel (France)	Make statement	France	2014-09-04
Media Personnel (France)	Make statement	France	2014-02-21
Xi Jinping	Make optimistic comment	Malaysia	2014-11-10
Xi Jinping	Make optimistic comment	China	2014-07-20
Japan	Consult	Philippines	2014-04-24
Japan	Consult	South Korea	2014-09-26
Japan	Consult	South Korea	2014-03-20
Japan	Consult	North Korea	2014-03-04
Japan	Consult	South Korea	2014-11-13
Japan	Consult	South Korea	2014-07-27
Japan	Consult	France	2014-04-11
Japan	Consult	South Korea	2014-11-16
Japan	Consult	China	2014-12-27
Party Member (Iraq)	Consult	Cabinet / Council of Ministers / Advisors (United States)	2014-06-23
Marziyeh Afkham	Praise or endorse	Iraq	2014-07-25
Wang Yang	Make statement	China	2014-09-04
Wang Yang	Make statement	China	2014-11-21
Wang Yang	Make statement	South Africa	2014-09-04
Wang Yang	Make statement	China	2014-04-15
Colombia	Host a visit	Kyung-wha Kang	2014-06-04
Colombia	Host a visit	Chuck Hagel	2014-10-10
Colombia	Host a visit	Ruben Dario Alzate	2014-11-16
