head	relation	tail	time_x
Abdullah Abdullah	Sign formal agreement	Ashraf Ghani Ahmadzai	2014-12-01
Abdullah Abdullah	Sign formal agreement	Ashraf Ghani Ahmadzai	2014-08-10
Abdullah Abdullah	Sign formal agreement	Ashraf Ghani Ahmadzai	2014-09-28
Abdullah Abdullah	Sign formal agreement	Ashraf Ghani Ahmadzai	2014-08-22
Abdullah Abdullah	Sign formal agreement	Ashraf Ghani Ahmadzai	2014-09-21
Abdullah Abdullah	Sign formal agreement	Ashraf Ghani Ahmadzai	2014-10-03
Abdullah Abdullah	Sign formal agreement	Ashraf Ghani Ahmadzai	2014-09-25
Abdullah Abdullah	Sign formal agreement	Ashraf Ghani Ahmadzai	2014-07-14
Abdullah Abdullah	Sign formal agreement	Ashraf Ghani Ahmadzai	2014-08-09
Abdullah Abdullah	Sign formal agreement	Ashraf Ghani Ahmadzai	2014-09-15
Abdullah Abdullah	Sign formal agreement	Ashraf Ghani Ahmadzai	2014-08-06
Abdullah Abdullah	Sign formal agreement	Ashraf Ghani Ahmadzai	2014-09-24
Abdullah Abdullah	Sign formal agreement	Ashraf Ghani Ahmadzai	2014-09-23
Abdullah Abdullah	Sign formal agreement	Ashraf Ghani Ahmadzai	2014-08-08
Abdullah Abdullah	Sign formal agreement	Ashraf Ghani Ahmadzai	2014-07-13
Abdullah Abdullah	Sign formal agreement	Ashraf Ghani Ahmadzai	2014-09-22
Media (India)	Consult	Head of Government (India)	2014-12-31
Media (India)	Consult	Head of Government (India)	2014-09-30
Media (India)	Consult	Head of Government (India)	2014-01-07
Media (India)	Consult	Head of Government (India)	2014-01-12
Barack Obama	Consult	Xi Jinping	2014-08-25
Barack Obama	Consult	Xi Jinping	2014-06-10
Barack Obama	Consult	Xi Jinping	2014-02-21
Barack Obama	Consult	Xi Jinping	2014-03-24
Barack Obama	Consult	Xi Jinping	2014-11-16
Barack Obama	Consult	Xi Jinping	2014-11-13
Barack Obama	Consult	Xi Jinping	2014-10-16
Barack Obama	Consult	Xi Jinping	2014-03-11
Barack Obama	Consult	Xi Jinping	2014-06-15
Barack Obama	Consult	Xi Jinping	2014-03-30
Barack Obama	Consult	Xi Jinping	2014-07-17
Barack Obama	Consult	Xi Jinping	2014-11-14
Barack Obama	Consult	Xi Jinping	2014-03-25
Barack Obama	Consult	Xi Jinping	2014-11-12
Barack Obama	Consult	Xi Jinping	2014-01-29
Barack Obama	Consult	Xi Jinping	2014-04-10
Barack Obama	Consult	Xi Jinping	2014-11-15
Barack Obama	Consult	Xi Jinping	2014-11-10
John Kerry	Consult	Catherine Ashton	2014-11-04
John Kerry	Consult	Catherine Ashton	2014-05-08
John Kerry	Consult	Catherine Ashton	2014-07-17
John Kerry	Consult	Catherine Ashton	2014-07-15
John Kerry	Consult	Catherine Ashton	2014-09-27
John Kerry	Consult	Catherine Ashton	2014-11-22
John Kerry	Consult	Catherine Ashton	2014-11-23
John Kerry	Consult	Catherine Ashton	2014-10-16
John Kerry	Consult	Catherine Ashton	2014-08-11
John Kerry	Consult	Catherine Ashton	2014-05-06
John Kerry	Consult	Catherine Ashton	2014-11-05
John Kerry	Consult	Catherine Ashton	2014-11-21
John Kerry	Consult	Catherine Ashton	2014-04-17
John Kerry	Consult	Catherine Ashton	2014-05-07
John Kerry	Consult	Catherine Ashton	2014-11-10
John Kerry	Consult	Catherine Ashton	2014-05-09
John Kerry	Consult	Catherine Ashton	2014-09-26
John Kerry	Meet at a 'third' location	Sergey Viktorovich Lavrov	2014-03-07
John Kerry	Meet at a 'third' location	Sergey Viktorovich Lavrov	2014-12-13
John Kerry	Meet at a 'third' location	Sergey Viktorovich Lavrov	2014-04-17
John Kerry	Meet at a 'third' location	Sergey Viktorovich Lavrov	2014-03-18
John Kerry	Meet at a 'third' location	Sergey Viktorovich Lavrov	2014-12-18
John Kerry	Meet at a 'third' location	Sergey Viktorovich Lavrov	2014-01-14
