relation i,relation j,#temporal implication,#rel_i,P one direction,P two direction
Praise or endorse,Use conventional military force,3,2912,0.0010302197802197802,0.0013169446883230904
Use conventional military force,Praise or endorse,3,1644,0.0018248175182481751,0.0013169446883230904
Praise or endorse,Make statement,92,2912,0.03159340659340659,0.011844985193768507
Make statement,Praise or endorse,92,12622,0.007288860719378862,0.011844985193768507
Praise or endorse,Express intent to cooperate,20,2912,0.006868131868131868,0.009576250897773522
Express intent to cooperate,Praise or endorse,20,1265,0.015810276679841896,0.009576250897773522
Praise or endorse,Sign formal agreement,13,2912,0.004464285714285714,0.006532663316582915
Sign formal agreement,Praise or endorse,13,1068,0.012172284644194757,0.006532663316582915
Praise or endorse,Attempt to assassinate,0,2912,0.0,0.0
Attempt to assassinate,Praise or endorse,0,11,0.0,0.0
Praise or endorse,Express intent to meet or negotiate,40,2912,0.013736263736263736,0.01144655887823723
Express intent to meet or negotiate,Praise or endorse,40,4077,0.009811135638950209,0.01144655887823723
Praise or endorse,Consult,119,2912,0.040865384615384616,0.021707406056183876
Consult,Praise or endorse,119,8052,0.014778936910084452,0.021707406056183876
Praise or endorse,Make an appeal or request,59,2912,0.020260989010989012,0.014878325557937208
Make an appeal or request,Praise or endorse,59,5019,0.011755329746961547,0.014878325557937208
Praise or endorse,Express intent to engage in diplomatic cooperation (such as policy support),32,2912,0.01098901098901099,0.015888778550148957
Express intent to engage in diplomatic cooperation (such as policy support),Praise or endorse,32,1116,0.02867383512544803,0.015888778550148957
Praise or endorse,Criticize or denounce,13,2912,0.004464285714285714,0.004889056036103798
Criticize or denounce,Praise or endorse,13,2406,0.005403158769742311,0.004889056036103798
Praise or endorse,Appeal for intelligence,0,2912,0.0,0.0
Appeal for intelligence,Praise or endorse,0,75,0.0,0.0
Praise or endorse,Demonstrate or rally,3,2912,0.0010302197802197802,0.0017569546120058566
Demonstrate or rally,Praise or endorse,3,503,0.005964214711729622,0.0017569546120058566
Praise or endorse,Accuse,7,2912,0.002403846153846154,0.002789400278940028
Accuse,Praise or endorse,7,2107,0.0033222591362126247,0.002789400278940028
Praise or endorse,Appeal for diplomatic cooperation (such as policy support),3,2912,0.0010302197802197802,0.0018226002430133657
Appeal for diplomatic cooperation (such as policy support),Praise or endorse,3,380,0.007894736842105263,0.0018226002430133657
Praise or endorse,Engage in negotiation,27,2912,0.009271978021978022,0.011989342806394316
Engage in negotiation,Praise or endorse,27,1592,0.016959798994974875,0.011989342806394316
Praise or endorse,Use unconventional violence,1,2912,0.00034340659340659343,0.0004131377814501136
Use unconventional violence,Praise or endorse,1,1929,0.0005184033177812338,0.0004131377814501136
Praise or endorse,"Arrest, detain, or charge with legal action",1,2912,0.00034340659340659343,0.00032706459525756336
"Arrest, detain, or charge with legal action",Praise or endorse,1,3203,0.00031220730565095225,0.00032706459525756336
Praise or endorse,Make a visit,68,2912,0.023351648351648352,0.02156676181414526
Make a visit,Praise or endorse,68,3394,0.020035356511490868,0.02156676181414526
Praise or endorse,Host a visit,84,2912,0.028846153846153848,0.026515151515151516
Host a visit,Praise or endorse,84,3424,0.02453271028037383,0.026515151515151516
Praise or endorse,Make pessimistic comment,3,2912,0.0010302197802197802,0.0017857142857142857
Make pessimistic comment,Praise or endorse,3,448,0.006696428571428571,0.0017857142857142857
Praise or endorse,"Protest violently, riot",0,2912,0.0,0.0
"Protest violently, riot",Praise or endorse,0,276,0.0,0.0
Praise or endorse,Demand,8,2912,0.0027472527472527475,0.003937007874015748
Demand,Praise or endorse,8,1152,0.006944444444444444,0.003937007874015748
Praise or endorse,Impose administrative sanctions,0,2912,0.0,0.0
Impose administrative sanctions,Praise or endorse,0,133,0.0,0.0
Praise or endorse,Engage in material cooperation,0,2912,0.0,0.0
Engage in material cooperation,Praise or endorse,0,83,0.0,0.0
Praise or endorse,Engage in diplomatic cooperation,29,2912,0.009958791208791208,0.014471057884231538
Engage in diplomatic cooperation,Praise or endorse,29,1096,0.02645985401459854,0.014471057884231538
Praise or endorse,Make optimistic comment,22,2912,0.007554945054945055,0.012408347433728144
Make optimistic comment,Praise or endorse,22,634,0.03470031545741325,0.012408347433728144
Praise or endorse,Use tactics of violent repression,1,2912,0.00034340659340659343,0.0006391818472355385
Use tactics of violent repression,Praise or endorse,1,217,0.004608294930875576,0.0006391818472355385
Praise or endorse,"Return, release person(s)",0,2912,0.0,0.0
"Return, release person(s)",Praise or endorse,0,357,0.0,0.0
Praise or endorse,Express intent to cooperate economically,2,2912,0.0006868131868131869,0.0013311148086522463
Express intent to cooperate economically,Praise or endorse,2,93,0.021505376344086023,0.0013311148086522463
Praise or endorse,Impose restrictions on political freedoms,0,2912,0.0,0.0
