relation i,relation j,#temporal symmetric,#rel_i,P one direction,P two direction
Make statement,Make statement,182,12622,0.014419267944858184,0.014419267944858184
Consult,Consult,6453,8052,0.8014157973174366,0.8014157973174366
Make an appeal or request,Make an appeal or request,138,5019,0.02749551703526599,0.02749551703526599
Express intent to meet or negotiate,Express intent to meet or negotiate,680,4077,0.16678930586215354,0.16678930586215354
Host a visit,Host a visit,14,3424,0.0040887850467289715,0.0040887850467289715
Make a visit,Make a visit,22,3394,0.00648202710665881,0.00648202710665881
"Arrest, detain, or charge with legal action","Arrest, detain, or charge with legal action",0,3203,0.0,0.0
Praise or endorse,Praise or endorse,44,2912,0.01510989010989011,0.01510989010989011
Criticize or denounce,Criticize or denounce,64,2406,0.02660016625103907,0.02660016625103907
Accuse,Accuse,70,2107,0.03322259136212625,0.03322259136212625
Use unconventional violence,Use unconventional violence,152,1929,0.07879730430274753,0.07879730430274753
Use conventional military force,Use conventional military force,64,1644,0.038929440389294405,0.038929440389294405
Engage in negotiation,Engage in negotiation,1276,1592,0.8015075376884422,0.8015075376884422
Express intent to cooperate,Express intent to cooperate,768,1265,0.6071146245059289,0.6071146245059289
Demand,Demand,12,1152,0.010416666666666666,0.010416666666666666
Express intent to engage in diplomatic cooperation (such as policy support),Express intent to engage in diplomatic cooperation (such as policy support),256,1116,0.22939068100358423,0.22939068100358423
Engage in diplomatic cooperation,Engage in diplomatic cooperation,612,1096,0.5583941605839416,0.5583941605839416
Sign formal agreement,Sign formal agreement,832,1068,0.7790262172284644,0.7790262172284644
Investigate,Investigate,0,824,0.0,0.0
Discuss by telephone,Discuss by telephone,648,783,0.8275862068965517,0.8275862068965517
Reject,Reject,6,764,0.007853403141361256,0.007853403141361256
fight with small arms and light weapons,fight with small arms and light weapons,68,696,0.09770114942528736,0.09770114942528736
Make optimistic comment,Make optimistic comment,22,634,0.03470031545741325,0.03470031545741325
Threaten,Threaten,4,545,0.007339449541284404,0.007339449541284404
Demonstrate or rally,Demonstrate or rally,2,503,0.003976143141153081,0.003976143141153081
"Abduct, hijack, or take hostage","Abduct, hijack, or take hostage",4,483,0.008281573498964804,0.008281573498964804
Make pessimistic comment,Make pessimistic comment,14,448,0.03125,0.03125
Meet at a 'third' location,Meet at a 'third' location,324,434,0.7465437788018433,0.7465437788018433
Engage in symbolic act,Engage in symbolic act,48,426,0.11267605633802817,0.11267605633802817
Appeal for diplomatic cooperation (such as policy support),Appeal for diplomatic cooperation (such as policy support),2,380,0.005263157894736842,0.005263157894736842
"Return, release person(s)","Return, release person(s)",0,357,0.0,0.0
"Protest violently, riot","Protest violently, riot",0,276,0.0,0.0
Provide humanitarian aid,Provide humanitarian aid,0,252,0.0,0.0
Make empathetic comment,Make empathetic comment,4,232,0.017241379310344827,0.017241379310344827
Use tactics of violent repression,Use tactics of violent repression,0,217,0.0,0.0
Occupy territory,Occupy territory,0,208,0.0,0.0
Physically assault,Physically assault,0,191,0.0,0.0
Reduce relations,Reduce relations,18,188,0.09574468085106383,0.09574468085106383
Mobilize or increase armed forces,Mobilize or increase armed forces,0,169,0.0,0.0
Deny responsibility,Deny responsibility,0,168,0.0,0.0
Provide aid,Provide aid,0,158,0.0,0.0
Ease administrative sanctions,Ease administrative sanctions,0,146,0.0,0.0
Bring lawsuit against,Bring lawsuit against,0,142,0.0,0.0
Confiscate property,Confiscate property,0,138,0.0,0.0
